Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Askham Grange,*,*,4,8,20,17,20,10,*,E00067761,E02002782
Doncaster,*,145,126,177,348,198,69,47,24,E00038161,E02001560
Full Sutton,*,*,27,64,188,133,91,47,17,E00175339,E02002692
Hatfield,*,*,19,52,115,56,31,*,*,E00038290,E02001546
Hull,*,81,86,141,333,177,104,54,39,E00170747,E02002671
Humber,*,*,117,186,343,204,81,14,*,E00185508,E02002709
Leeds,*,*,147,196,419,226,81,21,15,E00170041,E02002400
Lindholme,*,*,87,198,337,182,79,27,3,E00172382,E02001546
Moorland,*,25,97,152,292,170,92,59,41,E00172382,E02001546
New Hall,*,10,21,52,135,79,29,5,4,E00168748,E02002472
Wakefield,*,*,14,56,184,151,163,96,46,E00179981,E02002456
Wealstun,*,*,121,180,270,162,54,*,*,E00170593,E02002331
Wetherby,116,31,*,*,*,*,*,*,*,E00059025,E02002331
