area,household residents,communal residents,msoa
E00037085,240,0,E02001523
E00037086,295,0,E02001523
E00037087,383,0,E02001523
E00037088,380,0,E02001526
E00037089,322,0,E02001526
E00037090,283,0,E02001526
E00037091,228,0,E02001526
E00037092,273,0,E02001523
E00037093,271,30,E02001523
E00037094,418,0,E02001523
E00037096,266,0,E02001523
E00037097,226,0,E02001523
E00037098,236,0,E02001523
E00037099,461,0,E02001526
E00037100,224,0,E02001526
E00037101,335,0,E02001526
E00037102,426,24,E02001523
E00037103,282,0,E02001523
E00037104,269,0,E02001523
E00037105,372,0,E02001526
E00037106,485,0,E02001526
E00037107,295,0,E02001526
E00037108,343,0,E02001523
E00037109,300,29,E02001526
E00037110,478,0,E02001526
E00037111,257,0,E02001523
E00037112,308,0,E02001526
E00037113,324,0,E02001526
E00037114,360,0,E02001515
E00037115,299,0,E02001515
E00037116,297,0,E02001515
E00037117,266,0,E02001515
E00037118,307,0,E02001515
E00037119,302,0,E02001515
E00037120,288,0,E02001515
E00037121,228,0,E02001515
E00037122,267,0,E02001515
E00037123,317,0,E02001515
E00037124,292,0,E02001515
E00037125,286,0,E02001515
E00037126,395,0,E02001515
E00037127,345,0,E02001515
E00037128,351,27,E02001515
E00037129,299,0,E02001515
E00037130,233,0,E02001515
E00037131,295,0,E02001515
E00037132,249,0,E02001515
E00037133,326,0,E02001515
E00037134,350,0,E02001515
E00037135,273,0,E02001515
E00037136,516,1,E02001515
E00037137,220,0,E02001515
E00037138,256,0,E02001515
E00037139,234,0,E02001515
E00037140,300,0,E02001515
E00037141,375,0,E02001514
E00037142,551,0,E02001514
E00037143,431,24,E02001514
E00037145,283,0,E02001514
E00037146,226,0,E02001514
E00037147,563,27,E02001514
E00037149,300,0,E02001514
E00037150,568,0,E02001514
E00037151,283,0,E02001514
E00037152,336,0,E02001514
E00037153,276,0,E02001514
E00037154,324,0,E02001514
E00037155,247,0,E02001514
E00037156,486,0,E02001514
E00037157,480,0,E02001514
E00037158,235,0,E02001514
E00037159,445,0,E02001514
E00037160,618,0,E02001511
E00037161,237,43,E02001511
E00037162,345,0,E02001511
E00037163,351,0,E02001511
E00037164,270,0,E02001511
E00037165,533,0,E02001511
E00037166,376,0,E02001511
E00037167,333,0,E02001511
E00037168,288,0,E02001511
E00037169,241,0,E02001525
E00037170,207,0,E02001525
E00037171,234,0,E02001517
E00037172,246,0,E02001517
E00037173,266,0,E02001517
E00037174,289,0,E02001521
E00037175,267,7,E02001521
E00037176,288,0,E02001521
E00037177,305,0,E02001521
E00037178,352,0,E02001521
E00037179,264,0,E02001525
E00037181,223,0,E02001525
E00037182,270,0,E02001523
E00037183,316,0,E02001523
E00037184,312,0,E02001523
E00037186,249,0,E02001523
E00037187,262,25,E02001525
E00037188,169,0,E02001525
E00037189,327,0,E02001525
E00037190,135,0,E02001525
E00037191,187,0,E02001525
E00037192,331,0,E02001521
E00037193,328,0,E02001521
E00037194,310,0,E02001521
E00037195,327,4,E02001521
E00037196,363,0,E02001525
E00037197,186,0,E02001525
E00037198,239,0,E02001525
E00037199,229,0,E02001525
E00037200,264,0,E02001517
E00037201,267,0,E02001517
E00037202,284,0,E02001517
E00037203,238,0,E02001517
E00037204,268,0,E02001517
E00037205,297,0,E02001517
E00037206,303,36,E02001517
E00037207,336,0,E02001511
E00037208,432,0,E02001516
E00037209,174,0,E02001511
E00037210,255,0,E02001516
E00037211,281,26,E02001516
E00037212,283,0,E02001519
E00037213,256,0,E02001516
E00037215,252,0,E02001516
E00037216,212,16,E02001516
E00037217,315,0,E02001516
E00037218,358,0,E02001519
E00037219,332,0,E02001516
E00037220,304,0,E02001516
E00037221,435,0,E02001516
E00037222,325,0,E02001516
E00037223,519,8,E02001519
E00037224,348,0,E02001519
E00037225,594,0,E02001516
E00037226,352,0,E02001516
E00037227,303,0,E02001516
E00037228,328,0,E02001516
E00037229,280,0,E02001516
E00037230,397,0,E02001516
E00037231,215,0,E02001516
E00037232,262,0,E02001511
E00037233,356,0,E02001511
E00037234,325,0,E02001511
E00037235,373,0,E02001511
E00037236,321,0,E02001511
E00037237,328,0,E02001511
E00037238,249,0,E02001511
E00037239,355,31,E02001516
E00037240,266,0,E02001528
