msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02001509,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001512,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6
E02001513,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001514,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001516,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
E02001517,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4
E02001518,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02001519,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
E02001520,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
E02001521,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6
E02001522,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02001523,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
E02001524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001525,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,8
E02001526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001527,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6
E02001528,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
E02001529,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
E02001530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001531,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02001532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001533,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001534,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001535,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
E02001536,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02001537,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001538,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001540,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5
E02001541,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,11
E02001542,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
E02001543,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001544,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001545,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
E02001546,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7
E02001547,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
