Name,Violence against the person,Sexual offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Summary offences,Offence not recorded,area,msoa
Askham Grange,31,5,*,15,*,*,*,*,*,E00067761,E02002782
Doncaster,248,204,42,140,60,25,84,86,15,E00038161,E02001560
Full Sutton,347,160,4,12,*,10,*,*,*,E00175339,E02002692
Hatfield,94,*,*,103,16,*,9,*,*,E00038290,E02001546
Hull,213,270,48,118,35,31,68,64,10,E00170747,E02002671
Humber,300,*,23,158,39,24,38,34,*,E00185508,E02002709
Leeds,254,122,41,185,63,35,87,98,11,E00170041,E02002400
Lindholme,320,5,25,189,48,7,20,10,*,E00172382,E02001546
Moorland,128,383,18,135,23,17,36,24,*,E00172382,E02001546
New Hall,106,9,28,25,16,5,20,18,5,E00168748,E02002472
Wakefield,282,390,4,*,*,13,4,*,1,E00179981,E02002456
Wealstun,241,*,24,128,44,21,41,31,*,E00170593,E02002331
Wetherby,73,10,*,5,9,*,*,10,1,E00059025,E02002331
