Middle layer Super Output Areas Code,other,bisexual,homosexual,unknown,heterosexual,total,heterosexual percentage,homosexual percentage,bisexual percentage,other percentage,unknown percentage
E02000001,34,185,607,830,6348,7970,79.6486825595985,7.616060225846925,2.3212045169385194,0.4265997490589712,10.41405269761606
E02000002,10,36,25,504,5409,5974,90.54235018413124,0.4184800803481754,0.6026113157013726,0.16739203213927017,8.436558419819216
E02000003,49,80,59,950,7709,8798,87.62218686065015,0.6706069561263923,0.9092975676290065,0.5569447601727665,10.797908615594453
E02000004,22,43,54,391,4805,5293,90.78027583600982,1.0202153788021915,0.8123937275647081,0.41564330247496695,7.3871150576232765
E02000005,36,83,58,663,7150,7954,89.8918783002263,0.7291928589388987,1.0435001257229066,0.4526024641689716,8.335428715111894
E02000007,29,70,69,621,6677,7437,89.78082560172112,0.927793465106898,0.9412397472098966,0.3899421809869571,8.350141185962082
E02000008,52,90,115,866,8728,9799,89.07031329727523,1.1735891417491582,0.9184610674558629,0.530666394530054,8.837636493519748
E02000009,46,90,59,840,8319,9308,89.37473141383757,0.6338633433605501,0.9669101847872797,0.49419853889127635,9.024495058014612
E02000010,26,61,47,627,6313,7048,89.57150964812712,0.6668558456299659,0.8654937570942111,0.3688989784335982,8.896140749148694
E02000011,33,50,41,486,4808,5385,89.28505106778087,0.7613741875580315,0.9285051067780872,0.6128133704735376,9.025069637883009
E02000012,31,62,57,751,7945,8815,90.13045944412933,0.6466250709018718,0.7033465683494045,0.3516732841747022,8.519568916619399
E02000013,44,72,55,597,6198,6922,89.54059520369835,0.7945680439179428,1.0401618029471251,0.6356544351343543,8.62467494943658
E02000014,40,77,38,664,6616,7395,89.4658553076403,0.5138607167004733,1.0412440838404327,0.5409060175794456,8.979039891818797
E02000015,24,63,60,556,5325,6004,88.690872751499,0.9993337774816788,1.0493004663557628,0.39973351099267157,9.260493004663557
E02000016,53,130,179,816,6405,7530,85.0597609561753,2.377158034528552,1.7264276228419653,0.7038512616201859,10.836653386454183
E02000017,66,85,36,799,6158,7078,87.00197795987567,0.5086182537439954,1.2009042102288783,0.9324667985306585,11.288499576151455
E02000018,41,75,55,674,6152,6956,88.44163312248419,0.7906843013225991,1.078205865439908,0.5894192064404831,9.689476710753306
E02000019,19,54,45,576,6327,7002,90.3598971722365,0.6426735218508998,0.7712082262210797,0.2713510425592688,8.226221079691516
E02000020,41,84,81,964,9096,10225,88.95843520782395,0.7921760391198044,0.8215158924205379,0.4009779951100244,9.427872860635697
E02000021,23,49,36,587,5673,6345,89.40898345153664,0.5673758865248227,0.7722616233254531,0.3624901497241923,9.25137903861308
E02000022,24,99,56,472,4765,5392,88.37166172106825,1.0385756676557862,1.836053412462908,0.44510385756676557,8.753709198813056
E02000023,36,44,40,565,4921,5570,88.34829443447038,0.718132854578097,0.7899461400359067,0.6463195691202872,10.143626570915618
E02000024,27,95,94,757,7950,8896,89.3660071942446,1.0566546762589928,1.0678956834532374,0.3035071942446043,8.509442446043165
E02000025,14,82,80,585,6226,6973,89.28725082460922,1.147282374874516,1.1759644342463789,0.20077441560304032,8.389502366269898
E02000026,19,41,45,430,4681,5197,90.07119492014624,0.8658841639407351,0.7889166827015586,0.3655955358860881,8.274004233211468
E02000027,20,67,70,650,6922,7709,89.79115319756129,0.9080295758204695,0.8691140225710209,0.2594370216629913,8.431703204047219
E02000028,23,44,68,405,4765,5282,90.21204089360091,1.2873911397198032,0.8330177962892843,0.4354411207875805,7.667550170390005
E02000029,26,81,70,626,6634,7411,89.51558494130347,0.9445418971798677,1.092969909593847,0.35082984752395086,8.446903251922818
E02000030,9,42,59,599,7006,7706,90.91616921879056,0.7656371658447962,0.5450298468725668,0.11679211004412147,7.773163768492084
E02000031,27,47,77,545,6116,6785,90.14001473839352,1.1348563006632277,0.6927044952100221,0.397936624907885,8.032424465733234
E02000032,13,34,69,559,5747,6409,89.67077547199251,1.0766110157590887,0.5305039787798408,0.2028397565922921,8.72210953346856
E02000033,23,74,78,681,6289,7122,88.30384723392307,1.0951979780960404,1.0390339792193204,0.32294299354114014,9.561920808761585
E02000034,23,58,81,726,6392,7257,88.08047402507924,1.1161637040099215,0.7992283312663636,0.31693537274355793,10.00413393964448
E02000035,33,64,97,703,6183,7047,87.73946360153256,1.3764722576983115,0.908187881367958,0.4682843763303533,9.975876259401163
E02000036,26,65,55,943,7562,8625,87.67536231884058,0.6376811594202898,0.7536231884057971,0.3014492753623188,10.933333333333334
E02000037,24,39,54,712,7382,8187,90.16733846341761,0.659582264565775,0.47636496885305973,0.29314767314034446,8.696714303163553
E02000038,38,133,113,846,7514,8606,87.31117824773413,1.3130374157564488,1.545433418545201,0.4415524052986289,9.83035091796421
E02000039,23,37,35,472,5090,5634,90.34433794817181,0.6212282570110046,0.6567270145544906,0.40823571175008877,8.37770678026269
E02000040,24,64,85,693,6386,7228,88.3508577753182,1.1759822910902047,0.8854454897620365,0.3320420586607637,9.587714443829553
E02000041,48,67,46,793,6495,7401,87.75841102553709,0.6215376300499932,0.9052830698554248,0.6485610052695582,10.714768274557493
