date_of_death,East Of England,London,Midlands,North East And Yorkshire,North West,South East,South West
2020-03-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-03-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,2.0,0.0,1.0,1.0,0.0
2020-03-09,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-03-11,0.0,5.0,2.0,0.0,0.0,1.0,1.0
2020-03-12,0.0,6.0,6.0,0.0,2.0,0.0,0.0
2020-03-13,1.0,10.0,5.0,0.0,3.0,1.0,0.0
2020-03-14,2.0,13.0,4.0,0.0,1.0,1.0,1.0
2020-03-15,2.0,9.0,5.0,2.0,4.0,5.0,0.0
2020-03-16,1.0,15.0,11.0,3.0,2.0,8.0,0.0
2020-03-17,1.0,23.0,8.0,1.0,4.0,7.0,2.0
2020-03-18,5.0,28.0,13.0,2.0,6.0,10.0,2.0
2020-03-19,4.0,25.0,8.0,6.0,7.0,9.0,4.0
2020-03-20,2.0,44.0,28.0,5.0,10.0,13.0,3.0
2020-03-21,11.0,49.0,13.0,6.0,11.0,7.0,6.0
2020-03-22,12.0,54.0,31.0,7.0,13.0,25.0,7.0
2020-03-23,11.0,63.0,33.0,9.0,15.0,20.0,8.0
2020-03-24,19.0,86.0,41.0,8.0,21.0,22.0,7.0
2020-03-25,26.0,112.0,48.0,18.0,21.0,29.0,9.0
2020-03-26,36.0,129.0,64.0,21.0,29.0,35.0,11.0
2020-03-27,38.0,130.0,72.0,28.0,36.0,36.0,13.0
2020-03-28,28.0,123.0,89.0,35.0,28.0,36.0,21.0
2020-03-29,43.0,145.0,92.0,38.0,46.0,55.0,18.0
2020-03-30,45.0,151.0,90.0,64.0,67.0,58.0,23.0
2020-03-31,70.0,183.0,123.0,60.0,52.0,65.0,23.0
2020-04-01,62.0,202.0,140.0,67.0,86.0,66.0,21.0
2020-04-02,65.0,191.0,142.0,75.0,96.0,55.0,23.0
2020-04-03,80.0,199.0,124.0,100.0,95.0,72.0,30.0
2020-04-04,71.0,231.0,151.0,105.0,98.0,80.0,42.0
2020-04-05,76.0,195.0,164.0,92.0,102.0,82.0,32.0
2020-04-06,71.0,198.0,140.0,96.0,100.0,88.0,34.0
2020-04-07,93.0,220.0,123.0,102.0,135.0,100.0,39.0
2020-04-08,111.0,239.0,186.0,107.0,127.0,83.0,47.0
2020-04-09,87.0,207.0,139.0,111.0,119.0,104.0,24.0
2020-04-10,74.0,171.0,127.0,117.0,117.0,88.0,46.0
2020-04-11,92.0,178.0,142.0,98.0,138.0,88.0,43.0
2020-04-12,100.0,158.0,139.0,84.0,125.0,88.0,23.0
2020-04-13,78.0,166.0,120.0,94.0,129.0,84.0,27.0
2020-04-14,61.0,143.0,116.0,107.0,131.0,65.0,24.0
2020-04-15,82.0,143.0,147.0,96.0,114.0,72.0,32.0
2020-04-16,74.0,140.0,102.0,103.0,135.0,56.0,29.0
2020-04-17,86.0,101.0,118.0,88.0,98.0,86.0,33.0
2020-04-18,64.0,101.0,115.0,95.0,113.0,57.0,25.0
2020-04-19,67.0,103.0,92.0,88.0,71.0,70.0,31.0
2020-04-20,67.0,96.0,107.0,100.0,83.0,87.0,26.0
2020-04-21,75.0,96.0,86.0,76.0,76.0,51.0,26.0
2020-04-22,67.0,109.0,78.0,84.0,86.0,54.0,23.0
