,East Of England,London,Midlands,North East And Yorkshire,North West,South East,South West
2020-03-01 00:00:00,0,0,0,0,0,0,0
2020-03-02 00:00:00,0,0,0,0,0,0,0
2020-03-03 00:00:00,1,0,0,0,0,0,0
2020-03-04 00:00:00,0,0,1,0,0,1,0
2020-03-05 00:00:00,0,0,0,0,0,0,0
2020-03-06 00:00:00,0,0,0,0,1,1,0
2020-03-07 00:00:00,1,1,0,0,0,0,0
2020-03-08 00:00:00,0,1,0,0,0,0,0
2020-03-09 00:00:00,0,0,3,0,1,1,0
2020-03-10 00:00:00,1,1,1,0,0,1,0
2020-03-11 00:00:00,0,0,0,0,0,1,0
2020-03-12 00:00:00,0,7,2,0,0,1,1
2020-03-13 00:00:00,0,5,6,0,2,0,0
2020-03-14 00:00:00,1,9,5,0,2,1,0
2020-03-15 00:00:00,2,14,4,0,1,1,1
2020-03-16 00:00:00,2,10,5,2,4,5,0
2020-03-17 00:00:00,1,17,11,3,2,8,0
2020-03-18 00:00:00,1,23,8,1,4,7,2
2020-03-19 00:00:00,5,31,12,2,5,10,2
2020-03-20 00:00:00,4,25,8,6,6,9,4
2020-03-21 00:00:00,3,45,28,5,10,12,3
2020-03-22 00:00:00,14,48,13,6,10,4,6
2020-03-23 00:00:00,14,54,31,7,13,22,9
2020-03-24 00:00:00,11,61,33,9,14,20,9
2020-03-25 00:00:00,19,84,41,7,21,21,7
2020-03-26 00:00:00,24,106,46,18,19,27,9
2020-03-27 00:00:00,37,130,62,19,31,34,11
2020-03-28 00:00:00,38,132,76,28,31,39,14
2020-03-29 00:00:00,27,127,84,35,30,32,22
2020-03-30 00:00:00,55,189,140,65,67,74,22
2020-03-31 00:00:00,73,180,120,69,69,68,28
2020-04-01 00:00:00,36,139,67,41,36,38,14
2020-04-02 00:00:00,59,187,129,60,85,66,26
2020-04-03 00:00:00,67,176,138,74,94,56,21
2020-04-04 00:00:00,73,187,123,96,88,68,28
2020-04-05 00:00:00,71,227,148,104,99,79,39
2020-04-06 00:00:00,75,192,163,92,101,80,32
2020-04-07 00:00:00,71,197,140,95,100,86,34
2020-04-08 00:00:00,92,213,123,102,132,99,39
2020-04-09 00:00:00,111,234,185,105,121,82,46
2020-04-10 00:00:00,87,199,138,109,116,104,23
2020-04-11 00:00:00,74,167,127,117,110,88,45
2020-04-12 00:00:00,91,175,142,97,133,86,43
2020-04-13 00:00:00,101,154,137,84,119,88,22
2020-04-14 00:00:00,77,164,120,93,121,81,26
2020-04-15 00:00:00,61,138,116,107,126,62,24
2020-04-16 00:00:00,82,140,147,92,113,72,30
2020-04-17 00:00:00,73,135,98,103,131,56,29
2020-04-18 00:00:00,86,99,118,86,90,84,32
2020-04-19 00:00:00,63,98,115,93,112,56,24
2020-04-20 00:00:00,66,102,90,87,68,68,32
2020-04-21 00:00:00,66,88,107,99,77,85,26
2020-04-22 00:00:00,74,89,85,76,75,49,26
2020-04-23 00:00:00,64,103,77,80,75,52,22
2020-04-24 00:00:00,49,75,100,61,83,56,17
2020-04-25 00:00:00,62,70,73,71,64,63,17
2020-04-26 00:00:00,53,56,70,65,64,50,15
2020-04-27 00:00:00,48,52,75,61,52,50,24
2020-04-28 00:00:00,45,51,72,61,52,35,13
2020-04-29 00:00:00,57,42,66,53,54,37,17
2020-04-30 00:00:00,31,42,52,65,59,44,14
