name,type,level,min age,max age,boarding,gender,capacity,pupils,boys,girls,msoa,postcode,easting,northing
The Aldgate School,State,Primary,3.0,11.0,No boarders,Mixed,276.0,276.0,136.0,140.0,E02000001,EC3A 5DE,533498.0,181201.0
City of London School for Girls,Independent,Not applicable,7.0,18.0,No boarders,Girls,780.0,744.0,0.0,744.0,E02000001,EC2Y 8BB,532301.0,181746.0
St Paul's Cathedral School,Independent,Not applicable,4.0,13.0,Boarding school,Mixed,265.0,260.0,148.0,112.0,E02000001,EC4M 9AD,532160.0,181151.0
City of London School,Independent,Not applicable,10.0,18.0,No boarders,Boys,1040.0,948.0,948.0,0.0,E02000001,EC4V 3AL,531981.0,180844.0
Thomas Coram Centre,State,Nursery,3.0,5.0,No boarders,Mixed,,131.0,68.0,63.0,E02000190,WC1N 2NY,530464.0,182403.0
CCfL Key Stage 4 PRU,State,Not applicable,14.0,16.0,No boarders,Mixed,,53.0,34.0,19.0,E02000171,NW3 2NY,527663.0,185479.0
Camden Primary Pupil Referral Unit,State,Not applicable,5.0,11.0,No boarders,Mixed,20.0,18.0,14.0,4.0,E02000188,NW1 3EX,529082.0,182617.0
Argyle Primary School,State,Primary,3.0,11.0,No boarders,Mixed,432.0,351.0,160.0,191.0,E02000190,WC1H 9EG,530238.0,182761.0
Beckford Primary School,State,Primary,3.0,11.0,No boarders,Mixed,459.0,415.0,226.0,189.0,E02000170,NW6 1QL,524888.0,185067.0
Brecknock Primary School,State,Primary,2.0,11.0,No boarders,Mixed,583.0,387.0,206.0,181.0,E02000180,NW1 9AL,529912.0,184835.0
Brookfield Primary School,State,Primary,3.0,11.0,No boarders,Mixed,459.0,423.0,218.0,205.0,E02000166,N19 5DH,528706.0,186594.0
Edith Neville Primary School,State,Primary,3.0,11.0,No boarders,Mixed,232.0,197.0,98.0,99.0,E02000187,NW1 1DN,529725.0,183195.0
Fleet Primary School,State,Primary,3.0,11.0,No boarders,Mixed,210.0,222.0,101.0,121.0,E02000171,NW3 2QT,527677.0,185424.0
Hawley Primary School,State,Primary,3.0,11.0,No boarders,Mixed,236.0,223.0,122.0,101.0,E02000184,NW1 8RP,528886.0,184273.0
Netley Primary School & Centre for Autism,State,Primary,2.0,11.0,No boarders,Mixed,476.0,409.0,218.0,191.0,E02000188,NW1 3EX,529095.0,182598.0
New End Primary School,State,Primary,3.0,11.0,No boarders,Mixed,435.0,366.0,187.0,179.0,E02000167,NW3 1HU,526483.0,185916.0
Primrose Hill School,State,Primary,2.0,11.0,No boarders,Mixed,483.0,466.0,232.0,234.0,E02000183,NW1 8JL,528304.0,183909.0
Rhyl Primary School,State,Primary,3.0,11.0,No boarders,Mixed,420.0,347.0,173.0,174.0,E02000177,NW5 3HB,528334.0,184823.0
Richard Cobden Primary School,State,Primary,3.0,11.0,No boarders,Mixed,420.0,409.0,203.0,206.0,E02000184,NW1 0LL,529342.0,183487.0
