msoa,org_code,sector,occupied_beds,available_beds,postcode,latitude,longitude
E02000100,R1K,General & Acute,953.626374,1012.461538,HA13UJ,51.575407,-0.322037
E02000100,R1K,Mental Illness,0,0,HA13UJ,51.575407,-0.322037
E02000100,R1K,Maternity,35.945055,68,HA13UJ,51.575407,-0.322037
E02000100,R1K,Learning Disabilities,0,0,HA13UJ,51.575407,-0.322037
E02000173,RAL,General & Acute,880.417582,1069.901099,NW32QG,51.553224,-0.165324
E02000173,RAL,Mental Illness,0,0,NW32QG,51.553224,-0.165324
E02000173,RAL,Maternity,42.098901,88,NW32QG,51.553224,-0.165324
E02000173,RAL,Learning Disabilities,0,0,NW32QG,51.553224,-0.165324
E02000184,TAF,Mental Illness,162.428571,176,NW10PE,51.53665,-0.131658
E02000184,TAF,Maternity,0,0,NW10PE,51.53665,-0.131658
E02000184,TAF,Learning Disabilities,0,0,NW10PE,51.53665,-0.131658
E02000184,TAF,General & Acute,0,0,NW10PE,51.53665,-0.131658
E02000186,RRV,Mental Illness,7.318681,11.846154,NW12PG,51.525735,-0.137409
E02000186,RRV,Maternity,42.472527,76.692308,NW12PG,51.525735,-0.137409
E02000186,RRV,Learning Disabilities,0,0,NW12PG,51.525735,-0.137409
E02000186,RRV,General & Acute,544.549451,663.637363,NW12PG,51.525735,-0.137409
E02000186,RV3,Mental Illness,577.164835,596.758242,NW13AX,51.524345,-0.142166
E02000186,RV3,Maternity,0,0,NW13AX,51.524345,-0.142166
E02000186,RV3,Learning Disabilities,7.637363,11.582418,NW13AX,51.524345,-0.142166
E02000186,RV3,General & Acute,69.538462,74.516484,NW13AX,51.524345,-0.142166
E02000192,RP4,Mental Illness,1.934066,7.032967,WC1N3JH,51.52221,-0.119924
E02000192,RP4,Maternity,0,0,WC1N3JH,51.52221,-0.119924
E02000192,RP4,Learning Disabilities,0,0,WC1N3JH,51.52221,-0.119924
E02000192,RP4,General & Acute,155.384615,202.846154,WC1N3JH,51.52221,-0.119924
E02000208,RJ6,Mental Illness,0,0,CR77YE,51.389128,-0.108758
E02000208,RJ6,Maternity,32.692308,58,CR77YE,51.389128,-0.108758
E02000208,RJ6,Learning Disabilities,0,0,CR77YE,51.389128,-0.108758
E02000208,RJ6,General & Acute,467.714286,505.186813,CR77YE,51.389128,-0.108758
E02000266,RKL,Mental Illness,617.879121,693,UB24SD,51.506315,-0.358547
E02000266,RKL,Maternity,0,0,UB24SD,51.506315,-0.358547
E02000266,RKL,Learning Disabilities,0,0,UB24SD,51.506315,-0.358547
E02000266,RKL,General & Acute,59.703297,71.307692,UB24SD,51.506315,-0.358547
E02000363,RQX,Mental Illness,0,0,E96SR,51.550634,-0.046099
E02000363,RQX,Maternity,27.10989,40.549451,E96SR,51.550634,-0.046099
E02000363,RQX,Learning Disabilities,0,0,E96SR,51.550634,-0.046099
E02000363,RQX,General & Acute,255.527473,289.967033,E96SR,51.550634,-0.046099
E02000423,RRP,Mental Illness,503.461538,546,N153TH,51.580625,-0.092097
E02000423,RRP,Maternity,0,0,N153TH,51.580625,-0.092097
E02000423,RRP,Learning Disabilities,0,0,N153TH,51.580625,-0.092097
E02000423,RRP,General & Acute,0,0,N153TH,51.580625,-0.092097
E02000433,RAN,General & Acute,95.593407,131.373626,HA74LP,51.632566,-0.310435
E02000433,RAN,Mental Illness,0,0,HA74LP,51.632566,-0.310435
E02000433,RAN,Maternity,0,0,HA74LP,51.632566,-0.310435
E02000433,RAN,Learning Disabilities,0,0,HA74LP,51.632566,-0.310435
E02000480,RF4,Mental Illness,0,0,RM70AG,51.568647,0.179031
E02000480,RF4,Maternity,70.153846,70.153846,RM70AG,51.568647,0.179031
E02000480,RF4,Learning Disabilities,0,0,RM70AG,51.568647,0.179031
E02000480,RF4,General & Acute,989.758242,1003,RM70AG,51.568647,0.179031
E02000491,RAT,Mental Illness,215.692308,236.21978,RM138GQ,51.518578,0.171162
E02000491,RAT,Maternity,0,0,RM138GQ,51.518578,0.171162
E02000491,RAT,Learning Disabilities,0,0,RM138GQ,51.518578,0.171162
E02000491,RAT,General & Acute,138.032967,169.824176,RM138GQ,51.518578,0.171162
E02000510,RAS,General & Acute,367.373626,415.120879,UB83NN,51.526077,-0.461175
E02000510,RAS,Mental Illness,0,0,UB83NN,51.526077,-0.461175
E02000510,RAS,Maternity,19.131868,47,UB83NN,51.526077,-0.461175
E02000510,RAS,Learning Disabilities,0,0,UB83NN,51.526077,-0.461175
E02000557,RKE,Mental Illness,10.21978,12,N195NF,51.566482,-0.139066
E02000557,RKE,Maternity,19.857143,52,N195NF,51.566482,-0.139066
E02000557,RKE,Learning Disabilities,0,0,N195NF,51.566482,-0.139066
E02000557,RKE,General & Acute,248,262,N195NF,51.566482,-0.139066
E02000576,RP6,Mental Illness,0,0,EC1V2PD,51.527246,-0.089889
E02000576,RP6,Maternity,0,0,EC1V2PD,51.527246,-0.089889
E02000576,RP6,Learning Disabilities,0,0,EC1V2PD,51.527246,-0.089889
E02000576,RP6,General & Acute,2.978022,7.582418,EC1V2PD,51.527246,-0.089889
E02000595,RPY,Mental Illness,0,0,SW36JJ,51.490561,-0.172565
E02000595,RPY,Maternity,0,0,SW36JJ,51.490561,-0.172565
E02000595,RPY,Learning Disabilities,0,0,SW36JJ,51.490561,-0.172565
E02000595,RPY,General & Acute,161.527473,194.450549,SW36JJ,51.490561,-0.172565
E02000596,RQM,Mental Illness,0,0,SW109NH,51.484308,-0.181644
E02000596,RQM,Maternity,65.846154,100.901099,SW109NH,51.484308,-0.181644
E02000596,RQM,Learning Disabilities,0,0,SW109NH,51.484308,-0.181644
E02000596,RQM,General & Acute,740.197802,740.197802,SW109NH,51.484308,-0.181644
E02000600,RAX,Mental Illness,0,0,KT27QB,51.414826,-0.282601
E02000600,RAX,Maternity,49.846154,55.604396,KT27QB,51.414826,-0.282601
E02000600,RAX,Learning Disabilities,0,0,KT27QB,51.414826,-0.282601
E02000600,RAX,General & Acute,350.307692,396.747253,KT27QB,51.414826,-0.282601
E02000631,RJZ,Mental Illness,0,0,SE59RS,51.468077,-0.093916
E02000631,RJZ,Maternity,58.164835,119,SE59RS,51.468077,-0.093916
E02000631,RJZ,Learning Disabilities,0,0,SE59RS,51.468077,-0.093916
E02000631,RJZ,General & Acute,1260.461538,1324.197802,SE59RS,51.468077,-0.093916
E02000841,RVR,Mental Illness,0,0,SM51AA,51.380188,-0.183708
E02000841,RVR,Maternity,29.197802,95,SM51AA,51.380188,-0.183708
E02000841,RVR,Learning Disabilities,0,0,SM51AA,51.380188,-0.183708
E02000841,RVR,General & Acute,562.549451,683.175824,SM51AA,51.380188,-0.183708
E02000880,R1H,General & Acute,1648.516484,1695.263736,E12ES,51.517167,-0.05605
E02000880,R1H,Mental Illness,0,0,E12ES,51.517167,-0.05605
E02000880,R1H,Maternity,116.56044,195,E12ES,51.517167,-0.05605
E02000880,R1H,Learning Disabilities,0,0,E12ES,51.517167,-0.05605
E02000884,RWK,Mental Illness,777.362637,837,E18DE,51.513374,-0.071865
E02000884,RWK,Maternity,0,0,E18DE,51.513374,-0.071865
E02000884,RWK,Learning Disabilities,0,0,E18DE,51.513374,-0.071865
E02000884,RWK,General & Acute,24.626374,26,E18DE,51.513374,-0.071865
E02000949,RQY,Mental Illness,295.461538,341.846154,SW177DJ,51.437358,-0.172348
E02000949,RQY,Maternity,0,0,SW177DJ,51.437358,-0.172348
E02000949,RQY,Learning Disabilities,0,0,SW177DJ,51.437358,-0.172348
E02000949,RQY,General & Acute,0,0,SW177DJ,51.437358,-0.172348
