msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02004066,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,S445BL,53.236214,-1.400051,2020-06-30,2024-06-30
E02002877,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,NG36AA,52.979272,-1.12643,2020-06-30,2024-06-30
E02005822,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NG174JL,53.134573,-1.233579,2020-06-30,2024-06-30
E02005645,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NN168UZ,52.402783,-0.741293,2020-06-30,2024-06-30
E02005674,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NN15BD,52.236068,-0.883829,2020-06-30,2024-06-30
E02005647,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,NN157PW,52.3941,-0.7222,2020-06-30,2024-06-30
E02005444,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,LN11FS,53.244029,-0.556905,2020-06-30,2024-06-30
E02002812,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,DE223NE,52.910425,-1.513523,2020-06-30,2024-06-30
E02005444,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,LN25QY,53.233575,-0.519635,2020-06-30,2024-06-30
E02006850,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,LE15WW,52.6268,-1.135953,2020-06-30,2024-06-30
E02002898,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NG72UH,52.943799,-1.185957,2020-06-30,2024-06-30
E02002812,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,DE223LZ,52.91807,-1.512351,2020-06-30,2024-06-30
E02005447,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,LN57JH,53.226467,-0.52415,2020-06-30,2022-09-30
E02004112,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,S427JE,53.23967,-1.479477,2020-06-30,2024-06-30
