Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RGR65,Aldeburgh Community Hospital,NHS TRUST SITE,IP155ES,RGR,52.152262,1.595543,E02006290
RF426,Baddow Hospital,NHS TRUST SITE,CM28FR,RF4,51.707904,0.501773,E02004498
RF420,Basildon Hospital,NHS TRUST SITE,SS165NL,RF4,51.557679,0.450587,E02004443
RGP73,Beccles & District Hospital,NHS TRUST SITE,NR349NQ,RGP,52.454149,1.562352,E02006311
RMY09,Bickley Day Hospital,NHS TRUST SITE,NR172QE,RMY,52.517762,1.017401,E02005513
R1L91,Biggleswade Hospital,NHS TRUST SITE,SG180EL,R1L,52.100321,-0.24686,E02003604
RWK1Q,Biggleswade Hospital Spring House,NHS TRUST SITE,SG180EJ,RWK,52.096653,-0.250522,E02003604
L6C6L,Bmi St.. Edmunds Hospital,NHS TRUST SITE,IP332AA,RGR,52.240078,0.719386,E02006278
RAJ48,Braintree Community Hospital,NHS TRUST SITE,CM72AL,RAJ,51.878904,0.541061,E02004454
RATRM,Brentwood Community Hospital,NHS TRUST SITE,CM158DR,RAT,51.623555,0.316428,E02004468
RT11A,Brookfields Hospital,NHS TRUST SITE,CB13DF,RT1,52.197,0.15138,E02003727
RDEP3,Broomfield Hospital,NHS TRUST SITE,CM17ET,RDE,51.774654,0.465993,E02004486
L2A5X,Cambridge University Hospitals Nhs Foundation Trust,NHS TRUST SITE,CB20AU,RGT,52.174508,0.138199,E02003731
RDEP1,Capio Oaks Hospital,NHS TRUST SITE,CO45XR,RDE,51.906301,0.894979,E02007057
RDEP4,Capio Springfield Hospital,NHS TRUST SITE,CM17GU,RDE,51.753372,0.484598,E02004488
RAJ53,Chartwell Private Hospital,NHS TRUST SITE,SS92SQ,RAJ,51.548005,0.637339,E02003286
RDECE,Chelmsford & Essex Hospital,NHS TRUST SITE,CM20QH,RDE,51.730935,0.470897,E02006979
RQWGC,Cheshunt Community Hospital,NHS TRUST SITE,EN88XN,RQW,51.699226,-0.033221,E02004852
RDEBA,Chuft Baddow Hospital,NHS TRUST SITE,CM28HN,RDE,51.707783,0.502389,E02004498
RDEE2,Clacton And District Hospital,NHS TRUST SITE,CO151LH,RDE,51.786083,1.148173,E02004589
RP410,Colchester General Hospital,NHS TRUST SITE,CO45JL,RP4,51.910164,0.899182,E02007057
A3N3P,Colman Hospital,NHS TRUST SITE,NR22PJ,RY3,52.620275,1.268826,E02005592
RMY77,Cromer Hospital,NHS TRUST SITE,NR270BQ,RMY,52.923787,1.310057,E02005572
RGT2H,Cuh At Brookfields Hospital,NHS TRUST SITE,CB13NL,RGT,52.196927,0.149986,E02003727
RWRF5,Day Hospital,NHS TRUST SITE,WD63PJ,RWR,51.653669,-0.281822,E02004905
RM106,Dereham Hospital,NHS TRUST SITE,NR192EX,RM1,52.690016,0.945704,E02005505
