msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02000880,R1H,BARTS HEALTH NHS TRUST,E12ES,51.517167,-0.05605,2020-06-30,2024-06-30
E02000100,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,HA13UJ,51.575407,-0.322037,2020-06-30,2024-06-30
E02000173,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NW32QG,51.553224,-0.165324,2020-06-30,2024-06-30
E02000433,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HA74LP,51.632566,-0.310435,2020-06-30,2024-06-30
E02006793,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,N181QX,51.613094,-0.07375,2020-06-30,2024-06-30
E02000510,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,UB83NN,51.526077,-0.461175,2020-06-30,2024-06-30
E02000491,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,RM138GQ,51.518578,0.171162,2020-06-30,2024-06-30
E02000600,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,KT27QB,51.414826,-0.282601,2020-06-30,2024-06-30
E02000480,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RM70AG,51.568647,0.179031,2020-06-30,2024-06-30
E02006801,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE17EH,51.497959,-0.118905,2020-06-30,2024-06-30
E02007009,RJ2,LEWISHAM AND GREENWICH NHS TRUST,SE136LH,51.453022,-0.017916,2020-06-30,2024-06-30
E02000208,RJ6,CROYDON HEALTH SERVICES NHS TRUST,CR77YE,51.389128,-0.108758,2020-06-30,2024-06-30
E02000956,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW170QT,51.426682,-0.175694,2020-06-30,2024-06-30
E02000631,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE59RS,51.468077,-0.093916,2020-06-30,2024-06-30
E02000557,RKE,WHITTINGTON HEALTH NHS TRUST,N195NF,51.566482,-0.139066,2020-06-30,2024-06-30
E02000266,RKL,WEST LONDON NHS TRUST,UB24SD,51.506315,-0.358547,2020-06-30,2024-06-30
E02000192,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,WC1N3JH,51.52221,-0.119924,2020-06-30,2024-06-30
E02000576,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,EC1V2PD,51.527246,-0.089889,2020-06-30,2024-06-30
E02000595,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,SW36JJ,51.490561,-0.172565,2020-06-30,2024-06-30
E02000596,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,SW109NH,51.484308,-0.181644,2020-06-30,2024-06-30
E02000363,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,E96SR,51.550634,-0.046099,2020-06-30,2024-06-30
E02000949,RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,SW177DJ,51.437358,-0.172348,2020-06-30,2024-06-30
E02000423,RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",N153TH,51.580625,-0.092097,2020-06-30,2024-06-30
E02000186,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NW12PG,51.525735,-0.137409,2020-06-30,2024-06-30
E02000595,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,SW36NP,51.489743,-0.170855,2020-06-30,2020-12-31
E02000186,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,NW13AX,51.524345,-0.142166,2020-06-30,2024-06-30
E02000841,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,SM51AA,51.380188,-0.183708,2020-06-30,2024-06-30
E02000884,RWK,EAST LONDON NHS FOUNDATION TRUST,E18DE,51.513374,-0.071865,2020-06-30,2024-06-30
E02000974,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W21BL,51.51754,-0.174411,2020-06-30,2024-06-30
E02000970,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NW15JD,51.522838,-0.151539,2020-06-30,2024-06-30
E02000184,TAF,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,NW10PE,51.53665,-0.131658,2020-06-30,2024-06-30
