Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RXH80,Bsuh Martletts Hospice Hove,NHS TRUST SITE,BN37LW,RXH,50.840733,-0.190669,E02003503
R1FCG,Earl Mountbatten Hospice,NHS TRUST SITE,PO302ER,R1F,50.70662,-1.283072,E02003588
RXQ99,Florence Nightingale Hospice,NHS TRUST SITE,HP218AL,RXQ,51.797983,-0.801989,E02003670
I8P7R,Katharine House Hospice,NHS TRUST SITE,OX173NL,RTH,52.01804,-1.302986,E02005928
J2R3S,Pilgrims Hospice Canterbury,NHS TRUST SITE,CT28JA,RVV,51.28222,1.064194,E02006856
R1CA8,Rowans Hospice,NHS TRUST SITE,PO75RU,R1C,50.86716,-1.051135,E02004842
RTH40,Sobell House Hospice,NHS TRUST SITE,OX37LE,RTH,51.750332,-1.214709,E02005949
RYR84,St. Barnabas Hospice,NHS TRUST SITE,BN126NZ,RYR,50.825924,-0.43382,E02006626
RYR89,St. Wilfrids Hospice,NHS TRUST SITE,PO198FP,RYR,50.825229,-0.784633,E02006571
RDU61,Thames Hospice Care,NHS TRUST SITE,SL57RD,RDU,51.409358,-0.689026,E02003437
RDUX5,Thames Hospice Care Cowph,NHS TRUST SITE,SL24HL,RDU,51.532007,-0.573992,E02003411
RWXNR,Thames Valley Hospice,NHS TRUST SITE,SL43RW,RWX,51.473235,-0.632727,E02003434
