Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RTH12,Abingdon Community Hospital,NHS TRUST SITE,OX141AG,RTH,51.670023,-1.301891,E02005983
RX224,Acre Day Hospital,NHS TRUST SITE,BN113NJ,RX2,50.809533,-0.382784,E02006631
RN503,Alton Hospital Acute Services,NHS TRUST SITE,GU341RJ,RN5,51.140744,-0.98982,E02004699
RX2F3,Amberstone Hospital,NHS TRUST SITE,BN274HU,RX2,50.881826,0.275547,E02004420
RXQ51,Amersham Hospital,NHS TRUST SITE,HP70JD,RXQ,51.663005,-0.621408,E02003682
R1C14,Amulree Day Hospital,NHS TRUST SITE,PO36AD,R1C,50.800122,-1.063932,E02003540
RNZ59,Andover War Memorial Hospital,NHS TRUST SITE,SP103LB,RNZ,51.215737,-1.494692,E02004817
RX2P3,Arundal Hospital Lodge,NHS TRUST SITE,BN180AB,RX2,50.854475,-0.565259,E02006542
RXH18,Ashdown Nuffield Hospital,NHS TRUST SITE,RH161UD,RXH,51.008356,-0.106181,E02006612
RTK02,Ashford Hospital,NHS TRUST SITE,TW153AA,RTK,51.444022,-0.472813,E02006405
RTK55,Ashtead Hospital,NHS TRUST SITE,KT212SB,RTK,51.304339,-0.303292,E02006362
RW1YH,Ashurst Hospital,NHS TRUST SITE,SO407AR,RW1,50.892134,-1.522292,E02004784
RWX98,Bath Road Day Hospital,NHS TRUST SITE,RG16HH,RWX,51.450239,-0.983928,E02003401
RWX77,Battle Hospital,NHS TRUST SITE,RG301AG,RWX,51.457111,-0.996614,E02003395
RWF22,Benenden Hospital,NHS TRUST SITE,TN174AX,RWF,51.086649,0.6161,E02005175
RDU17,Berkshire Independent Hospital,NHS TRUST SITE,RG16UZ,RDU,51.44455,-0.988313,E02003401
RX2M4,Bexhill Community Hospital,NHS TRUST SITE,TN402DZ,RX2,50.850706,0.475497,E02004399
RTH27,Bicester Community Hospital,NHS TRUST SITE,OX266HT,RTH,51.896191,-1.158078,E02005935
RNS9M,Blakelands Hospital,NHS TRUST SITE,MK145HR,RNS,52.074424,-0.742698,E02003463
RTHG2,Bletchley Community Hospital,NHS TRUST SITE,MK36EN,RTH,51.997414,-0.747638,E02003489
RHMH5,Bmi Sarum Road Hospital,NHS TRUST SITE,SO225HA,RHM,51.060714,-1.33909,E02004833
RHU19,Bognor Regis War Memorial Hospital,NHS TRUST SITE,PO229PP,RHU,50.793365,-0.675418,E02006555
RX2M5,Brighton General Hospital,NHS TRUST SITE,BN23EW,RX2,50.831176,-0.114497,E02003515
RWXJP,Broadmoor Hospital,NHS TRUST SITE,RG457EG,RWX,51.369086,-0.781,E02003364
RXQ61,Buckingham Hospital,NHS TRUST SITE,MK181NU,RXQ,52.001593,-0.985664,E02003653
RXYAR,Buckland Hospital,NHS TRUST SITE,CT170HD,RXY,51.132061,1.292413,E02005051
RHW25,Bupa Dunedin Hospital,NHS TRUST SITE,RG16NS,RHW,51.45022,-0.986821,E02003401
RTP47,Caterham Dene Hospital Outpatients,NHS TRUST SITE,CR35RA,RTP,51.283627,-0.085202,E02006432
RXQ64,Chalfont Hospital,NHS TRUST SITE,SL99DR,RXQ,51.607409,-0.561811,E02003686
RN507,Chase Acute Outpatients Hospital,NHS TRUST SITE,GU350YZ,RN5,51.106167,-0.862048,E02004702
RXQ25,Chesham Hospital,NHS TRUST SITE,HP51PJ,RXQ,51.700814,-0.606331,E02003679
RXQ91,Chiltern Hospital,NHS TRUST SITE,HP160EN,RXQ,51.690533,-0.693669,E02003680
RNUCJ,Chipping Norton Community Hospital,NHS TRUST SITE,OX75FA,RNU,51.945593,-1.535071,E02005993
RWX58,Church Hill House Hospital,NHS TRUST SITE,RG127FR,RWX,51.400749,-0.759831,E02003358
RTH02,Churchill Hospital,NHS TRUST SITE,OX37LE,RTH,51.750332,-1.214709,E02005949
RWXNV,Churchill Hospital Oxford,NHS TRUST SITE,OX43LX,RWX,51.733249,-1.212712,E02005954
RDU06,Clare Park Bupa Hospital,NHS TRUST SITE,GU105XX,RDU,51.225128,-0.847488,E02004760
RA255,Cobham Community Hospital,NHS TRUST SITE,KT111HT,RA2,51.334521,-0.408553,E02006333
RAX70,Cobham Hospital,NHS TRUST SITE,KT111HS,RAX,51.335443,-0.408219,E02006333
RX2M1,Conquest Hospital,NHS TRUST SITE,TN377RD,RX2,50.885167,0.56727,E02004369
RXX1T,Cranleigh Hospital,NHS TRUST SITE,GU68AU,RXX,51.141647,-0.489888,E02006451
RXX28,Cranleigh Village Hospital,NHS TRUST SITE,GU68AE,RXX,51.140612,-0.487062,E02006451
RPA76,Crowborough Hospital,NHS TRUST SITE,TN61HB,RPA,51.051445,0.157459,E02004406
RXCLD,Crowborough War Memorial Hospital,NHS TRUST SITE,TN61HF,RXC,51.050122,0.153973,E02004406
P3P8S,Cygnet Hospital Maidstone,NHS TRUST SITE,ME145FT,RXX,51.286548,0.556711,E02005072
K5E9C,Cygnet Hospital Woking,NHS TRUST SITE,GU212QS,RXX,51.314751,-0.615592,E02006462
RXY10,Darent Valley Hospital,NHS TRUST SITE,DA28DA,RXY,51.434952,0.258645,E02005035
RHW26,Dellwood Hospital,NHS TRUST SITE,RG302DX,RHW,51.447542,-1.001745,E02003403
RTH24,Didcot Community Hospital,NHS TRUST SITE,OX110AG,RTH,51.604427,-1.260127,E02005967
RVR30,Dorking General Hospital,NHS TRUST SITE,RH42AA,RVR,51.225789,-0.332941,E02006371
RX297,Dove Day Hospital,NHS TRUST SITE,RH117DH,RX2,51.1166,-0.197375,E02006581
RDU18,Dunedin Hospital,NHS TRUST SITE,RG16NQ,RDU,51.450463,-0.985808,E02003401
RXX35,East Surrey Hospital,NHS TRUST SITE,RH15RH,RXX,51.219194,-0.162009,E02006388
RXH36,Eastbourne District General Hospital,NHS TRUST SITE,BN212UD,RXH,50.786969,0.271108,E02004363
RWF06,Edenbridge War Memorial Hospital,NHS TRUST SITE,TN85DA,RWF,51.190348,0.066664,E02005100
R1CM8,Elmleigh Hospital,NHS TRUST SITE,PO92JJ,R1C,50.856522,-0.975584,E02004775
RHU16,Emsworth Hospital,NHS TRUST SITE,PO107DD,RHU,50.848392,-0.937393,E02004774
RXX36,Epsom General Hospital,NHS TRUST SITE,KT187EG,RXX,51.325518,-0.273231,E02006342
RXH22,Esperance Private Hospital,NHS TRUST SITE,BN213BG,RXH,50.766115,0.287016,E02004366
RHU62,Fareham Community Hospital,NHS TRUST SITE,SO317DQ,RHU,50.871526,-1.27362,E02004727
RNUCM,Faringdon Day Hospital,NHS TRUST SITE,SN78DS,RNU,51.65654,-1.58831,E02005986
U7P1U,Farmfield Hospital,NHS TRUST SITE,RH60BN,RXX,51.16637,-0.201971,E02006374
RXX29,Farnham Hospital,NHS TRUST SITE,GU99QL,RXX,51.220491,-0.784642,E02006441
RXX22,Farnham Road Hospital,NHS TRUST SITE,GU27LX,RXX,51.235093,-0.584465,E02006358
RWF13,Faversham Cottage Hospital,NHS TRUST SITE,ME138PS,RWF,51.314553,0.887822,E02005129
RN7FM,Fawkham Manor Hospital,NHS TRUST SITE,DA38ND,RN7,51.372485,0.28557,E02005093
RHM20,Fenwick Hospital,NHS TRUST SITE,SO437NG,RHM,50.879177,-1.583822,E02004785
RXX27,Fleet Hospital,NHS TRUST SITE,GU514LZ,RXX,51.287555,-0.84868,E02004758
O1Q2M,Fordcombe Hospital,NHS TRUST SITE,TN30RD,RWF,51.134513,0.188146,E02005167
RNZ04,Fordingbridge Hospital,NHS TRUST SITE,SP61JD,RNZ,50.928078,-1.793204,E02004779
RXX21,Frimley Park Hospital,NHS TRUST SITE,GU167UJ,RXX,51.319666,-0.742029,E02006425
RXH66,Gatwick Park Hospital,NHS TRUST SITE,RH60BB,RXH,51.167684,-0.183397,E02006374
RXH27,Goring Hall Hospital,NHS TRUST SITE,BN125AT,RXH,50.811389,-0.431833,E02006633
RX2Y8,Gosport War Memorial Hospital,NHS TRUST SITE,PO123PR,RX2,50.792449,-1.148037,E02004749
H3P9T,Gravesham Community Hospital,NHS TRUST SITE,DA110DG,RVV,51.443183,0.365644,E02005056
RA217,Guildford Nuffield Hospital,NHS TRUST SITE,GU27RF,RA2,51.241652,-0.612558,E02006355
D7L9I,"Hamble House, St. James Hospital Site",NHS TRUST SITE,PO48FE,R1C,50.796107,-1.045439,E02003540
RXX26,Haslemere Hospital,NHS TRUST SITE,GU272BJ,RXX,51.091746,-0.708282,E02006454
RHU17,Havant War Memorial Hospital,NHS TRUST SITE,PO91NG,RHU,50.854326,-0.989896,E02006822
RWF09,Hawkhurst Hospital,NHS TRUST SITE,TN184PU,RWF,51.048845,0.489017,E02005175
RHW30,Heatherwood Hospital,NHS TRUST SITE,SL58AA,RHW,51.410166,-0.687352,E02003437
RA262,Holycross Hospital,NHS TRUST SITE,GU271NQ,RA2,51.090618,-0.736366,E02006455
RXYH7,Homeopathic Hospital,NHS TRUST SITE,TN11JU,RXY,51.132036,0.259754,E02005169
RPC30,Horsham Hospital,NHS TRUST SITE,RH122DR,RPC,51.069888,-0.323827,E02006593
RHW28,Horton Hospital,NHS TRUST SITE,OX169AL,RHW,52.053489,-1.336883,E02005927
