msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02003575,R1C,SOLENT NHS TRUST,SO198BR,50.901628,-1.329869,2020-06-30,2024-06-30
E02003588,R1F,ISLE OF WIGHT NHS TRUST,PO305TG,50.710832,-1.301363,2020-06-30,2024-06-30
E02006355,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,GU27XX,51.241016,-0.607463,2020-06-30,2024-06-30
E02003476,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,MK65LD,52.026384,-0.73576,2020-06-30,2024-06-30
E02006425,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,GU167UJ,51.319666,-0.742029,2020-06-30,2024-06-30
E02003558,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SO166YD,50.933019,-1.435104,2020-06-30,2024-06-30
E02003525,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,PO63LY,50.850297,-1.069932,2020-06-30,2024-06-30
E02003402,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,RG15AN,51.451022,-0.95933,2020-06-30,2024-06-30
E02004684,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,RG249NA,51.280633,-1.109918,2020-06-30,2024-06-30
E02005035,RN7,DARTFORD AND GRAVESHAM NHS TRUST,DA28DA,51.434952,0.258645,2020-06-30,2024-06-30
E02005949,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,OX37JX,51.750841,-1.22232,2020-06-30,2024-06-30
E02003325,RPA,MEDWAY NHS FOUNDATION TRUST,ME75NY,51.379862,0.542062,2020-06-30,2024-06-30
E02006604,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,RH193DZ,51.135073,-0.0029,2020-06-30,2024-06-30
E02005037,RPG,OXLEAS NHS FOUNDATION TRUST,DA27WG,51.434795,0.174741,2020-06-30,2024-06-30
E02005945,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,OX39DU,51.763867,-1.219773,2020-06-30,2024-06-30
E02006400,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,KT160PZ,51.377832,-0.52706,2020-06-30,2024-06-30
E02006388,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,RH15RH,51.219194,-0.162009,2020-06-30,2024-06-30
E02005025,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,CT13NG,51.266589,1.087083,2020-06-30,2024-06-30
E02004784,RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,SO402RZ,50.9313,-1.530052,2020-06-30,2024-06-30
E02005075,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ME169QQ,51.273662,0.483974,2020-06-30,2024-06-30
E02003357,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,RG122UT,51.416178,-0.740213,2020-06-30,2024-06-30
E02006621,RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,BN133EP,50.84121,-0.411162,2020-06-30,2024-06-30
E02004368,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,TN377PT,50.88769,0.561978,2020-06-30,2024-06-30
E02003521,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,BN25BE,50.819468,-0.118177,2020-06-30,2021-03-31
E02003682,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HP70JD,51.663005,-0.621408,2020-06-30,2024-06-30
E02006364,RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,KT227AD,51.297591,-0.335629,2020-06-30,2024-06-30
E02005075,RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,ME169PH,51.273212,0.485699,2020-06-30,2024-06-30
E02006631,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,BN112DH,50.816691,-0.363429,2020-06-30,2024-06-30
