msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02003208,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH152JB,50.721987,-1.973117,2020-12-31,2024-06-30
E02006088,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,BA214AT,50.944843,-2.634712,2020-06-30,2023-03-31
E02003036,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,BS13NU,51.459478,-2.593019,2020-06-30,2024-06-30
E02003156,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TQ27AA,50.482316,-3.553804,2020-06-30,2024-06-30
E02007006,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,DT12JY,50.71294,-2.446936,2020-06-30,2024-06-30
E02004181,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,EX314JB,51.092169,-4.050431,2020-06-30,2022-06-30
E02002992,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,BA13NG,51.391665,-2.391218,2020-06-30,2024-06-30
E02003208,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,BH152JB,50.721987,-1.973117,2020-06-30,2020-09-30
E02003197,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,BH170RB,50.740073,-1.978038,2020-06-30,2024-06-30
E02003182,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,BH77DW,50.747482,-1.82052,2020-06-30,2020-09-30
E02003909,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,TR13LJ,50.266686,-5.091464,2020-06-30,2024-06-30
E02006109,RH5,SOMERSET NHS FOUNDATION TRUST,TA15DA,51.011569,-3.121702,2020-06-30,2024-06-30
E02004161,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,EX25DW,50.716703,-3.50668,2020-06-30,2024-06-30
E02003942,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PL312QN,50.471755,-4.740857,2020-06-30,2024-06-30
E02003126,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PL68DH,50.41672,-4.113684,2020-06-30,2024-06-30
E02003219,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SN36BB,51.538528,-1.7272,2020-06-30,2024-06-30
E02006672,RNZ,SALISBURY NHS FOUNDATION TRUST,SP28BJ,51.043946,-1.789823,2020-06-30,2024-06-30
E02004608,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,GL537AN,51.89212,-2.071883,2020-06-30,2024-06-30
E02004674,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,GL34AW,51.84708,-2.176384,2020-06-30,2024-06-30
E02003015,RVJ,NORTH BRISTOL NHS TRUST,BS105NB,51.494806,-2.591016,2020-06-30,2024-06-30
E02002992,RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,BA13QE,51.388604,-2.392313,2020-06-30,2024-06-30
E02004161,RWV,DEVON PARTNERSHIP NHS TRUST,EX25AF,50.715395,-3.506298,2020-06-30,2024-06-30
