Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
R1AEL,Acorns Childrens Hospice,NHS TRUST SITE,WR53EZ,R1A,52.170371,-2.213519,E02006746
RJEJ8,Donna Louise Hospice,NHS TRUST SITE,ST48FN,RJE,52.969813,-2.172891,E02002982
R1AEJ,Kemp Hospice,NHS TRUST SITE,DY116AG,R1A,52.390459,-2.263983,E02006772
RBK53,Little Bloxwich Day Hospice,NHS TRUST SITE,WS33DW,RBK,52.626343,-1.989704,E02002115
N6I0O,Marie Curie Hospice,NHS TRUST SITE,B912PQ,RRK,52.411956,-1.761498,E02002096
RKB39,Mary Ann Evans Hospice,NHS TRUST SITE,CV107QL,RKB,52.511916,-1.478727,E02006482
J4M9Y,Mary Stephens Hospice,NHS TRUST SITE,DY82JR,RRK,52.444503,-2.13748,E02002039
R1A16,Primrose Hospice & Cancer Help Centre,NHS TRUST SITE,B603BW,R1A,52.320569,-2.044203,E02006709
RXWSV,Severn Hospice,NHS TRUST SITE,SY38HS,RXW,52.720338,-2.802405,E02006028
X7S9K,Shakespeare Hospice,NHS TRUST SITE,CV379UL,RRK,52.193706,-1.731199,E02006514
RTG55,St. Giles Hospice,NHS TRUST SITE,WS149LH,RTG,52.671191,-1.762975,E02006153
A2L9A,St. Michaels Hospice,NHS TRUST SITE,HR14HA,RLQ,52.061561,-2.631448,E02002912
R1AEK,St. Richards Hospice,NHS TRUST SITE,WR52QT,R1A,52.185328,-2.179652,E02006743
RBK83,Walsall Hospice,NHS TRUST SITE,WS31SJ,RBK,52.61379,-1.978226,E02002122
RJC1W,Warwick Myton Hospice,NHS TRUST SITE,CV346PX,RJC,52.28263,-1.55866,E02006530
