msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02006741,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR51JR,52.192339,-2.178135,2020-06-30,2024-06-30
E02002135,RBK,WALSALL HEALTHCARE NHS TRUST,WS29PS,52.58233,-1.998924,2020-06-30,2024-06-30
E02006529,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,CV345BW,52.289965,-1.583203,2020-06-30,2024-06-30
E02002968,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ST46QG,53.003262,-2.211798,2020-06-30,2024-06-30
E02001976,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,CV22DX,52.421211,-1.438403,2020-06-30,2024-06-30
E02006023,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,SY107AG,52.884212,-3.032685,2020-06-30,2024-06-30
E02002163,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,WV100QP,52.599722,-2.095555,2020-06-30,2024-06-30
E02002916,RLQ,WYE VALLEY NHS TRUST,HR12ER,52.057013,-2.705709,2020-06-30,2024-06-30
E02006482,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,CV107DJ,52.51258,-1.478439,2020-06-30,2024-06-30
E02002982,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ST48HH,52.96839,-2.167808,2020-06-30,2024-06-30
E02002012,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,DY12HQ,52.502944,-2.118518,2020-06-30,2024-06-30
E02001876,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,B46NH,52.484784,-1.893808,2020-06-30,2024-06-30
E02006196,RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,ST163SR,52.810605,-2.109085,2020-06-30,2024-06-30
E02001939,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,B312AP,52.420088,-1.96116,2020-06-30,2024-06-30
E02001913,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,B152GW,52.453198,-1.93847,2020-06-30,2024-06-30
E02006743,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WR51DD,52.191193,-2.181158,2020-06-30,2024-06-30
E02001879,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,B187QH,52.488627,-1.932507,2020-06-30,2024-06-30
E02001914,RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,B138QY,52.440919,-1.897096,2020-06-30,2024-06-30
E02006034,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,SY38XQ,52.709274,-2.793689,2020-06-30,2024-06-30
E02001958,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,CV66NY,52.457137,-1.486518,2020-06-30,2024-06-30
E02001876,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,B74BN,52.487324,-1.885825,2020-06-30,2024-06-30
E02002014,TAJ,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,DY28PS,52.508328,-2.084448,2020-06-30,2024-06-30
