Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RTH12,Abingdon Community Hospital,NHS TRUST SITE,OX141AG,RTH,51.670023,-1.301891,E02005983
RW5AV,Accrington Victoria Hospital,NHS TRUST SITE,BB56AS,RW5,53.759584,-2.366921,E02005215
RX224,Acre Day Hospital,NHS TRUST SITE,BN113NJ,RX2,50.809533,-0.382784,E02006631
RR856,Airedale General Hospital,NHS TRUST SITE,BD206TE,RR8,53.896081,-1.956366,E02006945
RGR65,Aldeburgh Community Hospital,NHS TRUST SITE,IP155ES,RGR,52.152262,1.595543,E02006290
RBS06,Alderhey Childrens Hospital At Manor Farm Primary Care Resource Centre,NHS TRUST SITE,L360UB,RBS,53.404553,-2.831049,E02001341
RBS01,Alderhey Childrens Hospital At The Halewood Centre,NHS TRUST SITE,L269UH,RBS,53.359024,-2.82558,E02001346
RBS05,Alderhey Childrens Hospital At Tower Hill Primary Care Resource Centre,NHS TRUST SITE,L331XT,RBS,53.495201,-2.88656,E02001327
RBS04,Alderhey Childrens Hospital At Whiston Primary Care Resource Centre,NHS TRUST SITE,L353SX,RBS,53.415642,-2.800887,E02001339
RDY22,Alderney Hospital,NHS TRUST SITE,BH124NB,RDY,50.749698,-1.940973,E02003195
RWP01,Alexandra Hospital,NHS TRUST SITE,B987UB,RWP,52.279774,-1.912127,E02006729
RJN38,Alexandra Hospital,NHS TRUST SITE,SK82PX,RJN,53.397264,-2.215828,E02001208
RV917,Alfred Bean Hospital,NHS TRUST SITE,YO255JR,RV9,54.012164,-0.423232,E02006891
RGDAH,Alpha Hospital Bury,NHS TRUST SITE,BL82BS,RGD,53.587136,-2.316737,E02001027
RN503,Alton Hospital Acute Services,NHS TRUST SITE,GU341RJ,RN5,51.140744,-0.98982,E02004699
RWW07,Altrincham General Hospital,NHS TRUST SITE,WA141PE,RWW,53.38652,-2.352998,E02001283
RT2CM,Altrincham Hospital,NHS TRUST SITE,WA142RE,RT2,53.385121,-2.351829,E02001283
RX2F3,Amberstone Hospital,NHS TRUST SITE,BN274HU,RX2,50.881826,0.275547,E02004420
RXQ51,Amersham Hospital,NHS TRUST SITE,HP70JD,RXQ,51.663005,-0.621408,E02003682
R1C14,Amulree Day Hospital,NHS TRUST SITE,PO36AD,R1C,50.800122,-1.063932,E02003540
RNZ59,Andover War Memorial Hospital,NHS TRUST SITE,SP103LB,RNZ,51.215737,-1.494692,E02004817
RET30,Arrow Park Hospital,NHS TRUST SITE,CH495PE,RET,53.36964,-3.096815,E02001491
RX2P3,Arundal Hospital Lodge,NHS TRUST SITE,BN180AB,RX2,50.854475,-0.565259,E02006542
Q1K4X,Aset Hospital,NHS TRUST SITE,L357LS,RM3,53.425421,-2.779612,E02001335
RA952,Ashburton And Buckfastleigh Hospital,NHS TRUST SITE,TQ137AP,RA9,50.519348,-3.74854,E02004217
RXH18,Ashdown Nuffield Hospital,NHS TRUST SITE,RH161UD,RXH,51.008356,-0.106181,E02006612
RK5FK,Ashfield Community Hospital,NHS TRUST SITE,NG177AB,RK5,53.100956,-1.246664,E02005826
RTK02,Ashford Hospital,NHS TRUST SITE,TW153AA,RTK,51.444022,-0.472813,E02006405
RTFDL,Ashington Hospital,NHS TRUST SITE,NE630RZ,RTF,55.181521,-1.56912,E02005735
RTK55,Ashtead Hospital,NHS TRUST SITE,KT212SB,RTK,51.304339,-0.303292,E02006362
RW1YH,Ashurst Hospital,NHS TRUST SITE,SO407AR,RW1,50.892134,-1.522292,E02004784
RW404,Ashworth Hospital,NHS TRUST SITE,L311HW,RW4,53.518669,-2.915374,E02001446
RX3AT,Auckland Park Hospital,NHS TRUST SITE,DL146AE,RX3,54.654838,-1.680756,E02004353
RTVA8,Avenue Day Hospital,NHS TRUST SITE,WN71HS,RTV,53.504428,-2.512253,E02001317
RH857,Axminster Hospital,NHS TRUST SITE,EX135DU,RH8,50.783892,-2.996268,E02004133
RY8DE,Babington Hospital,NHS TRUST SITE,DE561WH,RY8,53.018944,-1.485847,E02004038
RF426,Baddow Hospital,NHS TRUST SITE,CM28FR,RF4,51.707904,0.501773,E02004498
RATAP,Barking Hospital,NHS TRUST SITE,IG119LX,RAT,51.538564,0.098727,E02000012
RQY05,Barnes Hospital,NHS TRUST SITE,SW148SU,RQY,51.467092,-0.256518,E02000786
RAL26,Barnet Hospital,NHS TRUST SITE,EN53DJ,RAL,51.650726,-0.214152,E02000027
RHQBN,Barnsley District General Hospital,NHS TRUST SITE,S752EP,RHQ,53.559132,-1.499493,E02001520
RFRAA,Barnsley Hospitals,NHS TRUST SITE,S752PS,RFR,53.559855,-1.500617,E02001520
RVJ86,Barrow Hospital,NHS TRUST SITE,BS483SF,RVJ,51.418261,-2.668055,E02003075
T5J5E,Barts Hospital At Home,NHS TRUST SITE,E11FR,R1H,51.518702,-0.060138,E02000880
E9G8N,Barts Vaccine Centre Hospital,NHS TRUST SITE,E20HL,R1H,51.526438,-0.053739,E02000874
RF420,Basildon Hospital,NHS TRUST SITE,SS165NL,RF4,51.557679,0.450587,E02004443
RHQNN,Bassetlaw Hospital,NHS TRUST SITE,S810BD,RHQ,53.316574,-1.110284,E02006903
RVJJ7,Bath Mineral Hospital,NHS TRUST SITE,BA11RN,RVJ,51.382341,-2.362111,E02002991
RWX98,Bath Road Day Hospital,NHS TRUST SITE,RG16HH,RWX,51.450239,-0.983928,E02003401
RWX77,Battle Hospital,NHS TRUST SITE,RG301AG,RWX,51.457111,-0.996614,E02003395
RT2C3,Bealey Community Hospital,NHS TRUST SITE,M262QD,RT2,53.565754,-2.309285,E02001033
RMC78,Beardwood Hospital,NHS TRUST SITE,BB27AE,RMC,53.755038,-2.513177,E02002624
RMC37,Beaumont Hospital,NHS TRUST SITE,BL64LA,RMC,53.581505,-2.499304,E02001003
RGP73,Beccles & District Hospital,NHS TRUST SITE,NR349NQ,RGP,52.454149,1.562352,E02006311
RWF22,Benenden Hospital,NHS TRUST SITE,TN174AX,RWF,51.086649,0.6161,E02005175
RX458,Bensham Hospital,NHS TRUST SITE,NE84YL,RX4,54.944957,-1.614973,E02001688
RTQ81,Berkeley Hospital,NHS TRUST SITE,GL139AD,RTQ,51.692006,-2.4585,E02004662
RDU17,Berkshire Independent Hospital,NHS TRUST SITE,RG16UZ,RDU,51.44455,-0.988313,E02003401
RP1V4,Berrywood Hospital,NHS TRUST SITE,NN56UD,RP1,52.246773,-0.9592,E02007072
RX2M4,Bexhill Community Hospital,NHS TRUST SITE,TN402DZ,RX2,50.850706,0.475497,E02004399
RTH27,Bicester Community Hospital,NHS TRUST SITE,OX266HT,RTH,51.896191,-1.158078,E02005935
RMY09,Bickley Day Hospital,NHS TRUST SITE,NR172QE,RMY,52.517762,1.017401,E02005513
A2A4G,Bideford Hospital,NHS TRUST SITE,EX393AG,RH8,51.017812,-4.212783,E02004222
R1L91,Biggleswade Hospital,NHS TRUST SITE,SG180EL,R1L,52.100321,-0.24686,E02003604
RWK1Q,Biggleswade Hospital Spring House,NHS TRUST SITE,SG180EJ,RWK,52.096653,-0.250522,E02003604
RCF23,Bingley Hospital,NHS TRUST SITE,BD164HD,RCF,53.850045,-1.826722,E02002197
RT264,Birchill Hospital,NHS TRUST SITE,OL129QB,RT2,53.640264,-2.121386,E02001135
RTH39,Birmingham Childrens Hospital,NHS TRUST SITE,B46NW,RTH,52.484244,-1.893383,E02001876
RRK06,Birmingham City Hospital,NHS TRUST SITE,B187QH,RRK,52.488627,-1.932507,E02001879
RYW21,Birmingham Dental Hospital,NHS TRUST SITE,B46NN,RYW,52.485639,-1.89525,E02001876
RQ370,Birmingham Womens Hospital,NHS TRUST SITE,B152TG,RQ3,52.45323,-1.942905,E02001913
RTRBA,Bishop Auckland General Hospital,NHS TRUST SITE,DL146AD,RTR,54.655848,-1.678547,E02004353
RXL08,Bispham Hospital Rehabilitation Unit,NHS TRUST SITE,FY20FN,RXL,53.858223,-3.021462,E02002634
RJ252,Blackheath Hospital,NHS TRUST SITE,SE39UD,RJ2,51.463474,0.006265,E02000661
RXN08,Blackpool Victoria Hospital,NHS TRUST SITE,FY38NR,RXN,53.820675,-3.016275,E02002641
RNS9M,Blakelands Hospital,NHS TRUST SITE,MK145HR,RNS,52.074424,-0.742698,E02003463
RBD20,Blandford Community Hospital,NHS TRUST SITE,DT117DD,RBD,50.86307,-2.167984,E02004261
RTHG2,Bletchley Community Hospital,NHS TRUST SITE,MK36EN,RTH,51.997414,-0.747638,E02003489
RBK80,Bloxwich Hospital,NHS TRUST SITE,WS32JJ,RBK,52.613749,-2.004845,E02002117
RTF13,Blyth Community Hospital,NHS TRUST SITE,NE241DX,RTF,55.127873,-1.514936,E02005710
RHMH5,Bmi Sarum Road Hospital,NHS TRUST SITE,SO225HA,RHM,51.060714,-1.33909,E02004833
L6C6L,Bmi St.. Edmunds Hospital,NHS TRUST SITE,IP332AA,RGR,52.240078,0.719386,E02006278
RBK85,Bmi The Priory Hospital,NHS TRUST SITE,B57UG,RBK,52.456429,-1.911423,E02001905
RBD0A,Bmi The Winterbourne Hospital,NHS TRUST SITE,DT12DR,RBD,50.701017,-2.441867,E02004278
RJ866,Bodmin Hospital,NHS TRUST SITE,PL312QT,RJ8,50.468805,-4.741983,E02003942
RHU19,Bognor Regis War Memorial Hospital,NHS TRUST SITE,PO229PP,RHU,50.793365,-0.675418,E02006555
RJ815,Bolitho Hospital,NHS TRUST SITE,TR184NY,RJ8,50.111395,-5.548568,E02003951
RY8NT,Bolsover Hospital,NHS TRUST SITE,S446DH,RY8,53.231547,-1.282515,E02004049
RCB16,Bootham Park Hospital,NHS TRUST SITE,YO307BY,RCB,53.968072,-1.0856,E02002784
RDY01,Boscombe Community Hospital,NHS TRUST SITE,BH14JQ,RDY,50.729266,-1.841473,E02003190
RNZ55,Bournemouth Nuffield Hospital,NHS TRUST SITE,BH11RW,RNZ,50.730406,-1.870932,E02003188
RBZ2A,Bovey Tracey Hospital,NHS TRUST SITE,TQ139HJ,RBZ,50.597992,-3.676332,E02004204
RXA19,Bowmere Hospital,NHS TRUST SITE,CH21BQ,RXA,53.211544,-2.898825,E02003797
A3M3L,Brackley Comm Hospital,NHS TRUST SITE,NN136QZ,RP1,52.038067,-1.137701,E02005689
RP1M2,Brackley Cottage Hospital,NHS TRUST SITE,NN137DA,RP1,52.030921,-1.143131,E02005690
D8Z8K,Bradford Teaching Hospitals Nhs Foundation Trust,NHS TRUST SITE,BD96RJ,RAE,53.80598,-1.794697,E02002219
RREHI,Bradwell Hospital,NHS TRUST SITE,ST57NL,RRE,53.041578,-2.242055,E02006163
RAJ48,Braintree Community Hospital,NHS TRUST SITE,CM72AL,RAJ,51.878904,0.541061,E02004454
RJC56,Bramcote Hospital,NHS TRUST SITE,CV116QL,RJC,52.499997,-1.415554,E02006485
RNNCP,Brampton Hospital,NHS TRUST SITE,CA81TX,RNN,54.939842,-2.726293,E02003988
RATRM,Brentwood Community Hospital,NHS TRUST SITE,CM158DR,RAT,51.623555,0.316428,E02004468
RRF64,Bridgewater Hospital,NHS TRUST SITE,M155AT,RRF,53.45974,-2.245483,E02001063
RPGCR,Bridgeways Day Hospital,NHS TRUST SITE,BR28JA,RPG,51.387666,0.042616,E02000152
RXWMB,Bridgnorth Hospital,NHS TRUST SITE,WV164EU,RXW,52.537897,-2.421502,E02006012
A5T3C,Bridgwater Hospital,NHS TRUST SITE,TA64GU,RH5,51.140557,-2.974132,E02006070
RV928,Bridlington & District Hospital,NHS TRUST SITE,YO164QP,RV9,54.086552,-0.215754,E02002686
Q8I1N,Bridport Community Hospital,NHS TRUST SITE,DT65DR,R0D,50.741594,-2.769929,E02004275
RX2M5,Brighton General Hospital,NHS TRUST SITE,BN23EW,RX2,50.831176,-0.114497,E02003515
RA708,Bristol Eye Hospital,NHS TRUST SITE,BS12LX,RA7,51.458436,-2.594546,E02006951
RA703,Bristol Homeopathic Hospital,NHS TRUST SITE,BS66JU,RA7,51.46212,-2.603777,E02006951
RA723,Bristol Royal Hospital For Children,NHS TRUST SITE,BS28BJ,RA7,51.457748,-2.597329,E02006951
A5V9E,Brixham Hospital,NHS TRUST SITE,TQ59HW,RA9,50.389444,-3.513823,E02003171
RBN59,Broadgreen Hospital,NHS TRUST SITE,L143LB,RBN,53.411151,-2.897989,E02001372
RWXJP,Broadmoor Hospital,NHS TRUST SITE,RG457EG,RWX,51.369086,-0.781,E02003364
RX3XP,Brompton House Day Hospital,NHS TRUST SITE,DL61EA,RX3,54.344748,-1.432193,E02007042
RLQ03,Bromyard Community Hospital,NHS TRUST SITE,HR74QN,RLQ,52.186335,-2.506908,E02002909
RTE81,Bronllys Hospital,NHS TRUST SITE,LD30LS,RTE,52.010245,-3.261822,W02000111
RT11A,Brookfields Hospital,NHS TRUST SITE,CB13DF,RT1,52.197,0.15138,E02003727
RYG96,Brooklands Hospital,NHS TRUST SITE,B377HL,RYG,52.4712,-1.744102,E02002089
RDEP3,Broomfield Hospital,NHS TRUST SITE,CM17ET,RDE,51.774654,0.465993,E02004486
RXQ61,Buckingham Hospital,NHS TRUST SITE,MK181NU,RXQ,52.001593,-0.985664,E02003653
RXYAR,Buckland Hospital,NHS TRUST SITE,CT170HD,RXY,51.132061,1.292413,E02005051
RBZ85,Budleigh Salterton Hospital,NHS TRUST SITE,EX96HF,RBZ,50.631592,-3.320519,E02004145
RTE82,Builth Wells Cottage Hospital,NHS TRUST SITE,LD23HE,RTE,52.147292,-3.411406,W02000110
RHQCR,Bupa Cromwell Hospital,NHS TRUST SITE,SW50TU,RHQ,51.495107,-0.191361,E02000589
RHW25,Bupa Dunedin Hospital,NHS TRUST SITE,RG16NS,RHW,51.45022,-0.986821,E02003401
