msoa,Ethnicity,Total,0-15,16-19,20-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-99
E02000001,Asian,699,43,22,55,100,122,118,65,48,32,28,14,21,31
E02000001,Black,116,16,6,4,2,10,9,4,9,12,19,14,4,7
E02000001,Mixed,242,61,15,4,30,37,24,17,15,18,7,8,1,5
E02000001,Other,264,20,9,3,32,30,30,43,11,24,21,7,20,14
E02000001,White,3391,156,35,55,188,451,357,293,244,261,323,249,238,541
E02000002,Asian,875,266,45,20,30,52,83,87,75,88,43,23,23,40
E02000002,Black,775,300,75,13,28,38,46,40,41,44,53,30,25,42
E02000002,Mixed,210,123,20,6,14,9,6,4,10,4,6,3,1,4
E02000002,Other,115,28,7,1,5,10,6,10,12,12,10,3,3,8
E02000002,White,1942,414,104,37,63,115,176,131,128,124,109,120,113,308
E02000003,Asian,2055,661,110,40,68,109,168,231,221,146,90,68,52,91
E02000003,Black,841,196,77,21,39,91,40,44,45,32,77,59,69,51
E02000003,Mixed,257,128,32,8,12,17,12,15,6,5,6,8,5,3
E02000003,Other,260,56,13,6,9,13,21,29,28,21,11,11,16,26
E02000003,White,2298,392,94,31,121,198,226,145,121,140,162,156,138,374
E02000004,Asian,512,140,27,9,21,41,48,58,50,39,23,14,19,23
E02000004,Black,451,124,26,11,25,41,29,29,41,20,29,28,29,19
E02000004,Mixed,126,63,12,4,6,9,16,7,1,4,1,2,0,1
E02000004,Other,116,32,8,2,5,14,10,11,11,5,3,6,5,4
E02000004,White,2045,312,94,38,94,156,147,137,132,127,157,145,137,369
E02000005,Asian,1680,579,83,29,46,81,122,197,249,109,67,49,31,38
E02000005,Black,921,288,78,27,39,60,42,53,48,58,88,66,41,33
E02000005,Mixed,256,156,23,5,13,9,10,9,6,6,8,7,0,4
E02000005,Other,207,64,4,2,7,11,25,24,17,17,14,13,3,6
E02000005,White,2334,473,134,52,89,178,172,174,165,154,178,141,113,311
E02000007,Asian,745,228,36,16,21,49,100,90,69,49,34,21,11,21
E02000007,Black,1225,393,106,37,60,84,61,45,109,81,87,83,43,36
E02000007,Mixed,202,124,18,4,12,9,10,10,6,3,3,1,2,0
E02000007,Other,183,60,9,5,8,13,19,16,14,12,12,4,4,7
E02000007,White,2460,536,117,59,112,155,177,174,152,164,153,158,129,374
E02000008,Asian,1259,422,71,17,46,80,108,145,128,105,60,30,21,26
E02000008,Black,1170,359,90,32,64,58,49,73,68,79,107,93,50,48
E02000008,Mixed,257,152,25,6,10,17,12,9,8,7,3,3,2,3
E02000008,Other,213,64,10,4,8,15,12,25,25,14,15,9,4,8
E02000008,White,3490,712,182,80,144,200,259,280,234,264,263,280,181,411
E02000009,Asian,1576,501,88,31,51,83,164,184,159,123,74,50,30,38
E02000009,Black,1350,376,186,38,69,98,63,38,102,76,108,114,44,38
E02000009,Mixed,298,179,24,12,12,23,12,10,8,8,2,3,3,2
E02000009,Other,246,86,9,4,10,19,22,23,13,13,22,10,5,10
E02000009,White,2832,641,111,48,134,217,225,240,211,186,178,181,126,334
