msoa,all_ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E02002796,3154,18,25,30,30,30,39,35,25,39,40,45,35,40,41,35,30,45,35,35,20,20,25,20,25,20,25,25,20,10,30,20,35,25,36,25,20,45,35,30,30,40,35,55,35,36,35,44,49,54,45,39,50,45,45,35,52,50,52,50,45,39,36,35,40,35,50,42,42,42,43,26,43,38,53,52,34,53,36,32,32,24,28,25,32,19,23,14,18,18,15,51
E02002797,3886,28,20,30,25,30,30,30,35,40,50,40,30,40,40,50,35,30,43,30,30,24,20,25,35,40,20,25,25,30,30,45,35,20,40,25,40,40,35,35,50,40,55,35,45,42,40,35,40,45,55,39,55,45,61,50,63,75,58,40,59,48,41,49,65,50,50,51,47,42,44,54,63,54,54,66,45,49,49,54,61,46,46,51,60,46,54,39,40,50,21,95
E02002798,5274,60,45,55,40,55,55,65,62,55,45,50,50,60,40,60,50,40,40,60,35,55,64,64,80,78,85,89,95,85,90,60,75,75,70,80,60,65,60,70,75,55,65,55,60,45,60,50,40,75,70,90,75,85,76,80,96,104,94,95,98,85,91,70,80,70,55,55,55,60,55,61,40,55,55,59,35,35,24,24,30,25,25,25,23,14,15,20,0,5,15,48
E02002799,3236,32,40,30,40,35,54,40,51,40,45,40,35,40,45,35,35,40,39,35,30,35,67,30,45,49,35,49,60,59,69,55,50,64,45,55,55,35,45,35,45,40,45,56,50,31,40,45,30,50,35,40,50,50,30,40,40,50,49,35,35,35,40,25,30,25,25,10,24,25,20,20,25,19,25,35,15,20,20,20,14,15,15,10,21,14,10,20,16,5,15,19
E02002800,3569,23,25,30,20,35,39,35,30,35,45,40,41,40,45,45,45,40,44,30,20,39,59,49,40,43,35,40,35,44,30,45,30,30,30,46,40,51,50,40,44,54,45,55,45,51,45,54,43,45,50,49,45,50,45,54,52,45,44,50,45,35,35,40,40,25,35,29,39,48,44,40,34,40,45,45,44,43,30,30,26,28,28,19,32,20,31,20,26,18,16,91
E02002801,3826,32,30,25,40,30,45,40,62,45,45,45,46,40,45,45,40,45,40,40,25,44,45,39,50,50,30,40,55,30,55,70,55,45,55,50,40,50,60,50,55,50,40,35,30,35,40,55,45,60,45,55,70,60,55,60,51,50,64,50,64,40,40,35,45,30,35,39,43,39,29,36,48,49,50,40,45,48,36,38,31,24,24,35,26,24,25,25,13,11,5,31
E02002802,4056,56,40,40,65,55,54,45,61,65,71,69,51,68,61,45,50,64,48,45,35,44,50,25,40,49,40,50,65,55,80,55,70,77,60,60,55,65,67,70,64,70,60,45,45,35,50,54,48,50,45,50,60,55,55,60,67,50,50,45,53,34,50,54,40,40,35,43,39,30,25,30,30,25,35,30,25,10,25,19,27,9,19,24,15,10,5,15,5,5,0,27
E02002803,3984,40,30,25,30,15,30,15,30,20,20,20,15,25,25,20,25,30,25,76,296,267,245,150,136,101,97,91,75,59,69,76,55,49,61,51,40,40,35,45,40,54,35,35,30,30,35,30,44,25,41,30,40,45,35,35,46,40,40,40,30,30,30,34,29,30,40,25,35,25,20,40,29,20,15,30,15,26,20,15,9,10,10,10,15,15,15,15,10,4,0,29
E02002804,4725,43,30,70,66,65,55,76,66,60,71,78,72,79,76,70,54,55,53,35,40,45,35,39,50,49,30,59,66,73,74,91,96,79,76,71,91,91,108,65,69,74,60,66,45,46,45,44,44,64,45,64,45,60,60,60,65,55,53,50,55,60,50,50,44,50,44,44,35,39,30,50,40,35,45,30,35,30,28,25,10,20,25,25,15,33,16,20,10,10,15,91
E02002805,2861,19,25,20,20,30,25,30,20,30,35,25,20,25,41,40,35,30,25,20,25,20,20,20,20,25,20,15,15,30,20,15,25,30,25,35,35,30,45,25,30,25,40,24,30,31,35,35,40,30,35,35,35,40,55,30,55,40,40,35,30,45,45,35,30,35,25,30,39,39,45,30,40,35,63,68,40,64,45,29,37,35,40,25,25,20,20,19,19,25,15,39
E02002806,2904,35,20,35,30,40,25,40,20,35,25,30,20,25,25,20,10,20,15,20,101,166,167,122,87,77,60,77,65,68,65,45,45,45,50,41,40,40,40,40,35,30,20,25,35,35,30,30,25,20,25,30,20,35,30,25,30,40,35,25,25,25,25,20,15,15,20,10,10,15,15,10,20,10,35,25,15,5,10,0,5,5,10,5,10,5,0,0,5,9,0,14
E02002807,4657,31,45,50,55,60,55,50,51,63,65,55,45,80,55,60,55,65,49,56,35,45,40,40,68,59,40,50,50,50,65,55,65,70,65,45,50,55,66,60,60,55,55,65,55,55,61,45,58,64,75,79,65,60,81,80,66,65,60,50,69,59,50,64,45,50,45,45,49,40,45,46,45,54,70,69,30,48,41,35,20,25,33,29,25,20,20,20,25,10,10,49
E02002808,5902,74,69,55,66,60,59,50,45,69,60,50,40,50,50,45,40,45,40,66,161,228,259,232,180,159,154,173,168,166,127,136,102,107,110,76,96,111,100,95,83,97,70,84,50,53,55,55,55,63,55,79,50,50,70,75,56,50,50,55,60,40,29,40,45,25,30,29,25,25,34,20,20,15,15,20,15,25,15,10,15,10,10,15,9,9,12,0,6,6,11,34
E02002809,3698,29,49,40,45,45,35,40,35,59,56,40,45,40,35,50,35,20,35,25,30,25,44,44,35,49,50,30,35,40,69,50,45,54,45,35,61,45,45,45,45,40,55,46,49,31,45,35,40,45,55,58,55,60,46,40,55,60,54,55,44,45,40,25,45,46,30,39,28,33,49,34,20,48,29,49,30,40,39,35,36,34,38,20,21,15,26,28,20,19,13,77
E02002810,4720,52,50,50,62,45,49,50,62,54,66,49,41,40,56,35,50,35,54,45,35,25,30,35,49,58,40,60,81,45,69,76,60,50,51,72,61,87,56,50,63,68,65,46,59,51,56,59,57,59,56,59,65,55,72,40,59,60,60,65,59,50,82,63,55,65,54,40,44,62,55,50,48,39,60,63,45,56,55,40,36,40,34,40,42,23,37,30,36,26,18,64
E02002811,5060,105,79,90,55,90,91,77,90,77,82,79,109,102,75,60,70,75,73,93,75,67,82,85,87,67,98,69,111,101,74,85,71,69,73,98,101,96,71,85,60,73,81,60,60,51,61,55,53,45,67,72,60,45,72,55,46,54,55,61,45,49,36,30,35,25,40,29,30,25,20,25,15,20,15,15,15,10,19,15,10,15,15,10,15,20,0,10,0,0,0,29
E02002812,4032,40,35,35,40,40,40,51,42,40,62,45,41,35,50,50,55,55,39,45,20,34,49,35,50,48,64,43,77,68,59,60,66,54,40,56,61,40,63,55,59,53,51,62,55,42,40,58,42,45,40,67,70,66,50,44,46,45,53,55,53,48,35,44,50,51,45,43,38,38,30,31,30,40,44,35,19,31,36,35,25,24,32,24,14,23,33,31,11,16,15,83
