area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00000001,1,5,8,4,3,7,10,4,13,15,15,12,13,24,19,10,12,2
E00000003,10,8,16,11,12,21,9,13,15,16,20,14,18,35,25,6,4,6
E00000005,4,1,1,2,7,9,5,5,10,11,8,5,15,12,5,6,3,2
E00000007,1,2,2,0,17,36,18,16,9,12,5,6,6,4,7,1,1,4
E00000010,1,3,3,4,9,13,20,34,16,15,18,14,8,7,4,4,5,1
E00000013,9,6,4,1,14,28,39,30,21,13,21,17,13,10,9,8,3,4
E00000018,6,4,7,4,12,12,24,18,8,25,12,27,17,29,20,12,5,6
E00000019,11,5,4,4,50,71,40,36,27,15,35,12,21,8,11,11,5,4
E00000020,5,3,4,5,12,17,19,19,12,15,18,11,14,10,15,7,13,3
E00000021,5,4,3,7,20,56,44,27,25,18,34,25,21,16,12,12,10,7
E00000022,12,6,8,2,14,31,15,15,16,9,19,15,21,12,12,5,0,6
E00000023,8,10,10,9,24,16,26,15,14,13,18,12,12,4,5,2,5,6
E00000024,3,3,25,4,67,56,43,25,23,29,25,26,19,11,5,1,2,1
E00000025,5,1,4,12,62,58,38,29,9,19,14,30,13,14,9,7,5,3
E00000028,0,1,2,6,76,43,18,15,13,9,7,9,5,5,6,0,3,1
E00000029,8,5,1,29,49,31,43,31,15,9,11,17,21,6,4,0,5,1
E00000030,15,8,11,27,34,32,34,21,18,24,26,21,11,7,8,4,3,5
E00000031,11,12,7,6,3,13,15,11,10,15,12,10,6,1,6,6,1,2
E00000032,16,19,16,27,32,20,26,24,19,11,38,36,27,21,8,7,4,5
E00000037,22,21,21,15,31,21,31,31,33,22,14,13,14,9,6,5,4,1
E00000038,30,26,35,28,31,29,39,41,36,26,18,21,21,9,9,6,6,5
E00000039,46,53,23,19,22,31,28,34,29,24,37,10,11,0,3,4,0,0
E00000040,42,38,22,11,12,29,53,53,23,32,19,16,9,6,3,3,3,3
E00000041,20,23,23,20,20,28,20,37,25,22,18,19,13,6,9,5,4,0
E00000042,17,8,5,3,8,18,18,20,11,22,12,14,18,9,6,8,7,5
E00000043,21,25,29,37,26,27,17,33,22,25,33,18,9,0,4,1,1,2
E00000045,45,24,32,15,20,27,20,38,24,19,17,9,11,5,2,3,2,0
E00000046,43,23,13,17,21,20,56,32,32,39,13,21,14,3,2,1,1,2
E00000048,42,61,54,49,30,40,32,39,36,25,24,28,23,9,4,0,2,1
E00000049,20,24,27,25,34,22,38,27,32,38,32,20,16,19,7,10,4,5
E00000050,27,64,55,55,31,28,29,51,34,29,31,31,26,6,3,5,2,3
E00000051,51,39,25,31,35,47,69,65,45,24,32,23,17,10,3,11,6,4
E00000052,35,44,36,26,29,33,49,24,39,23,36,21,13,6,8,6,9,2
E00000053,44,37,18,31,34,21,40,50,38,41,30,19,15,13,16,4,3,2
E00000054,30,34,34,22,21,31,38,50,33,23,25,17,22,24,13,4,3,2
E00000055,32,28,28,25,29,51,43,41,47,31,22,24,28,17,11,1,4,3
E00000056,34,47,48,38,31,45,31,26,39,36,29,24,6,9,5,2,5,0
E00000057,34,39,41,48,27,22,21,32,40,25,31,20,9,6,7,3,0,1
E00000059,41,14,18,24,9,19,32,20,24,17,18,6,3,3,0,0,1,1
E00000060,16,24,19,18,17,17,22,16,23,24,17,16,7,12,6,3,5,5
E00000061,27,16,22,11,15,24,22,30,18,19,16,15,15,12,7,2,4,3
E00000063,25,27,28,14,17,20,38,27,17,15,17,12,16,6,9,8,4,2
E00000064,22,20,20,26,25,31,25,37,27,22,16,17,13,17,11,2,5,3
E00000066,38,42,55,47,39,30,71,57,74,34,24,26,23,10,6,5,4,1
E00000067,34,42,22,20,15,30,34,33,26,22,26,11,14,8,8,4,2,3
E00000068,23,30,22,22,22,34,33,37,21,27,20,17,17,10,11,5,5,2
E00000069,52,59,44,41,34,39,37,40,42,27,29,17,6,4,6,3,1,0
E00000070,23,25,27,26,20,31,29,35,28,24,25,35,13,17,12,11,4,8
E00000071,22,21,21,23,20,19,27,28,19,29,22,19,13,11,8,5,7,6
E00000072,24,28,32,28,18,25,22,26,24,24,26,16,20,10,9,6,4,5
E00000073,19,30,28,17,29,36,25,21,17,28,23,20,17,8,3,3,1,5
E00000074,22,29,20,24,23,19,20,17,32,19,26,20,8,13,8,1,6,3
E00000075,19,27,27,22,14,22,24,24,18,27,27,30,22,12,8,11,7,2
E00000076,24,30,43,30,18,21,36,34,25,20,19,20,22,13,2,1,1,0
E00000077,19,27,31,28,30,15,21,38,20,18,38,23,22,13,13,3,12,3
E00000078,21,27,27,23,24,17,25,29,34,24,21,16,14,11,10,5,3,0
E00000079,30,27,28,23,26,26,32,38,33,19,27,21,18,8,12,4,6,2
E00000080,57,61,54,31,30,52,58,38,44,48,34,20,27,8,6,9,2,7
E00000081,25,28,33,29,18,28,23,23,23,26,33,20,14,12,9,7,6,2
E00000082,29,26,26,23,19,27,36,22,35,19,24,29,16,10,1,7,7,5
E00000083,15,19,36,28,28,25,15,18,29,24,29,31,8,10,8,7,4,4
E00000084,36,28,24,27,23,20,28,32,32,14,27,23,14,12,7,2,6,3
E00000085,23,25,32,19,11,12,26,26,24,24,21,23,22,5,5,6,2,3
E00000086,18,34,27,27,19,24,35,29,30,23,21,18,14,13,8,10,3,2
E00000087,25,28,17,21,26,20,23,19,19,10,15,12,9,3,5,6,6,4
E00000088,22,30,25,24,15,24,22,30,39,55,12,14,20,12,3,4,5,5
E00000089,20,35,25,26,22,19,31,31,20,20,29,19,18,7,4,4,3,1
E00000090,20,35,34,24,15,31,45,38,30,25,23,16,13,8,1,7,5,6
E00000091,54,68,53,52,40,34,58,49,51,32,45,27,20,12,7,3,9,5
E00000092,19,30,25,30,27,20,30,32,37,26,32,21,16,18,9,4,4,4
E00000093,21,39,32,15,16,34,25,25,36,27,33,22,12,9,9,5,3,2
E00000094,24,44,37,42,28,30,32,34,32,27,28,23,10,12,13,3,3,7
E00000095,45,52,40,35,36,29,50,47,46,34,45,34,17,10,6,11,1,4
E00000096,22,24,21,19,32,22,23,26,18,25,21,16,24,18,8,12,5,4
E00000097,29,34,22,27,21,15,30,36,29,32,28,18,16,8,9,7,2,4
E00000098,34,21,29,14,12,22,37,26,27,26,10,15,14,9,7,7,2,2
E00000099,10,4,3,0,4,9,11,16,7,9,12,7,8,6,3,2,2,1
E00000100,26,36,30,31,33,39,35,33,30,37,28,22,19,9,5,5,1,5
E00000101,21,40,26,35,26,25,33,24,27,31,29,17,13,11,11,6,5,2
E00000102,23,33,37,33,24,34,16,41,21,27,30,25,16,19,6,2,6,3
E00000103,27,47,42,27,34,33,30,33,51,29,29,34,32,16,7,3,3,0
E00000104,30,49,62,28,22,23,30,34,43,34,30,30,13,9,14,4,5,9
E00000106,29,30,34,28,27,20,35,32,31,21,31,21,11,11,8,11,7,5
E00000107,32,35,32,24,26,20,38,36,24,28,31,27,9,19,9,3,3,2
E00000108,31,36,35,23,11,15,26,36,23,21,23,12,23,9,9,7,3,2
E00000109,34,43,45,40,30,34,48,36,42,25,24,23,18,7,8,7,7,1
E00000110,27,28,31,27,24,31,22,20,36,22,21,17,15,6,3,5,3,1
E00000111,27,32,32,35,22,25,35,30,36,49,28,27,20,12,6,10,4,6
