msoa,all_ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E02001682,4347,53,46,35,40,46,49,44,35,46,51,45,51,45,44,40,48,40,35,40,30,25,25,25,50,45,45,45,55,41,54,69,40,46,60,56,61,54,51,67,54,44,54,50,45,51,56,61,55,62,69,79,60,66,71,66,69,74,55,45,75,60,65,50,51,51,50,50,44,60,35,44,62,50,50,61,44,63,41,46,25,30,37,30,35,24,25,26,26,13,10,51
E02001683,4774,52,41,51,54,45,50,40,45,56,40,45,56,50,49,46,49,36,39,43,25,36,35,37,45,63,50,60,50,82,60,60,50,56,70,47,50,60,55,73,60,70,59,54,58,41,55,56,51,76,54,55,65,71,73,77,73,83,88,95,71,67,69,68,70,52,64,59,44,50,58,58,46,55,71,71,45,55,44,51,34,20,30,44,26,41,20,30,10,20,5,61
E02001684,3424,39,36,41,48,46,30,39,46,41,46,35,36,41,39,41,30,31,30,30,30,30,25,30,40,58,35,67,50,62,59,78,50,58,61,58,46,54,50,51,55,54,45,50,48,30,35,30,25,40,40,45,40,45,30,45,54,30,35,40,35,44,45,45,41,25,33,45,30,37,31,39,29,30,30,35,25,25,25,20,18,15,10,20,21,15,14,18,21,10,10,50
E02001685,4212,40,40,46,40,66,44,50,55,53,57,60,52,53,45,61,43,45,40,39,30,36,36,36,59,58,55,55,59,61,64,60,71,77,71,52,66,58,67,45,65,64,68,50,44,46,50,45,50,57,49,55,60,56,59,67,59,71,30,55,55,50,45,54,40,52,44,35,44,30,37,39,30,35,39,45,34,40,24,25,30,20,26,15,30,14,25,10,15,19,22,44
E02001686,3400,33,15,10,25,20,25,30,35,30,35,40,25,30,25,35,29,40,20,20,20,26,31,31,45,26,40,35,30,40,45,35,35,30,35,41,40,35,35,35,40,45,39,35,25,35,45,40,50,46,49,50,53,45,55,57,54,63,61,65,39,44,55,48,56,37,50,45,40,58,41,34,40,40,49,40,40,34,46,50,34,38,30,40,29,34,25,15,20,19,17,49
E02001688,3783,38,30,46,39,45,39,44,46,52,53,40,46,41,39,40,34,51,44,30,30,20,30,47,59,58,51,72,60,71,79,68,56,78,65,67,72,67,67,68,60,54,59,64,49,41,45,40,50,61,49,45,40,45,30,45,58,54,57,40,40,40,55,40,40,42,30,25,40,35,26,20,36,25,29,39,25,20,25,19,5,20,10,15,21,25,20,10,10,5,4,19
E02001689,3645,45,62,56,44,61,43,44,51,31,57,66,47,53,39,56,44,51,49,33,40,58,63,68,54,42,61,50,54,40,58,55,45,56,51,42,57,58,41,48,40,44,40,30,35,41,46,30,40,41,44,45,29,35,54,57,40,43,45,40,45,44,40,35,40,42,30,29,25,25,47,32,31,29,35,29,29,25,15,9,20,15,21,19,9,9,15,10,10,30,5,54
E02001690,3519,35,30,35,30,35,30,15,35,35,30,50,36,36,29,55,30,30,40,30,25,30,35,20,45,30,45,46,30,45,40,45,45,45,50,41,45,40,40,52,45,40,40,40,50,46,35,55,50,40,55,55,65,40,64,65,40,64,60,60,45,50,35,50,45,29,45,35,35,45,51,49,41,44,35,40,30,25,35,35,20,25,20,35,28,20,20,10,15,4,16,58
E02001691,4142,66,51,55,69,66,40,60,45,51,56,50,57,51,40,45,30,52,30,44,40,46,45,56,70,46,92,87,99,82,96,79,104,82,85,73,82,70,65,68,50,60,64,60,45,46,35,66,45,45,64,45,30,35,40,55,64,44,45,35,50,50,45,34,30,36,40,30,39,30,31,25,25,25,25,25,15,10,14,20,10,10,10,20,10,10,20,11,5,5,5,29
E02001692,3291,38,36,36,39,30,52,48,46,47,57,61,48,57,43,46,29,40,35,37,30,54,30,54,35,49,40,51,55,50,49,45,50,57,56,53,50,52,56,46,50,45,54,55,39,25,45,29,25,40,34,35,54,41,50,51,38,44,57,45,51,44,35,30,30,34,30,24,30,25,26,20,24,30,25,20,10,20,15,10,15,15,5,15,15,10,5,10,15,5,0,5
E02001693,2752,33,20,25,25,30,25,20,40,36,25,36,25,40,20,30,34,25,25,35,25,25,20,20,25,31,30,35,35,30,30,25,30,25,35,30,40,30,35,42,35,35,30,30,20,30,30,41,30,35,40,45,40,35,35,35,40,45,57,50,45,39,34,35,34,35,35,35,35,44,35,15,46,35,25,40,28,30,19,20,20,20,10,15,10,18,15,9,21,10,12,43
E02001694,3135,24,25,30,25,35,34,30,30,30,30,35,30,30,34,35,39,25,34,29,20,25,25,32,15,38,30,45,40,30,35,35,40,47,45,41,35,39,45,35,40,49,44,50,35,30,35,35,41,30,44,40,40,52,53,50,52,50,35,55,50,44,53,40,36,52,39,44,44,25,32,34,36,35,46,53,25,25,30,20,25,20,19,28,15,15,20,10,21,15,18,25
E02001695,2943,22,20,30,15,20,25,25,25,35,20,20,30,35,25,30,30,15,30,34,30,15,20,25,30,25,20,25,30,20,25,30,45,25,30,41,40,35,35,30,40,25,40,35,30,20,46,36,30,41,45,54,49,36,40,51,63,40,51,50,55,49,45,60,50,52,45,40,49,25,36,44,40,40,30,35,34,29,31,15,30,25,24,15,25,15,20,26,4,10,10,51
E02001696,4888,32,55,40,45,55,54,55,60,61,50,55,66,78,50,55,68,61,55,35,40,40,35,50,55,62,50,55,55,35,60,50,60,70,70,67,81,70,65,67,60,65,70,60,60,62,60,55,50,60,65,75,64,70,65,65,75,65,72,85,70,70,70,35,72,61,65,55,64,40,45,55,46,48,56,61,49,35,25,25,30,20,25,30,30,24,30,25,20,20,36,81
E02001697,3836,38,40,35,30,40,44,35,40,40,25,55,25,30,30,36,40,35,35,35,20,20,15,30,40,36,30,50,40,50,50,60,40,45,56,35,50,35,50,57,50,45,60,50,44,41,60,46,55,50,55,55,65,65,55,61,73,64,61,65,50,64,60,59,56,51,39,45,44,43,40,49,49,45,50,51,30,30,40,25,35,30,32,20,19,19,25,20,25,23,10,41
E02001698,3611,24,10,20,30,25,35,35,35,20,30,30,25,30,30,40,30,30,30,30,15,10,10,25,30,30,20,15,25,30,20,30,20,30,30,30,30,40,35,46,40,25,55,45,45,35,40,45,50,40,40,45,35,65,40,71,50,40,40,45,45,55,40,55,66,50,55,55,72,59,51,45,62,99,71,80,57,57,39,51,44,49,57,34,34,46,39,42,32,34,19,66
E02001699,3360,28,30,30,25,30,43,45,45,36,25,40,30,30,20,30,34,30,39,35,20,25,10,35,40,36,40,40,45,35,40,30,35,50,45,40,35,45,35,35,45,55,45,30,35,40,30,31,35,40,40,55,60,45,45,30,60,55,45,55,55,60,50,69,56,51,40,54,35,45,33,44,36,30,41,51,30,35,35,30,30,29,37,24,19,15,10,9,20,23,15,32
E02001700,5262,42,56,60,55,45,50,55,45,50,55,65,55,66,55,45,54,56,80,60,40,30,35,45,50,45,60,40,60,50,70,55,60,65,65,45,55,75,55,55,65,90,75,55,60,50,70,50,70,85,89,90,89,75,85,66,85,88,90,95,70,75,75,55,86,72,75,60,59,65,61,55,72,65,74,60,45,54,65,46,40,40,36,40,20,30,29,25,10,14,18,45
E02001701,3148,21,20,35,20,30,25,30,45,41,30,25,30,31,44,25,34,20,30,24,25,20,20,25,30,20,30,25,35,30,35,30,25,25,25,36,35,35,45,25,40,40,35,40,44,40,30,40,30,40,45,45,40,45,49,52,58,50,52,50,30,44,35,40,52,53,30,44,40,35,30,48,40,61,52,45,30,43,46,30,29,37,26,34,26,26,24,31,10,20,11,45
E02001702,4087,40,46,40,44,50,48,63,61,46,57,45,45,57,48,62,73,52,50,49,45,41,46,40,45,47,45,50,55,50,58,40,61,62,35,46,60,65,61,73,55,55,59,49,40,35,40,46,45,40,55,70,59,60,50,82,64,55,57,60,45,44,55,59,61,51,35,35,25,35,36,34,36,45,46,30,30,35,20,20,25,15,26,25,30,20,10,15,10,20,0,37
E02001703,2886,21,20,25,25,25,30,24,25,35,30,30,20,26,40,25,19,36,20,29,15,15,21,21,40,20,25,20,20,20,30,30,30,25,30,37,25,25,25,20,25,35,35,44,25,25,35,30,29,46,45,40,49,46,44,45,48,39,41,50,45,34,35,53,29,42,40,40,35,35,48,51,36,45,51,51,44,43,40,30,30,24,36,20,30,24,15,21,20,10,10,44
E02001704,3446,34,30,25,30,30,30,35,25,41,41,35,40,48,35,30,33,30,40,19,20,26,47,53,30,37,25,40,35,35,55,45,55,45,45,25,35,30,35,57,40,45,40,45,40,35,35,35,40,30,59,55,54,62,44,61,49,70,62,55,66,53,55,40,39,20,25,30,29,25,25,20,30,35,36,46,40,35,35,39,30,47,47,30,35,29,20,20,20,19,23,41
E02001706,4109,56,41,63,53,56,58,50,51,58,52,55,58,46,48,63,34,47,29,39,40,20,25,41,45,48,40,40,40,40,50,59,72,57,71,68,67,59,71,63,59,59,73,50,52,52,40,46,56,50,73,54,59,62,50,56,45,49,53,45,50,53,40,40,57,47,43,40,44,52,46,34,30,40,35,52,35,29,28,25,30,25,26,20,22,25,5,15,15,10,5,35
E02001707,4361,29,35,46,30,40,39,50,46,31,45,45,37,64,48,46,51,46,58,37,20,32,31,43,59,65,35,60,60,50,45,40,45,45,40,43,57,58,55,57,45,49,53,63,39,46,51,58,67,45,53,64,68,56,67,58,53,77,73,81,75,66,45,45,56,48,34,69,44,44,52,38,53,45,73,67,42,57,37,35,35,28,45,35,42,31,19,31,26,25,14,76
E02001709,5361,37,45,50,50,60,56,70,45,60,60,68,73,70,82,64,61,57,45,50,40,30,24,39,57,54,60,68,61,54,64,56,65,55,75,55,71,60,50,69,83,64,77,72,66,67,60,77,64,74,71,81,76,64,69,65,65,71,60,74,72,72,75,75,55,64,80,63,78,69,54,67,57,57,76,82,46,52,50,37,46,42,45,29,36,25,46,31,25,22,16,107
E02001710,5177,30,35,45,60,59,41,50,45,70,60,63,64,80,60,45,72,60,76,75,35,54,43,42,52,59,75,63,50,80,75,81,83,70,65,65,76,75,75,79,66,65,65,60,66,54,55,81,73,50,57,75,60,64,80,60,76,75,58,75,71,66,74,94,80,45,65,60,55,44,44,60,40,51,60,45,38,52,30,30,29,30,40,40,30,25,25,24,5,24,18,81
E02001711,5127,39,50,60,80,74,77,55,60,65,69,70,50,55,65,50,35,62,50,45,55,49,58,29,50,54,75,63,65,83,70,71,83,65,60,88,79,69,60,60,60,60,65,50,62,58,70,59,60,55,75,55,65,79,65,70,69,70,65,80,76,76,65,97,74,50,50,50,36,35,70,66,50,29,40,40,40,30,35,37,29,23,29,25,36,29,34,35,27,29,17,79
E02001712,4733,68,55,40,45,40,50,45,50,45,50,45,45,35,40,35,30,30,50,55,69,49,39,51,68,58,75,58,60,69,69,70,64,69,65,98,55,65,60,55,71,64,65,69,40,50,60,61,45,65,65,50,50,65,50,76,65,81,60,55,60,50,49,55,54,54,55,77,45,59,50,51,40,46,60,50,35,35,35,37,25,28,30,37,37,35,20,24,15,29,30,100
E02001713,5174,43,55,45,40,50,72,65,75,60,50,65,55,55,45,55,61,45,60,45,30,40,24,34,44,67,50,69,65,60,65,50,55,75,70,65,76,80,55,85,71,75,75,73,72,59,70,76,50,65,65,65,75,79,75,75,75,75,80,90,60,55,75,60,60,65,65,45,61,64,55,55,45,55,65,67,45,45,45,41,47,25,44,30,30,15,20,20,15,18,31,111
E02001714,4877,27,55,60,50,50,72,50,55,60,55,49,58,55,45,54,50,48,45,60,35,25,34,33,38,49,40,54,66,44,59,60,76,59,95,79,81,85,65,70,84,80,75,60,72,64,65,65,63,63,50,76,66,69,67,71,81,65,54,66,88,61,72,70,71,60,75,59,56,58,40,50,66,40,49,56,33,19,35,15,25,21,25,14,26,15,20,23,26,19,18,71
E02001715,6151,63,70,94,77,73,88,97,80,98,93,95,79,92,81,84,77,62,101,80,50,73,38,79,69,58,70,78,65,89,79,95,93,100,100,113,97,75,121,107,94,89,80,77,72,63,55,83,78,79,76,80,76,79,80,86,70,65,89,91,91,75,70,65,59,60,64,45,61,50,45,39,50,53,34,44,40,40,30,42,23,16,30,31,24,35,10,15,10,23,18,64
E02001718,3418,35,55,49,51,33,43,40,35,45,45,43,57,40,35,34,36,32,35,20,30,25,36,28,33,52,40,58,60,48,63,51,78,54,35,43,51,50,61,45,57,55,41,39,30,32,30,42,47,38,40,45,41,43,48,40,45,40,43,46,47,74,40,40,30,39,35,30,43,34,25,25,24,35,35,29,28,16,29,27,15,14,19,15,20,15,5,12,18,10,12,32
E02001719,4380,39,45,35,25,35,35,30,35,45,30,62,50,40,50,40,46,47,45,25,39,44,58,58,56,62,70,63,65,65,69,66,60,45,65,60,66,55,75,60,55,65,70,67,45,50,61,62,45,54,45,50,60,55,60,55,55,80,68,65,61,60,50,49,59,65,50,54,52,50,50,35,45,41,60,45,29,25,36,36,38,19,30,25,20,30,16,28,15,14,6,60
E02001720,4653,9,15,10,5,15,10,10,15,20,20,25,20,15,10,5,21,10,20,5,131,851,891,582,210,101,95,87,50,45,40,40,30,30,20,20,25,25,25,10,15,20,30,25,20,20,20,20,10,25,10,20,20,20,30,20,25,35,30,35,36,31,34,49,10,30,20,34,30,25,15,25,31,31,25,20,14,15,10,10,5,21,15,15,16,10,11,5,5,6,6,25
E02001721,5578,43,45,55,55,39,56,65,70,50,50,55,50,60,65,50,45,67,55,55,40,50,40,52,49,59,110,73,65,70,75,45,65,60,70,89,85,60,75,80,65,80,70,60,67,54,65,66,60,64,65,100,86,70,80,80,80,86,102,75,91,81,84,75,75,70,70,49,66,60,40,67,55,60,85,85,45,45,44,48,33,42,45,52,48,44,41,36,23,24,18,60
E02001722,5077,49,50,70,66,64,45,50,75,80,55,73,58,60,55,50,71,77,71,35,40,50,47,38,46,50,55,68,65,70,65,70,63,55,70,60,65,70,80,60,61,70,65,59,45,30,60,51,60,49,56,60,50,50,64,75,91,80,73,70,60,62,70,84,64,45,65,45,51,44,50,51,51,45,45,51,43,59,50,25,34,42,30,31,42,55,36,50,25,20,30,62
E02001723,3780,40,40,45,52,49,48,45,60,60,49,49,54,56,56,73,72,47,50,45,40,35,30,37,48,56,55,54,50,55,64,56,53,50,75,68,60,65,50,77,56,50,56,39,52,48,51,51,74,40,51,46,50,49,45,51,40,35,40,40,20,46,45,35,35,35,25,30,26,40,19,20,30,20,20,25,20,30,20,21,20,9,20,19,26,20,14,5,10,12,6,25
E02001724,4444,25,10,5,5,20,15,10,15,15,5,25,25,5,15,15,10,15,15,20,116,636,719,487,195,140,125,91,86,64,60,40,55,30,35,40,50,30,30,25,20,25,20,30,10,15,25,15,30,20,40,30,15,25,25,25,30,30,30,25,20,20,15,25,10,20,19,20,15,25,30,20,20,25,30,35,20,25,30,20,10,10,10,10,16,15,20,21,15,6,11,47
E02001725,4306,41,20,30,30,30,20,20,30,20,25,25,35,10,20,25,25,15,20,30,49,139,172,227,228,242,217,164,159,121,116,112,102,93,105,84,86,60,40,55,56,50,35,35,35,35,20,30,39,25,35,35,40,25,40,40,30,40,30,35,35,30,30,30,25,20,30,14,14,10,30,15,30,20,15,26,10,15,5,5,20,5,9,15,15,15,16,16,5,5,0,24
E02001726,6079,61,70,65,80,74,83,75,70,80,74,83,92,92,93,74,71,82,70,50,64,50,57,66,74,77,80,84,85,80,70,95,98,70,105,98,75,85,70,89,104,75,89,78,81,60,75,77,73,54,82,90,75,73,80,91,90,80,86,111,77,70,65,75,65,64,50,62,56,60,45,51,35,55,55,60,29,62,54,36,39,25,18,35,27,35,23,15,15,10,12,64
E02001727,4389,46,45,35,40,45,35,50,50,55,40,25,40,45,45,60,45,40,35,40,45,30,34,38,78,50,55,49,35,73,59,60,40,70,70,69,70,60,55,45,45,40,40,79,40,35,50,44,35,45,45,75,65,75,60,60,75,81,70,80,80,70,65,60,65,69,50,54,50,60,40,40,35,51,40,81,35,34,29,36,33,37,44,41,20,15,10,20,16,23,12,34
