area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00080972,27,13,17,29,22,16,15,24,24,20,22,18,17,7,13,13,15,24
E00080973,36,26,33,23,22,19,36,32,28,29,17,26,17,8,7,5,8,4
E00080974,17,16,30,29,20,12,12,25,19,23,25,32,28,17,14,8,14,25
E00080975,18,21,24,21,28,30,38,28,26,22,35,27,21,10,10,6,4,3
E00080976,31,34,19,18,15,31,35,23,23,23,12,18,16,13,10,6,3,3
E00080977,27,31,23,22,27,23,20,27,27,24,15,16,9,12,9,10,10,4
E00080978,33,29,29,15,13,21,30,35,20,16,27,13,13,3,4,4,0,1
E00080979,25,27,38,31,11,19,16,35,37,31,29,19,17,16,12,11,8,4
E00080981,54,33,22,25,24,31,44,39,28,18,23,12,15,9,2,6,3,2
E00080982,27,23,29,18,24,22,28,26,20,28,12,13,14,16,6,8,6,0
E00080983,57,51,46,38,31,42,43,45,49,29,25,27,13,9,7,1,3,2
E00080984,18,29,37,22,19,19,27,29,28,23,17,8,8,8,1,3,1,2
E00080985,13,23,20,21,30,23,21,17,26,20,26,29,14,9,5,3,1,4
E00080986,41,37,24,27,19,21,30,35,17,24,16,13,7,8,8,8,2,2
E00080987,25,19,22,17,10,13,23,20,19,20,14,20,15,9,6,8,4,2
E00080988,21,14,20,16,16,15,19,30,23,21,17,20,15,21,9,9,6,6
E00080989,38,48,40,27,42,24,34,40,36,35,35,21,10,10,7,4,2,0
E00080990,32,24,23,13,24,17,29,28,18,17,14,23,13,8,5,4,6,2
E00080991,23,36,24,16,12,23,31,23,32,14,11,15,9,10,5,8,2,0
E00080992,34,25,31,33,27,40,35,32,33,29,28,33,21,3,7,3,6,2
E00080993,44,37,16,15,17,20,34,29,23,13,21,13,13,10,13,9,5,0
E00080994,27,29,42,30,18,22,28,29,36,19,26,23,15,14,4,4,1,2
E00080995,24,23,23,25,26,23,18,14,31,18,27,19,13,15,14,7,8,8
E00080996,44,31,40,28,13,33,33,31,27,29,28,15,13,4,8,9,4,4
E00080997,15,34,32,21,18,20,19,29,15,19,20,16,11,12,6,6,3,1
E00080998,27,43,32,29,15,23,32,39,21,21,17,18,20,6,6,3,4,3
E00080999,20,19,20,21,20,25,17,25,16,24,19,20,11,7,12,3,8,2
E00081000,42,29,24,14,24,32,21,33,23,13,22,17,12,10,11,3,5,1
E00081001,34,46,40,22,21,14,27,22,29,20,22,14,10,6,9,4,2,2
E00081002,27,25,17,13,15,28,25,37,23,18,24,10,12,12,12,21,3,7
