area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00072563,2,2,3,3,36,26,12,10,6,7,9,10,13,13,17,11,4,5
E00072564,3,2,6,3,12,18,18,8,11,10,8,12,10,12,15,6,12,20
E00072565,4,4,2,27,94,48,29,14,8,9,13,10,17,8,16,1,5,7
E00072566,7,2,9,26,62,36,22,13,21,19,14,19,15,9,6,6,2,2
E00072567,3,3,5,5,48,36,21,13,6,12,8,16,16,7,8,5,4,4
E00072568,5,5,5,7,51,45,15,10,3,11,16,10,4,12,21,17,20,20
E00072569,3,4,4,9,45,27,26,14,14,19,13,9,8,5,5,2,0,0
E00072570,2,3,7,9,14,26,9,9,9,12,14,15,18,7,5,5,9,9
E00072571,1,1,6,16,23,19,11,11,9,12,10,11,4,8,6,7,6,6
E00072572,3,2,0,4,18,20,21,9,5,12,12,7,6,6,0,7,8,2
E00072573,3,3,2,15,115,45,23,19,5,16,15,13,16,8,12,5,6,2
E00072574,4,3,4,13,61,25,27,16,9,9,11,10,10,8,5,8,10,20
E00072575,16,9,6,15,131,69,55,27,29,22,21,14,13,13,7,1,2,7
E00072576,3,3,2,12,58,20,15,9,1,3,5,7,7,6,6,6,7,8
E00072577,2,3,10,6,67,36,31,16,11,9,11,6,8,1,3,3,1,5
E00072578,2,1,0,7,16,5,5,3,9,8,11,14,17,15,24,22,19,57
E00072579,2,1,1,12,42,27,17,9,8,10,8,18,8,8,9,5,2,0
E00072580,4,3,3,15,53,36,20,7,8,10,6,12,5,12,5,4,1,3
E00072581,6,5,11,7,24,14,21,14,7,13,12,19,12,18,17,13,9,16
E00072582,3,0,4,4,21,22,17,17,5,3,10,9,6,6,8,8,6,3
E00072583,8,5,6,5,21,21,10,15,12,15,16,16,13,17,11,9,7,8
E00072584,3,1,4,5,37,43,18,14,12,15,9,16,7,11,12,2,0,1
E00072585,2,5,2,7,28,21,23,13,7,12,12,10,6,12,9,7,3,6
E00072586,2,2,4,8,29,15,21,21,10,6,14,14,9,13,8,10,6,4
E00072587,9,3,5,4,23,21,19,16,13,14,20,18,4,9,12,8,5,3
E00072588,5,18,18,13,6,6,3,10,19,25,16,21,22,22,17,11,26,19
E00072589,20,23,17,12,3,7,9,25,21,22,8,16,28,15,17,12,7,15
E00072590,10,24,27,13,8,2,8,8,32,22,22,14,11,10,19,19,20,20
E00072591,6,10,20,23,15,9,8,11,6,20,33,16,17,19,14,8,11,8
E00072592,7,12,10,4,17,7,9,6,11,13,16,6,18,18,20,13,18,26
E00072593,16,27,27,25,10,15,13,26,19,28,28,20,19,22,14,16,15,26
E00072594,12,24,10,13,22,29,25,14,21,29,24,26,15,22,10,6,7,3
E00072595,12,21,20,26,18,17,18,24,22,29,17,32,17,10,5,5,1,4
E00072596,15,16,14,14,9,8,14,17,14,15,19,48,34,26,26,15,8,9
E00072597,22,12,18,21,18,21,23,14,19,23,24,28,16,6,12,13,9,4
E00072598,5,8,15,17,12,8,5,4,10,12,20,26,32,24,34,35,16,18
E00072599,23,47,40,21,13,15,26,25,41,29,21,20,14,10,11,9,4,6
E00072600,18,29,24,16,7,9,10,18,25,26,28,24,19,24,21,12,23,18
E00072601,12,17,13,15,16,10,6,21,11,22,21,20,12,15,17,12,3,13
E00072602,13,23,20,18,6,15,7,15,28,27,23,19,31,24,18,14,9,9
E00072603,13,21,19,11,9,21,10,13,21,21,23,25,26,21,18,19,18,31
E00072604,14,30,36,20,12,12,6,19,26,39,37,32,22,17,19,13,11,10
E00072605,11,19,12,9,10,11,7,10,13,16,25,17,19,37,23,20,19,15
E00072606,11,15,18,17,6,6,19,12,18,20,23,17,19,14,21,13,18,6
E00072607,10,16,25,26,16,5,7,21,15,23,31,21,16,24,29,13,14,20
E00072608,10,12,18,18,7,14,10,16,21,11,26,21,17,14,11,9,10,8
E00072609,9,14,25,18,18,10,14,19,10,21,33,40,33,18,13,25,14,6
E00072611,6,11,13,6,5,5,8,5,13,12,14,10,12,7,8,6,3,4
E00072613,14,15,13,7,12,6,8,11,24,25,18,16,20,19,18,16,13,12
E00072614,15,14,25,14,9,10,9,8,27,21,28,35,28,25,28,12,13,10
