msoa,all_ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E02002985,3522,43,52,36,36,38,41,52,38,40,42,47,36,58,29,51,25,20,20,20,20,33,28,33,23,38,35,44,47,52,43,53,53,77,52,72,40,58,71,46,63,42,45,40,41,42,35,38,30,48,35,38,35,29,45,46,41,47,40,44,41,29,47,38,25,35,39,34,40,28,30,39,28,43,34,42,35,31,30,34,25,27,16,41,20,22,27,16,16,23,21,100
E02002986,3736,55,58,58,42,57,56,35,40,40,46,39,40,41,25,40,20,35,30,31,29,34,34,28,41,52,50,55,77,67,68,88,69,70,65,66,57,52,65,46,40,36,51,40,30,35,40,39,40,52,55,34,46,34,45,44,40,46,45,35,45,35,47,25,48,50,25,35,29,38,20,40,33,39,40,41,25,37,28,35,25,32,26,20,25,19,18,22,21,10,10,65
E02002987,2944,23,25,20,25,32,31,35,20,30,20,35,25,35,25,40,35,25,25,30,20,20,15,28,24,35,25,30,15,25,25,25,35,25,46,30,35,38,30,30,35,35,25,40,30,30,35,43,40,42,45,44,50,48,30,40,40,52,50,30,50,30,40,40,30,30,35,34,35,32,36,30,43,48,50,51,53,49,30,30,30,15,16,26,30,24,22,18,20,18,16,57
E02002988,2849,19,25,25,25,20,30,30,20,35,42,43,25,20,34,25,34,30,25,25,24,28,24,28,15,24,30,20,25,29,30,39,25,35,40,30,35,33,30,35,36,31,35,41,51,31,30,39,40,47,40,42,40,52,35,46,40,42,58,40,35,30,38,38,38,30,33,30,25,29,35,45,33,35,35,31,25,25,35,20,19,21,36,20,25,20,19,16,15,15,9,62
E02002989,2945,27,25,20,20,20,30,35,30,40,35,40,30,30,45,35,40,25,30,30,30,20,39,28,28,25,25,30,25,35,25,40,45,35,40,35,45,30,40,30,50,36,30,50,40,51,40,45,50,40,45,30,30,30,45,40,29,35,35,45,50,50,40,30,35,30,39,30,15,20,25,20,30,25,25,46,30,41,30,20,20,21,25,18,24,24,28,21,12,10,15,63
E02002990,2931,19,25,25,30,20,20,20,15,35,35,30,30,25,30,30,25,25,25,25,30,48,53,74,47,66,59,54,55,49,63,45,55,40,30,35,40,41,40,25,40,46,56,51,30,25,30,45,35,45,45,45,40,50,45,45,45,40,45,35,35,25,30,30,25,29,20,30,30,35,25,25,25,30,40,20,25,5,20,20,10,15,15,5,15,15,15,5,6,5,5,20
E02002991,5524,21,41,25,31,35,21,31,34,51,46,39,36,52,64,41,69,55,61,61,76,133,170,193,160,130,107,102,119,86,82,78,75,75,55,78,61,70,60,51,56,56,45,61,50,64,61,54,55,65,74,54,75,69,75,75,61,78,65,80,66,45,54,50,54,54,47,42,71,48,50,59,49,54,55,51,45,42,65,35,45,44,31,42,41,34,31,28,20,14,20,90
E02002992,3078,19,15,20,15,35,36,30,30,35,40,40,30,41,35,50,39,40,41,35,30,75,72,68,37,34,25,40,25,35,35,40,30,30,35,40,25,30,30,30,36,36,35,35,35,35,35,48,51,40,40,53,40,49,50,45,45,35,40,45,35,35,48,25,35,30,20,30,30,25,35,35,39,30,35,25,35,35,20,24,25,10,26,20,20,10,14,20,10,21,9,47
E02002993,2986,23,15,20,20,20,20,15,15,20,15,15,20,26,20,20,20,15,20,41,140,186,213,142,95,67,68,73,68,52,58,30,45,45,41,35,30,32,25,30,30,36,25,25,24,25,30,30,25,36,39,29,25,25,35,35,40,30,25,30,25,25,20,29,15,25,24,25,25,20,25,15,29,15,20,15,15,21,10,10,10,5,10,15,5,15,5,5,5,9,5,35
E02002994,5446,32,35,32,57,39,46,50,60,61,87,65,57,64,77,92,75,65,88,71,44,25,34,37,54,47,30,40,20,40,49,45,45,40,45,67,50,53,40,51,50,61,66,71,70,66,55,69,75,82,89,97,90,78,75,99,92,94,93,80,75,96,79,68,69,80,76,56,60,66,71,60,70,64,69,71,54,63,54,57,44,46,46,58,45,48,45,23,33,12,23,104
