msoa,latitude,longitude
E02000001,51.51562,-0.09349
E02000002,51.58652,0.138756
E02000003,51.57606,0.138149
E02000004,51.55639,0.176828
E02000005,51.56069,0.144267
E02000007,51.55851,0.158087
E02000008,51.5527,0.136463
E02000009,51.55196,0.115757
E02000010,51.54664,0.146203
E02000011,51.54548,0.170668
E02000012,51.54436,0.097578
E02000013,51.54194,0.125085
E02000014,51.54023,0.142383
E02000015,51.53597,0.163539
E02000016,51.53919,0.07721
E02000017,51.54121,0.086517
E02000018,51.53933,0.11171
E02000019,51.5284,0.132889
E02000020,51.51879,0.107488
E02000021,51.52392,0.151407
E02000022,51.53164,0.081365
E02000023,51.52785,0.111828
E02000024,51.65777,-0.20231
E02000025,51.65507,-0.17488
E02000026,51.64973,-0.15551
E02000027,51.64616,-0.19414
E02000028,51.64417,-0.17892
E02000029,51.64087,-0.16262
E02000030,51.64129,-0.22589
E02000031,51.63307,-0.17396
E02000032,51.63132,-0.14042
E02000033,51.62572,-0.14887
E02000034,51.62283,-0.16428
E02000035,51.62265,-0.18361
E02000036,51.62239,-0.26268
E02000037,51.62663,-0.28613
E02000038,51.61624,-0.1563
E02000039,51.61497,-0.24204
E02000040,51.61714,-0.21543
E02000041,51.61311,-0.27329
E02000042,51.61117,-0.17716
E02000043,51.61354,-0.19311
E02000044,51.61025,-0.25415
E02000045,51.60502,-0.14916
E02000046,51.60153,-0.19022
E02000047,51.60237,-0.26208
E02000048,51.60193,-0.21645
E02000049,51.60253,-0.24605
E02000050,51.59999,-0.17325
E02000051,51.59492,-0.19755
E02000052,51.59139,-0.16853
E02000054,51.59579,-0.22841
E02000055,51.58793,-0.22285
E02000056,51.57962,-0.17627
E02000057,51.58072,-0.21869
E02000058,51.58284,-0.19521
E02000059,51.58101,-0.24234
E02000060,51.57899,-0.2091
E02000061,51.56989,-0.19689
E02000062,51.57079,-0.22228
E02000063,51.56568,-0.21088
E02000064,51.56112,-0.19793
E02000065,51.50228,0.136684
E02000066,51.48983,0.134992
E02000067,51.49259,0.154728
E02000068,51.48632,0.171846
E02000069,51.48286,0.159051
E02000070,51.48215,0.132516
E02000071,51.47472,0.157759
E02000072,51.47057,0.196224
E02000073,51.46928,0.125652
E02000074,51.46855,0.177884
E02000075,51.47029,0.142791
E02000077,51.46847,0.115636
E02000078,51.46614,0.169447
E02000079,51.45793,0.140512
E02000080,51.45879,0.106508
E02000081,51.45206,0.16187
E02000082,51.45513,0.091902
E02000083,51.45347,0.182924
E02000084,51.45296,0.1277
E02000085,51.44879,0.112567
E02000086,51.44483,0.093575
E02000087,51.44102,0.15283
E02000088,51.43961,0.123885
E02000089,51.43785,0.086435
E02000090,51.43052,0.094373
E02000091,51.42569,0.112335
E02000092,51.42468,0.132916
E02000093,51.59401,-0.27822
E02000094,51.58889,-0.25918
E02000095,51.58491,-0.28126
E02000096,51.58028,-0.30401
E02000097,51.57641,-0.26449
E02000098,51.57443,-0.28639
E02000099,51.56822,-0.30131
E02000100,51.57342,-0.31816
E02000101,51.56646,-0.27121
E02000102,51.5648,-0.24451
E02000103,51.56433,-0.23344
E02000104,51.56413,-0.29059
E02000105,51.5588,-0.31233
E02000106,51.55715,-0.25217
E02000107,51.55509,-0.22203
E02000108,51.55697,-0.32867
E02000110,51.55337,-0.23293
E02000111,51.55198,-0.30542
E02000112,51.54868,-0.28491
E02000113,51.55094,-0.26241
E02000114,51.54615,-0.23096
E02000115,51.54696,-0.21227
E02000116,51.54567,-0.23715
E02000117,51.54669,-0.24931
E02000118,51.54375,-0.28792
E02000119,51.53815,-0.26938
E02000120,51.53976,-0.20006
E02000121,51.5392,-0.30162
E02000122,51.5402,-0.21944
E02000123,51.53682,-0.24728
E02000124,51.53522,-0.20782
E02000125,51.53485,-0.2286
E02000126,51.53266,-0.19741
E02000127,51.43275,0.039733
E02000128,51.42378,0.075854
E02000130,51.41785,-0.04668
E02000131,51.41918,-0.06881
E02000132,51.41538,-0.02799
E02000133,51.41029,0.05698
E02000134,51.41214,0.019646
E02000135,51.41147,-0.06084
E02000136,51.40901,0.089579
E02000137,51.40358,-0.00474
E02000138,51.40721,-0.01626
E02000139,51.409,-0.04323
E02000140,51.40426,0.10886
E02000141,51.40457,-0.05862
E02000142,51.40579,0.032565
E02000144,51.39712,0.014441
E02000145,51.3909,0.136893
E02000146,51.3935,0.029778
E02000147,51.39448,-0.00314
E02000148,51.39202,0.058346
E02000149,51.39128,0.102686
E02000150,51.38816,-0.0294
E02000151,51.3865,0.077357
E02000152,51.38256,0.040332
E02000153,51.38439,0.01144
E02000154,51.37747,0.095256
E02000155,51.37907,0.114916
E02000156,51.37681,-0.01147
E02000157,51.37325,0.076025
E02000158,51.36899,0.113532
E02000159,51.36312,0.043807
E02000160,51.36613,0.00985
E02000161,51.3637,0.091511
E02000162,51.34598,0.070342
E02000163,51.34686,0.115774
E02000165,51.31071,0.019395
E02000166,51.56305,-0.1534
E02000167,51.5617,-0.17438
E02000168,51.55615,-0.1425
E02000169,51.55644,-0.18682
E02000170,51.55458,-0.20219
E02000171,51.54958,-0.15854
E02000172,51.55018,-0.14756
E02000173,51.54971,-0.17294
E02000174,51.54875,-0.13219
E02000175,51.54874,-0.18821
E02000176,51.54775,-0.16843
E02000177,51.5463,-0.15359
E02000178,51.54708,-0.20028
E02000179,51.54525,-0.16288
E02000180,51.54487,-0.13115
E02000181,51.54408,-0.18661
E02000182,51.54159,-0.17077
E02000183,51.54092,-0.15375
E02000184,51.53982,-0.13512
E02000185,51.5384,-0.18897
E02000186,51.53698,-0.14405
E02000187,51.5316,-0.13087
E02000188,51.52991,-0.13902
E02000191,51.52226,-0.13456
E02000192,51.52168,-0.11692
E02000193,51.51866,-0.12072
E02000194,51.41585,-0.08881
E02000195,51.41511,-0.10617
E02000196,51.40858,-0.115
E02000197,51.40655,-0.1247
E02000198,51.40426,-0.09837
E02000199,51.40337,-0.09056
E02000200,51.40258,-0.07959
E02000201,51.39899,-0.06808
E02000202,51.40011,-0.1114
E02000203,51.39638,-0.10208
E02000204,51.39552,-0.11802
E02000206,51.38959,-0.08877
E02000207,51.38724,-0.06567
E02000208,51.38854,-0.1067
E02000209,51.38551,-0.1244
E02000210,51.38447,-0.07909
E02000211,51.38345,-0.04711
E02000212,51.3806,-0.11654
E02000213,51.38135,-0.09834
E02000214,51.37996,-0.06544
E02000215,51.37898,-0.08288
E02000216,51.36934,-0.0788
E02000217,51.37253,-0.11275
E02000218,51.37214,-0.0291
E02000219,51.36447,-0.0443
E02000221,51.35858,-0.11121
E02000222,51.35732,-0.08926
E02000223,51.35348,-0.02092
E02000224,51.34971,-0.09977
E02000225,51.34783,-0.01139
E02000226,51.35194,-0.06535
