area,msoa,lad_code,region_code,region
E00067918,E02002808,E06000015,E12000004,East Midlands
E00067919,E02002808,E06000015,E12000004,East Midlands
E00067920,E02002808,E06000015,E12000004,East Midlands
E00067921,E02002808,E06000015,E12000004,East Midlands
E00067922,E02002808,E06000015,E12000004,East Midlands
E00067923,E02002808,E06000015,E12000004,East Midlands
E00067924,E02002812,E06000015,E12000004,East Midlands
E00067925,E02002815,E06000015,E12000004,East Midlands
E00067926,E02002808,E06000015,E12000004,East Midlands
E00067927,E02002808,E06000015,E12000004,East Midlands
E00067928,E02002808,E06000015,E12000004,East Midlands
E00067929,E02002812,E06000015,E12000004,East Midlands
E00067930,E02002808,E06000015,E12000004,East Midlands
E00067931,E02002812,E06000015,E12000004,East Midlands
E00067932,E02002812,E06000015,E12000004,East Midlands
E00067933,E02002812,E06000015,E12000004,East Midlands
E00067934,E02002812,E06000015,E12000004,East Midlands
E00067935,E02002812,E06000015,E12000004,East Midlands
E00067936,E02002815,E06000015,E12000004,East Midlands
E00067937,E02002812,E06000015,E12000004,East Midlands
E00067938,E02002815,E06000015,E12000004,East Midlands
E00067939,E02002815,E06000015,E12000004,East Midlands
E00067940,E02002815,E06000015,E12000004,East Midlands
E00067942,E02002808,E06000015,E12000004,East Midlands
E00067943,E02002808,E06000015,E12000004,East Midlands
E00067945,E02002808,E06000015,E12000004,East Midlands
E00067946,E02002808,E06000015,E12000004,East Midlands
E00067947,E02002808,E06000015,E12000004,East Midlands
E00067948,E02002808,E06000015,E12000004,East Midlands
E00067949,E02002808,E06000015,E12000004,East Midlands
E00067950,E02002808,E06000015,E12000004,East Midlands
E00067952,E02002808,E06000015,E12000004,East Midlands
E00067953,E02002808,E06000015,E12000004,East Midlands
E00067954,E02002808,E06000015,E12000004,East Midlands
E00067955,E02002808,E06000015,E12000004,East Midlands
E00067956,E02002808,E06000015,E12000004,East Midlands
E00067957,E02002808,E06000015,E12000004,East Midlands
E00067958,E02002808,E06000015,E12000004,East Midlands
E00067959,E02002808,E06000015,E12000004,East Midlands
E00067960,E02002797,E06000015,E12000004,East Midlands
E00067961,E02002797,E06000015,E12000004,East Midlands
E00067962,E02002797,E06000015,E12000004,East Midlands
E00067963,E02002797,E06000015,E12000004,East Midlands
