area,msoa,lad_code,region_code,region
E00078837,E02003240,E06000031,E12000006,East of England
E00078838,E02003240,E06000031,E12000006,East of England
E00078839,E02003240,E06000031,E12000006,East of England
E00078840,E02003240,E06000031,E12000006,East of England
E00078841,E02003240,E06000031,E12000006,East of England
E00078842,E02003240,E06000031,E12000006,East of England
E00078843,E02003240,E06000031,E12000006,East of England
E00078844,E02003240,E06000031,E12000006,East of England
E00078845,E02003240,E06000031,E12000006,East of England
E00078846,E02003240,E06000031,E12000006,East of England
E00078847,E02003240,E06000031,E12000006,East of England
E00078848,E02003245,E06000031,E12000006,East of England
E00078849,E02003247,E06000031,E12000006,East of England
E00078850,E02003247,E06000031,E12000006,East of England
E00078851,E02003247,E06000031,E12000006,East of England
E00078852,E02003245,E06000031,E12000006,East of England
E00078853,E02003245,E06000031,E12000006,East of England
E00078854,E02003245,E06000031,E12000006,East of England
E00078855,E02003245,E06000031,E12000006,East of England
E00078856,E02003245,E06000031,E12000006,East of England
E00078857,E02003247,E06000031,E12000006,East of England
E00078858,E02003245,E06000031,E12000006,East of England
E00078859,E02003247,E06000031,E12000006,East of England
E00078860,E02003247,E06000031,E12000006,East of England
E00078861,E02003247,E06000031,E12000006,East of England
E00078862,E02003245,E06000031,E12000006,East of England
E00078863,E02003245,E06000031,E12000006,East of England
E00078864,E02003247,E06000031,E12000006,East of England
E00078865,E02003247,E06000031,E12000006,East of England
E00078866,E02003247,E06000031,E12000006,East of England
E00078867,E02003247,E06000031,E12000006,East of England
E00078868,E02003247,E06000031,E12000006,East of England
E00078869,E02003247,E06000031,E12000006,East of England
E00078870,E02003245,E06000031,E12000006,East of England
E00078871,E02003247,E06000031,E12000006,East of England
E00078872,E02003247,E06000031,E12000006,East of England
E00078873,E02003247,E06000031,E12000006,East of England
E00078874,E02003247,E06000031,E12000006,East of England
E00078875,E02003247,E06000031,E12000006,East of England
E00078876,E02003247,E06000031,E12000006,East of England
E00078877,E02003247,E06000031,E12000006,East of England
E00078878,E02003247,E06000031,E12000006,East of England
E00078879,E02003247,E06000031,E12000006,East of England
E00078880,E02003251,E06000031,E12000006,East of England
E00078881,E02003251,E06000031,E12000006,East of England
E00078882,E02003247,E06000031,E12000006,East of England
E00078883,E02003247,E06000031,E12000006,East of England
E00078884,E02003251,E06000031,E12000006,East of England
E00078885,E02003251,E06000031,E12000006,East of England
E00078886,E02003247,E06000031,E12000006,East of England
E00078887,E02003247,E06000031,E12000006,East of England
E00078888,E02003251,E06000031,E12000006,East of England
E00078889,E02003250,E06000031,E12000006,East of England
E00078892,E02003250,E06000031,E12000006,East of England
E00078893,E02003250,E06000031,E12000006,East of England
E00078894,E02003250,E06000031,E12000006,East of England
E00078896,E02003250,E06000031,E12000006,East of England
E00078898,E02003246,E06000031,E12000006,East of England
E00078899,E02003246,E06000031,E12000006,East of England
E00078900,E02003246,E06000031,E12000006,East of England
E00078901,E02003246,E06000031,E12000006,East of England
E00078902,E02003246,E06000031,E12000006,East of England
E00078903,E02003246,E06000031,E12000006,East of England
E00078904,E02003246,E06000031,E12000006,East of England
E00078905,E02003246,E06000031,E12000006,East of England
E00078906,E02003246,E06000031,E12000006,East of England
E00078907,E02003248,E06000031,E12000006,East of England
E00078909,E02003250,E06000031,E12000006,East of England
E00078910,E02003248,E06000031,E12000006,East of England
E00078911,E02003248,E06000031,E12000006,East of England
E00078912,E02003250,E06000031,E12000006,East of England
E00078913,E02003250,E06000031,E12000006,East of England
E00078914,E02003250,E06000031,E12000006,East of England
E00078915,E02003244,E06000031,E12000006,East of England
E00078916,E02003244,E06000031,E12000006,East of England
E00078917,E02003244,E06000031,E12000006,East of England
E00078918,E02003243,E06000031,E12000006,East of England
E00078919,E02003243,E06000031,E12000006,East of England
E00078920,E02003243,E06000031,E12000006,East of England
E00078921,E02003243,E06000031,E12000006,East of England
E00078922,E02003243,E06000031,E12000006,East of England
E00078923,E02003243,E06000031,E12000006,East of England
E00078924,E02003243,E06000031,E12000006,East of England
E00078925,E02003244,E06000031,E12000006,East of England
E00078926,E02003244,E06000031,E12000006,East of England
E00078927,E02003244,E06000031,E12000006,East of England
E00078928,E02003243,E06000031,E12000006,East of England
E00078929,E02003244,E06000031,E12000006,East of England
E00078930,E02003243,E06000031,E12000006,East of England
E00078931,E02003249,E06000031,E12000006,East of England
E00078932,E02003249,E06000031,E12000006,East of England
E00078933,E02003243,E06000031,E12000006,East of England
E00078934,E02003244,E06000031,E12000006,East of England
E00078935,E02003244,E06000031,E12000006,East of England
E00078936,E02003244,E06000031,E12000006,East of England
E00078937,E02003244,E06000031,E12000006,East of England
E00078938,E02003249,E06000031,E12000006,East of England
E00078939,E02003244,E06000031,E12000006,East of England
E00078940,E02003249,E06000031,E12000006,East of England
E00078941,E02003244,E06000031,E12000006,East of England
E00078942,E02003244,E06000031,E12000006,East of England
E00078943,E02003244,E06000031,E12000006,East of England
E00078944,E02003249,E06000031,E12000006,East of England
E00078945,E02003249,E06000031,E12000006,East of England
E00078946,E02003249,E06000031,E12000006,East of England
E00078948,E02003249,E06000031,E12000006,East of England
E00078949,E02003249,E06000031,E12000006,East of England
E00078950,E02003249,E06000031,E12000006,East of England
E00078951,E02003249,E06000031,E12000006,East of England
E00078952,E02003249,E06000031,E12000006,East of England
E00078953,E02003249,E06000031,E12000006,East of England
E00078954,E02003249,E06000031,E12000006,East of England
E00078955,E02003250,E06000031,E12000006,East of England
E00078956,E02003249,E06000031,E12000006,East of England
E00078957,E02003249,E06000031,E12000006,East of England
E00078958,E02003250,E06000031,E12000006,East of England
E00078959,E02003250,E06000031,E12000006,East of England
E00078960,E02003250,E06000031,E12000006,East of England
E00078961,E02003250,E06000031,E12000006,East of England
E00078962,E02003250,E06000031,E12000006,East of England
E00078963,E02003249,E06000031,E12000006,East of England
E00078964,E02003249,E06000031,E12000006,East of England
E00078965,E02003249,E06000031,E12000006,East of England
E00078967,E02003249,E06000031,E12000006,East of England
E00078968,E02003249,E06000031,E12000006,East of England
E00078969,E02003249,E06000031,E12000006,East of England
E00078970,E02003249,E06000031,E12000006,East of England
E00078971,E02003249,E06000031,E12000006,East of England
E00078972,E02003249,E06000031,E12000006,East of England
E00078974,E02003249,E06000031,E12000006,East of England
E00078975,E02003249,E06000031,E12000006,East of England
E00078976,E02003241,E06000031,E12000006,East of England
E00078977,E02003241,E06000031,E12000006,East of England
E00078978,E02003241,E06000031,E12000006,East of England
E00078979,E02003241,E06000031,E12000006,East of England
E00078980,E02003241,E06000031,E12000006,East of England
E00078981,E02003241,E06000031,E12000006,East of England
E00078982,E02003241,E06000031,E12000006,East of England
E00078983,E02003241,E06000031,E12000006,East of England
E00078984,E02003241,E06000031,E12000006,East of England
E00078985,E02003241,E06000031,E12000006,East of England
E00078987,E02003241,E06000031,E12000006,East of England
E00078988,E02003241,E06000031,E12000006,East of England
E00078989,E02003241,E06000031,E12000006,East of England
E00078990,E02003241,E06000031,E12000006,East of England
E00078991,E02003241,E06000031,E12000006,East of England
E00078992,E02003241,E06000031,E12000006,East of England
E00078993,E02003241,E06000031,E12000006,East of England
E00078994,E02003253,E06000031,E12000006,East of England
E00078995,E02003253,E06000031,E12000006,East of England
E00078996,E02003253,E06000031,E12000006,East of England
E00078997,E02003253,E06000031,E12000006,East of England
E00078998,E02003253,E06000031,E12000006,East of England
E00078999,E02003252,E06000031,E12000006,East of England
E00079000,E02003252,E06000031,E12000006,East of England
E00079001,E02003253,E06000031,E12000006,East of England
E00079003,E02003253,E06000031,E12000006,East of England
E00079004,E02003252,E06000031,E12000006,East of England
E00079005,E02003252,E06000031,E12000006,East of England
E00079006,E02003253,E06000031,E12000006,East of England
E00079007,E02003253,E06000031,E12000006,East of England
E00079008,E02003253,E06000031,E12000006,East of England
E00079009,E02003253,E06000031,E12000006,East of England
E00079010,E02003252,E06000031,E12000006,East of England
E00079011,E02003252,E06000031,E12000006,East of England
E00079012,E02003253,E06000031,E12000006,East of England
E00079013,E02003253,E06000031,E12000006,East of England
E00079014,E02003253,E06000031,E12000006,East of England
E00079015,E02003252,E06000031,E12000006,East of England
E00079017,E02003252,E06000031,E12000006,East of England
E00079018,E02003253,E06000031,E12000006,East of England
E00079019,E02003252,E06000031,E12000006,East of England
E00079020,E02003252,E06000031,E12000006,East of England
E00079021,E02003252,E06000031,E12000006,East of England
E00079022,E02003253,E06000031,E12000006,East of England
E00079024,E02003254,E06000031,E12000006,East of England
E00079025,E02003254,E06000031,E12000006,East of England
E00079026,E02003254,E06000031,E12000006,East of England
E00079027,E02003254,E06000031,E12000006,East of England
E00079028,E02003254,E06000031,E12000006,East of England
E00079029,E02003237,E06000031,E12000006,East of England
E00079030,E02003237,E06000031,E12000006,East of England
E00079031,E02003237,E06000031,E12000006,East of England
E00079032,E02003237,E06000031,E12000006,East of England
E00079033,E02003237,E06000031,E12000006,East of England
E00079034,E02003254,E06000031,E12000006,East of England
E00079035,E02003254,E06000031,E12000006,East of England
E00079036,E02003240,E06000031,E12000006,East of England
E00079037,E02003240,E06000031,E12000006,East of England
E00079038,E02003240,E06000031,E12000006,East of England
E00079040,E02003240,E06000031,E12000006,East of England
E00079042,E02003240,E06000031,E12000006,East of England
E00079043,E02003240,E06000031,E12000006,East of England
E00079044,E02003240,E06000031,E12000006,East of England
E00079045,E02003239,E06000031,E12000006,East of England
E00079047,E02003239,E06000031,E12000006,East of England
E00079048,E02003239,E06000031,E12000006,East of England
E00079049,E02003239,E06000031,E12000006,East of England
E00079050,E02003239,E06000031,E12000006,East of England
E00079051,E02003239,E06000031,E12000006,East of England
E00079052,E02003239,E06000031,E12000006,East of England
E00079053,E02003239,E06000031,E12000006,East of England
E00079054,E02003246,E06000031,E12000006,East of England
E00079055,E02003246,E06000031,E12000006,East of England
E00079056,E02003244,E06000031,E12000006,East of England
E00079057,E02003244,E06000031,E12000006,East of England
E00079058,E02003244,E06000031,E12000006,East of England
E00079059,E02003244,E06000031,E12000006,East of England
E00079060,E02003244,E06000031,E12000006,East of England
E00079061,E02003244,E06000031,E12000006,East of England
E00079062,E02003244,E06000031,E12000006,East of England
E00079063,E02003244,E06000031,E12000006,East of England
E00079064,E02003244,E06000031,E12000006,East of England
E00079065,E02003244,E06000031,E12000006,East of England
E00079066,E02003246,E06000031,E12000006,East of England
E00079067,E02003246,E06000031,E12000006,East of England
E00079068,E02003246,E06000031,E12000006,East of England
E00079069,E02003244,E06000031,E12000006,East of England
E00079070,E02003246,E06000031,E12000006,East of England
E00079071,E02003244,E06000031,E12000006,East of England
E00079072,E02003244,E06000031,E12000006,East of England
E00079073,E02003237,E06000031,E12000006,East of England
E00079074,E02003237,E06000031,E12000006,East of England
E00079075,E02003237,E06000031,E12000006,East of England
E00079076,E02003237,E06000031,E12000006,East of England
E00079077,E02003237,E06000031,E12000006,East of England
E00079078,E02003237,E06000031,E12000006,East of England
E00079079,E02003237,E06000031,E12000006,East of England
E00079080,E02003237,E06000031,E12000006,East of England
E00079081,E02006877,E06000031,E12000006,East of England
E00079082,E02003257,E06000031,E12000006,East of England
E00079083,E02003257,E06000031,E12000006,East of England
E00079084,E02006877,E06000031,E12000006,East of England
E00079085,E02006877,E06000031,E12000006,East of England
E00079086,E02003257,E06000031,E12000006,East of England
E00079087,E02003257,E06000031,E12000006,East of England
E00079088,E02006877,E06000031,E12000006,East of England
E00079089,E02003257,E06000031,E12000006,East of England
E00079090,E02003257,E06000031,E12000006,East of England
E00079091,E02003257,E06000031,E12000006,East of England
E00079092,E02003257,E06000031,E12000006,East of England
E00079093,E02003257,E06000031,E12000006,East of England
E00079094,E02003257,E06000031,E12000006,East of England
E00079095,E02003257,E06000031,E12000006,East of England
E00079096,E02003257,E06000031,E12000006,East of England
E00079097,E02003257,E06000031,E12000006,East of England
E00079098,E02003257,E06000031,E12000006,East of England
E00079099,E02003257,E06000031,E12000006,East of England
E00079100,E02006878,E06000031,E12000006,East of England
E00079101,E02003257,E06000031,E12000006,East of England
E00079102,E02006878,E06000031,E12000006,East of England
E00079103,E02003257,E06000031,E12000006,East of England
E00079104,E02006878,E06000031,E12000006,East of England
E00079105,E02006878,E06000031,E12000006,East of England
E00079106,E02003257,E06000031,E12000006,East of England
E00079107,E02006877,E06000031,E12000006,East of England
E00079108,E02003257,E06000031,E12000006,East of England
E00079109,E02003257,E06000031,E12000006,East of England
E00079110,E02006878,E06000031,E12000006,East of England
E00079111,E02003257,E06000031,E12000006,East of England
E00079112,E02003257,E06000031,E12000006,East of England
E00079113,E02003257,E06000031,E12000006,East of England
E00079114,E02003257,E06000031,E12000006,East of England
E00079115,E02003254,E06000031,E12000006,East of England
E00079116,E02003254,E06000031,E12000006,East of England
E00079117,E02003254,E06000031,E12000006,East of England
E00079118,E02003254,E06000031,E12000006,East of England
