area,msoa,lad_code,region_code,region
E00041363,E02006842,E08000037,E12000001,North East
E00041364,E02006842,E08000037,E12000001,North East
E00041366,E02006841,E08000037,E12000001,North East
E00041367,E02001692,E08000037,E12000001,North East
E00041368,E02001692,E08000037,E12000001,North East
E00041369,E02001692,E08000037,E12000001,North East
E00041371,E02006842,E08000037,E12000001,North East
E00041372,E02001692,E08000037,E12000001,North East
E00041377,E02006841,E08000037,E12000001,North East
E00041378,E02006841,E08000037,E12000001,North East
E00041381,E02006841,E08000037,E12000001,North East
E00041382,E02006841,E08000037,E12000001,North East
E00041383,E02006841,E08000037,E12000001,North East
E00041384,E02006842,E08000037,E12000001,North East
E00041385,E02006841,E08000037,E12000001,North East
E00041386,E02006841,E08000037,E12000001,North East
E00041388,E02001692,E08000037,E12000001,North East
E00041389,E02006841,E08000037,E12000001,North East
E00041390,E02006841,E08000037,E12000001,North East
E00041393,E02001689,E08000037,E12000001,North East
E00041394,E02001689,E08000037,E12000001,North East
E00041395,E02006841,E08000037,E12000001,North East
E00041397,E02001689,E08000037,E12000001,North East
E00041399,E02001689,E08000037,E12000001,North East
E00041400,E02001689,E08000037,E12000001,North East
E00041401,E02001689,E08000037,E12000001,North East
E00041402,E02001689,E08000037,E12000001,North East
E00041404,E02001689,E08000037,E12000001,North East
E00041405,E02001689,E08000037,E12000001,North East
E00041406,E02001689,E08000037,E12000001,North East
E00041407,E02001689,E08000037,E12000001,North East
E00041408,E02001689,E08000037,E12000001,North East
E00041409,E02001689,E08000037,E12000001,North East
E00041410,E02006841,E08000037,E12000001,North East
E00041411,E02006841,E08000037,E12000001,North East
E00041413,E02006841,E08000037,E12000001,North East
E00041414,E02006841,E08000037,E12000001,North East
E00041415,E02001689,E08000037,E12000001,North East
E00041416,E02001707,E08000037,E12000001,North East
E00041417,E02001707,E08000037,E12000001,North East
E00041418,E02001707,E08000037,E12000001,North East
E00041419,E02001707,E08000037,E12000001,North East
E00041420,E02001707,E08000037,E12000001,North East
E00041421,E02001707,E08000037,E12000001,North East
E00041422,E02001707,E08000037,E12000001,North East
E00041423,E02001707,E08000037,E12000001,North East
E00041424,E02001707,E08000037,E12000001,North East
E00041425,E02001707,E08000037,E12000001,North East
E00041426,E02001707,E08000037,E12000001,North East
E00041427,E02001707,E08000037,E12000001,North East
E00041429,E02001707,E08000037,E12000001,North East
E00041430,E02001707,E08000037,E12000001,North East
E00041431,E02001707,E08000037,E12000001,North East
E00041432,E02001707,E08000037,E12000001,North East
E00041433,E02001707,E08000037,E12000001,North East
E00041434,E02001707,E08000037,E12000001,North East
E00041435,E02001707,E08000037,E12000001,North East
E00041436,E02001707,E08000037,E12000001,North East
E00041437,E02001707,E08000037,E12000001,North East
E00041438,E02001707,E08000037,E12000001,North East
E00041439,E02001707,E08000037,E12000001,North East
E00041440,E02001707,E08000037,E12000001,North East
E00041441,E02001707,E08000037,E12000001,North East
E00041442,E02001707,E08000037,E12000001,North East
E00041443,E02001686,E08000037,E12000001,North East
E00041444,E02001686,E08000037,E12000001,North East
E00041445,E02001686,E08000037,E12000001,North East
E00041446,E02001686,E08000037,E12000001,North East
E00041447,E02001685,E08000037,E12000001,North East
E00041448,E02001685,E08000037,E12000001,North East
E00041449,E02001685,E08000037,E12000001,North East
E00041450,E02001686,E08000037,E12000001,North East
E00041451,E02001685,E08000037,E12000001,North East
E00041452,E02001686,E08000037,E12000001,North East
E00041453,E02001685,E08000037,E12000001,North East
E00041454,E02001685,E08000037,E12000001,North East
E00041455,E02001685,E08000037,E12000001,North East
E00041456,E02001685,E08000037,E12000001,North East
E00041457,E02001685,E08000037,E12000001,North East
E00041458,E02001686,E08000037,E12000001,North East
E00041459,E02001686,E08000037,E12000001,North East
E00041460,E02001686,E08000037,E12000001,North East
E00041461,E02001685,E08000037,E12000001,North East
E00041462,E02001685,E08000037,E12000001,North East
E00041463,E02001685,E08000037,E12000001,North East
E00041464,E02001685,E08000037,E12000001,North East
E00041465,E02001685,E08000037,E12000001,North East
E00041466,E02001685,E08000037,E12000001,North East
E00041467,E02001686,E08000037,E12000001,North East
E00041468,E02001686,E08000037,E12000001,North East
E00041469,E02001686,E08000037,E12000001,North East
E00041470,E02001686,E08000037,E12000001,North East
E00041471,E02001686,E08000037,E12000001,North East
E00041472,E02001685,E08000037,E12000001,North East
E00041473,E02007094,E08000037,E12000001,North East
E00041474,E02007094,E08000037,E12000001,North East
E00041475,E02007094,E08000037,E12000001,North East
E00041476,E02007094,E08000037,E12000001,North East
E00041477,E02001703,E08000037,E12000001,North East
E00041478,E02001703,E08000037,E12000001,North East
E00041479,E02007094,E08000037,E12000001,North East
E00041480,E02007094,E08000037,E12000001,North East
E00041481,E02007094,E08000037,E12000001,North East
E00041482,E02007094,E08000037,E12000001,North East
E00041483,E02001703,E08000037,E12000001,North East
E00041485,E02001703,E08000037,E12000001,North East
E00041486,E02001703,E08000037,E12000001,North East
E00041487,E02001703,E08000037,E12000001,North East
E00041488,E02001703,E08000037,E12000001,North East
E00041489,E02001703,E08000037,E12000001,North East
E00041490,E02001703,E08000037,E12000001,North East
E00041491,E02007094,E08000037,E12000001,North East
E00041492,E02001703,E08000037,E12000001,North East
E00041493,E02001703,E08000037,E12000001,North East
E00041494,E02001703,E08000037,E12000001,North East
