area,msoa,lad_code,region_code,region
E00024141,E02000986,E08000001,E12000002,North West
E00024142,E02000986,E08000001,E12000002,North West
E00024143,E02000988,E08000001,E12000002,North West
E00024144,E02000986,E08000001,E12000002,North West
E00024145,E02000986,E08000001,E12000002,North West
E00024146,E02000986,E08000001,E12000002,North West
E00024147,E02000986,E08000001,E12000002,North West
E00024148,E02000988,E08000001,E12000002,North West
E00024150,E02000988,E08000001,E12000002,North West
E00024151,E02000988,E08000001,E12000002,North West
E00024152,E02000988,E08000001,E12000002,North West
E00024153,E02000986,E08000001,E12000002,North West
E00024154,E02000986,E08000001,E12000002,North West
E00024155,E02000988,E08000001,E12000002,North West
E00024156,E02000988,E08000001,E12000002,North West
E00024157,E02000986,E08000001,E12000002,North West
E00024158,E02000988,E08000001,E12000002,North West
E00024159,E02000986,E08000001,E12000002,North West
E00024160,E02000986,E08000001,E12000002,North West
E00024161,E02000988,E08000001,E12000002,North West
E00024162,E02000986,E08000001,E12000002,North West
E00024163,E02000988,E08000001,E12000002,North West
E00024164,E02000988,E08000001,E12000002,North West
E00024165,E02000988,E08000001,E12000002,North West
E00024166,E02000988,E08000001,E12000002,North West
E00024167,E02000988,E08000001,E12000002,North West
E00024168,E02000988,E08000001,E12000002,North West
E00024169,E02000988,E08000001,E12000002,North West
E00024170,E02000988,E08000001,E12000002,North West
E00024171,E02000988,E08000001,E12000002,North West
E00024172,E02000988,E08000001,E12000002,North West
E00024173,E02000988,E08000001,E12000002,North West
E00024175,E02000988,E08000001,E12000002,North West
E00024176,E02000986,E08000001,E12000002,North West
E00024177,E02000984,E08000001,E12000002,North West
E00024178,E02000984,E08000001,E12000002,North West
E00024179,E02000984,E08000001,E12000002,North West
E00024180,E02000986,E08000001,E12000002,North West
E00024181,E02000984,E08000001,E12000002,North West
E00024182,E02000984,E08000001,E12000002,North West
E00024183,E02000986,E08000001,E12000002,North West
E00024184,E02000986,E08000001,E12000002,North West
E00024185,E02000986,E08000001,E12000002,North West
E00024186,E02000986,E08000001,E12000002,North West
E00024187,E02000986,E08000001,E12000002,North West
E00024188,E02000997,E08000001,E12000002,North West
E00024190,E02000992,E08000001,E12000002,North West
E00024191,E02000992,E08000001,E12000002,North West
E00024192,E02000992,E08000001,E12000002,North West
E00024193,E02000992,E08000001,E12000002,North West
E00024194,E02000992,E08000001,E12000002,North West
E00024195,E02000992,E08000001,E12000002,North West
E00024196,E02000992,E08000001,E12000002,North West
E00024197,E02000992,E08000001,E12000002,North West
E00024198,E02000992,E08000001,E12000002,North West
E00024200,E02000992,E08000001,E12000002,North West
E00024201,E02000992,E08000001,E12000002,North West
E00024202,E02000992,E08000001,E12000002,North West
E00024203,E02000992,E08000001,E12000002,North West
E00024204,E02000992,E08000001,E12000002,North West
E00024205,E02000992,E08000001,E12000002,North West
E00024206,E02000992,E08000001,E12000002,North West
E00024207,E02000990,E08000001,E12000002,North West
E00024208,E02000987,E08000001,E12000002,North West
E00024210,E02000990,E08000001,E12000002,North West
E00024211,E02000997,E08000001,E12000002,North West
E00024212,E02000987,E08000001,E12000002,North West
