area,msoa,lad_code,region_code,region
E00080972,E02003334,E06000035,E12000008,South East
E00080973,E02003334,E06000035,E12000008,South East
E00080974,E02003340,E06000035,E12000008,South East
E00080975,E02003334,E06000035,E12000008,South East
E00080976,E02003328,E06000035,E12000008,South East
E00080977,E02003328,E06000035,E12000008,South East
E00080978,E02003335,E06000035,E12000008,South East
E00080979,E02003334,E06000035,E12000008,South East
E00080981,E02003328,E06000035,E12000008,South East
E00080982,E02003328,E06000035,E12000008,South East
E00080983,E02003328,E06000035,E12000008,South East
E00080984,E02003334,E06000035,E12000008,South East
E00080985,E02003334,E06000035,E12000008,South East
E00080986,E02003334,E06000035,E12000008,South East
E00080987,E02003328,E06000035,E12000008,South East
E00080988,E02003334,E06000035,E12000008,South East
E00080989,E02003335,E06000035,E12000008,South East
E00080990,E02003335,E06000035,E12000008,South East
E00080991,E02003335,E06000035,E12000008,South East
E00080992,E02003334,E06000035,E12000008,South East
E00080993,E02003334,E06000035,E12000008,South East
E00080994,E02003335,E06000035,E12000008,South East
E00080995,E02003334,E06000035,E12000008,South East
E00080996,E02003335,E06000035,E12000008,South East
E00080997,E02003335,E06000035,E12000008,South East
E00080998,E02003335,E06000035,E12000008,South East
E00080999,E02003334,E06000035,E12000008,South East
E00081000,E02003335,E06000035,E12000008,South East
E00081001,E02003335,E06000035,E12000008,South East
E00081002,E02003334,E06000035,E12000008,South East
E00081003,E02003335,E06000035,E12000008,South East
E00081004,E02003335,E06000035,E12000008,South East
E00081005,E02003335,E06000035,E12000008,South East
E00081006,E02003335,E06000035,E12000008,South East
E00081007,E02003340,E06000035,E12000008,South East
E00081008,E02003340,E06000035,E12000008,South East
E00081009,E02003340,E06000035,E12000008,South East
E00081010,E02003340,E06000035,E12000008,South East
E00081011,E02003328,E06000035,E12000008,South East
E00081012,E02003328,E06000035,E12000008,South East
E00081013,E02003328,E06000035,E12000008,South East
E00081014,E02003328,E06000035,E12000008,South East
E00081015,E02003328,E06000035,E12000008,South East
E00081016,E02003328,E06000035,E12000008,South East
E00081017,E02003328,E06000035,E12000008,South East
E00081018,E02003328,E06000035,E12000008,South East
E00081019,E02003328,E06000035,E12000008,South East
E00081020,E02003328,E06000035,E12000008,South East
E00081021,E02003341,E06000035,E12000008,South East
E00081022,E02003341,E06000035,E12000008,South East
E00081023,E02003341,E06000035,E12000008,South East
E00081024,E02003341,E06000035,E12000008,South East
E00081025,E02003341,E06000035,E12000008,South East
E00081026,E02003341,E06000035,E12000008,South East
E00081027,E02003341,E06000035,E12000008,South East
E00081028,E02003341,E06000035,E12000008,South East
E00081029,E02003341,E06000035,E12000008,South East
E00081030,E02003341,E06000035,E12000008,South East
E00081032,E02003341,E06000035,E12000008,South East
E00081033,E02003341,E06000035,E12000008,South East
E00081034,E02003341,E06000035,E12000008,South East
E00081035,E02003341,E06000035,E12000008,South East
