area,msoa,lad_code,region_code,region
E00045077,E02001915,E08000025,E12000005,West Midlands
E00045078,E02001915,E08000025,E12000005,West Midlands
E00045079,E02001915,E08000025,E12000005,West Midlands
E00045080,E02001904,E08000025,E12000005,West Midlands
E00045081,E02001904,E08000025,E12000005,West Midlands
E00045082,E02001915,E08000025,E12000005,West Midlands
E00045083,E02001915,E08000025,E12000005,West Midlands
E00045084,E02001915,E08000025,E12000005,West Midlands
E00045085,E02001904,E08000025,E12000005,West Midlands
E00045086,E02001915,E08000025,E12000005,West Midlands
E00045087,E02001915,E08000025,E12000005,West Midlands
E00045088,E02001915,E08000025,E12000005,West Midlands
E00045090,E02001915,E08000025,E12000005,West Midlands
E00045091,E02001915,E08000025,E12000005,West Midlands
E00045092,E02001915,E08000025,E12000005,West Midlands
E00045093,E02001915,E08000025,E12000005,West Midlands
E00045094,E02001915,E08000025,E12000005,West Midlands
E00045095,E02001915,E08000025,E12000005,West Midlands
E00045096,E02001915,E08000025,E12000005,West Midlands
E00045097,E02001915,E08000025,E12000005,West Midlands
E00045098,E02001915,E08000025,E12000005,West Midlands
E00045099,E02001892,E08000025,E12000005,West Midlands
E00045100,E02001893,E08000025,E12000005,West Midlands
E00045101,E02001892,E08000025,E12000005,West Midlands
E00045102,E02001893,E08000025,E12000005,West Midlands
E00045103,E02001893,E08000025,E12000005,West Midlands
E00045104,E02001892,E08000025,E12000005,West Midlands
E00045105,E02001892,E08000025,E12000005,West Midlands
E00045106,E02001892,E08000025,E12000005,West Midlands
E00045107,E02001893,E08000025,E12000005,West Midlands
E00045108,E02001892,E08000025,E12000005,West Midlands
E00045109,E02001892,E08000025,E12000005,West Midlands
E00045110,E02001893,E08000025,E12000005,West Midlands
E00045111,E02001892,E08000025,E12000005,West Midlands
E00045112,E02001893,E08000025,E12000005,West Midlands
E00045113,E02001893,E08000025,E12000005,West Midlands
E00045114,E02001892,E08000025,E12000005,West Midlands
E00045115,E02001892,E08000025,E12000005,West Midlands
E00045116,E02001893,E08000025,E12000005,West Midlands
E00045117,E02001892,E08000025,E12000005,West Midlands
E00045118,E02001893,E08000025,E12000005,West Midlands
E00045119,E02001892,E08000025,E12000005,West Midlands
E00045120,E02001892,E08000025,E12000005,West Midlands
E00045121,E02001892,E08000025,E12000005,West Midlands
E00045122,E02001904,E08000025,E12000005,West Midlands
E00045123,E02001893,E08000025,E12000005,West Midlands
E00045124,E02001892,E08000025,E12000005,West Midlands
E00045125,E02001904,E08000025,E12000005,West Midlands
E00045126,E02001904,E08000025,E12000005,West Midlands
E00045127,E02001904,E08000025,E12000005,West Midlands
E00045128,E02001904,E08000025,E12000005,West Midlands
E00045129,E02001904,E08000025,E12000005,West Midlands
E00045130,E02001902,E08000025,E12000005,West Midlands
