area,msoa,lad_code,region_code,region
E00037085,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037086,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037087,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037088,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037089,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037090,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037091,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037092,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037093,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037094,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037096,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037097,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037098,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037099,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037100,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037101,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037102,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037103,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037104,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037105,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037106,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037107,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037108,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037109,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037110,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037111,E02001523,E08000016,E12000003,Yorkshire and The Humber
E00037112,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037113,E02001526,E08000016,E12000003,Yorkshire and The Humber
E00037114,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037115,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037116,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037117,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037118,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037119,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037120,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037121,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037122,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037123,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037124,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037125,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037126,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037127,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037128,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037129,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037130,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037131,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037132,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037133,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037134,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037135,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037136,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037137,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037138,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037139,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037140,E02001515,E08000016,E12000003,Yorkshire and The Humber
E00037141,E02001514,E08000016,E12000003,Yorkshire and The Humber
E00037142,E02001514,E08000016,E12000003,Yorkshire and The Humber
E00037143,E02001514,E08000016,E12000003,Yorkshire and The Humber
E00037145,E02001514,E08000016,E12000003,Yorkshire and The Humber
