msoa,accommodation type,0-4,5-15,16-17,18-20,21-24,25-29,30+
E02000001,Does not apply,216,0,0,24,520,1117,5558
E02000001,Living alone,0,0,1,40,95,47,28
E02000001,Living in another household type,0,0,1,9,58,33,41
E02000001,all student household,0,0,0,78,137,14,8
E02000001,communal establishment: Other,0,27,0,0,0,0,3
E02000001,communal establishment: University,0,0,5,20,20,2,4
E02000001,parents,0,335,60,54,26,8,6
E02000002,Does not apply,653,3,18,84,274,475,4460
E02000002,Living alone,0,0,0,2,2,1,8
E02000002,Living in another household type,0,29,6,5,17,15,69
E02000002,all student household,0,2,0,1,2,7,18
E02000002,communal establishment: Other,0,0,0,0,0,0,0
E02000002,communal establishment: University,0,0,0,0,0,0,0
E02000002,parents,0,1611,264,174,53,18,4
E02000003,Does not apply,951,0,10,152,441,816,6538
E02000003,Living alone,0,0,0,0,0,5,13
E02000003,Living in another household type,0,52,10,31,84,25,92
E02000003,all student household,0,1,0,1,8,2,24
E02000003,communal establishment: Other,0,0,5,4,0,0,0
E02000003,communal establishment: University,0,0,0,0,0,0,0
E02000003,parents,0,1693,265,232,83,11,6
E02000004,Does not apply,398,3,9,98,291,461,4039
E02000004,Living alone,0,0,0,1,1,0,3
E02000004,Living in another household type,0,19,11,6,13,17,35
E02000004,all student household,0,2,0,0,4,5,14
E02000004,communal establishment: Other,0,0,0,1,0,3,2
E02000004,communal establishment: University,0,0,0,0,0,0,0
E02000004,parents,0,913,156,94,44,13,1
E02000005,Does not apply,971,6,14,161,423,647,5994
E02000005,Living alone,0,0,0,1,2,1,3
E02000005,Living in another household type,0,31,10,11,20,19,81
E02000005,all student household,0,1,3,2,1,4,22
E02000005,communal establishment: Other,0,0,0,0,0,0,0
E02000005,communal establishment: University,0,0,0,0,0,0,0
E02000005,parents,0,2083,279,208,55,14,3
E02000007,Does not apply,749,3,11,137,395,665,5446
E02000007,Living alone,0,0,2,1,6,3,11
E02000007,Living in another household type,0,34,2,14,19,19,105
E02000007,all student household,0,1,2,0,3,4,31
E02000007,communal establishment: Other,0,10,0,0,0,0,0
E02000007,communal establishment: University,0,0,0,0,0,0,0
E02000007,parents,0,1896,286,198,87,16,5
E02000008,Does not apply,895,7,21,171,479,745,7459
E02000008,Living alone,0,0,0,1,2,1,11
E02000008,Living in another household type,0,40,9,13,19,21,140
E02000008,all student household,0,0,2,5,7,5,46
E02000008,communal establishment: Other,0,0,0,0,0,0,0
E02000008,communal establishment: University,0,0,0,0,0,0,0
E02000008,parents,0,2449,350,252,87,20,3
E02000009,Does not apply,1024,5,8,202,539,835,6677
E02000009,Living alone,0,0,1,1,7,6,16
E02000009,Living in another household type,0,49,11,18,35,29,135
E02000009,all student household,0,0,0,0,5,4,33
E02000009,communal establishment: Other,0,0,0,0,0,0,0
E02000009,communal establishment: University,0,0,0,0,0,0,0
E02000009,parents,0,2429,355,328,94,14,3
E02000010,Does not apply,680,3,13,121,407,575,5246
E02000010,Living alone,0,0,0,1,2,1,10
E02000010,Living in another household type,0,37,11,17,10,33,104
E02000010,all student household,0,0,0,1,1,3,13
E02000010,communal establishment: Other,0,0,0,0,0,0,0
E02000010,communal establishment: University,0,0,0,0,0,0,0
E02000010,parents,0,1693,248,178,71,18,0
E02000011,Does not apply,508,5,10,102,293,458,3998
E02000011,Living alone,0,0,0,1,1,0,9
E02000011,Living in another household type,0,22,7,4,18,25,64
E02000011,all student household,0,0,0,0,4,1,14
E02000011,communal establishment: Other,0,0,0,0,0,0,1
E02000011,communal establishment: University,0,0,0,0,0,0,0
E02000011,parents,0,1074,184,152,60,12,3
E02000012,Does not apply,742,3,8,119,536,855,6222
E02000012,Living alone,0,0,0,1,2,2,3
E02000012,Living in another household type,0,130,64,54,62,20,81
E02000012,all student household,0,2,0,1,5,12,10
E02000012,communal establishment: Other,0,0,0,0,0,0,0
E02000012,communal establishment: University,0,0,0,0,0,0,0
E02000012,parents,0,1788,300,315,158,13,2
E02000013,Does not apply,698,5,13,129,355,592,5162
E02000013,Living alone,0,0,0,1,0,0,7
E02000013,Living in another household type,0,36,13,15,18,24,99
E02000013,all student household,0,4,0,1,1,5,22
E02000013,communal establishment: Other,0,0,0,0,0,0,0
E02000013,communal establishment: University,0,0,0,0,0,0,0
E02000013,parents,0,1695,238,190,58,11,2
E02000014,Does not apply,666,6,17,159,369,617,5538
E02000014,Living alone,0,1,0,5,3,5,6
E02000014,Living in another household type,0,32,7,5,24,20,86
E02000014,all student household,0,2,2,2,1,6,32
E02000014,communal establishment: Other,0,0,0,1,1,0,1
E02000014,communal establishment: University,0,0,0,0,0,0,0
E02000014,parents,0,1716,250,193,68,11,10
E02000015,Does not apply,676,2,13,109,306,559,4434
E02000015,Living alone,0,0,0,2,2,3,10
E02000015,Living in another household type,0,36,3,6,18,19,85
E02000015,all student household,0,0,1,2,1,2,19
E02000015,communal establishment: Other,0,0,0,0,0,0,0
E02000015,communal establishment: University,0,0,0,0,0,0,0
E02000015,parents,0,1477,213,138,61,5,3
E02000016,Does not apply,1019,6,8,104,389,870,5262
E02000016,Living alone,0,0,1,3,7,7,75
E02000016,Living in another household type,0,49,6,16,36,38,131
E02000016,all student household,0,0,2,1,22,12,32
E02000016,communal establishment: Other,0,0,0,0,0,0,0
E02000016,communal establishment: University,0,0,0,0,0,0,0
E02000016,parents,0,1907,267,203,74,12,8
E02000017,Does not apply,662,4,1,93,383,615,5202
E02000017,Living alone,0,0,0,0,2,4,5
E02000017,Living in another household type,0,65,35,29,29,41,92
E02000017,all student household,0,0,1,5,5,2,7
E02000017,communal establishment: Other,0,0,0,4,0,0,3
E02000017,communal establishment: University,0,0,0,0,0,0,0
E02000017,parents,0,1256,221,237,106,13,6
E02000018,Does not apply,763,7,10,145,367,601,5114
E02000018,Living alone,0,0,0,1,0,1,6
E02000018,Living in another household type,0,31,7,13,16,27,108
E02000018,all student household,0,0,0,0,0,2,38
E02000018,communal establishment: Other,0,0,0,0,0,0,0
E02000018,communal establishment: University,0,0,0,0,0,0,0
E02000018,parents,0,1752,264,180,83,16,4
E02000019,Does not apply,834,3,18,135,341,608,5165
E02000019,Living alone,0,0,0,1,1,3,3
E02000019,Living in another household type,0,16,5,8,17,20,102
E02000019,all student household,0,0,0,0,1,4,15
E02000019,communal establishment: Other,0,0,0,0,0,0,0
E02000019,communal establishment: University,0,0,0,0,0,0,0
E02000019,parents,0,1791,240,250,66,11,4
E02000020,Does not apply,1291,6,16,153,438,983,7493
E02000020,Living alone,0,2,0,0,3,4,9
E02000020,Living in another household type,0,47,31,66,40,46,147
E02000020,all student household,0,6,0,0,0,3,27
E02000020,communal establishment: Other,0,7,1,0,0,0,0
E02000020,communal establishment: University,0,0,0,0,0,0,0
E02000020,parents,0,2434,358,289,136,15,9
E02000021,Does not apply,625,3,7,86,361,471,4759
E02000021,Living alone,0,0,0,1,2,0,9
E02000021,Living in another household type,0,32,5,8,18,21,81
E02000021,all student household,0,4,2,1,0,6,20
E02000021,communal establishment: Other,0,0,0,0,0,0,0
E02000021,communal establishment: University,0,0,0,0,0,0,0
E02000021,parents,0,1725,243,166,87,10,8
E02000022,Does not apply,839,7,10,61,210,548,3779
E02000022,Living alone,0,0,0,0,3,3,19
E02000022,Living in another household type,0,20,8,22,29,41,110
E02000022,all student household,0,0,1,2,14,7,26
E02000022,communal establishment: Other,0,0,0,1,0,0,0
E02000022,communal establishment: University,0,0,0,0,0,0,0
E02000022,parents,0,1465,253,180,74,6,3
E02000023,Does not apply,675,4,9,95,294,495,3935
E02000023,Living alone,0,1,0,4,0,2,8
E02000023,Living in another household type,0,33,10,12,18,19,110
E02000023,all student household,0,3,1,2,1,4,22
E02000023,communal establishment: Other,0,18,2,2,3,0,2
E02000023,communal establishment: University,0,0,0,0,0,0,0
E02000023,parents,0,1682,244,203,84,16,2
E02000024,Does not apply,566,0,1,79,383,572,7319
E02000024,Living alone,0,0,0,0,2,2,6
E02000024,Living in another household type,0,13,4,7,14,16,44
E02000024,all student household,0,0,0,2,8,6,3
E02000024,communal establishment: Other,0,0,0,0,0,0,0
E02000024,communal establishment: University,0,0,0,0,0,0,0
E02000024,parents,0,1345,244,139,55,11,9
E02000025,Does not apply,497,2,5,61,280,512,5627
E02000025,Living alone,0,0,0,3,2,2,7
E02000025,Living in another household type,0,70,31,4,13,6,40
E02000025,all student household,0,0,0,1,3,5,12
E02000025,communal establishment: Other,0,3,1,0,0,0,0
E02000025,communal establishment: University,0,0,0,0,0,0,0
E02000025,parents,0,1021,179,106,43,43,3
E02000026,Does not apply,411,2,6,52,198,341,4230
E02000026,Living alone,0,0,0,1,0,0,2
E02000026,Living in another household type,0,6,2,1,3,10,50
E02000026,all student household,0,0,0,3,3,7,4
E02000026,communal establishment: Other,0,0,0,0,1,4,6
E02000026,communal establishment: University,0,0,0,0,0,0,0
E02000026,parents,0,829,141,97,44,5,3
E02000027,Does not apply,535,8,4,82,352,538,6083
E02000027,Living alone,0,0,0,0,1,1,2
E02000027,Living in another household type,0,19,2,8,6,7,44
E02000027,all student household,0,0,0,2,2,3,9
E02000027,communal establishment: Other,0,0,0,0,0,0,0
E02000027,communal establishment: University,0,0,0,0,0,0,0
E02000027,parents,0,1356,262,193,96,15,3
E02000028,Does not apply,380,2,1,59,208,395,4277
E02000028,Living alone,0,0,0,4,2,1,4
E02000028,Living in another household type,0,9,4,5,9,9,27
E02000028,all student household,0,0,0,5,5,2,4
E02000028,communal establishment: Other,0,0,0,0,0,0,0
E02000028,communal establishment: University,0,0,0,0,0,0,0
E02000028,parents,0,836,151,86,43,11,2
E02000029,Does not apply,746,11,8,110,404,582,5748
E02000029,Living alone,0,0,0,1,1,4,9
E02000029,Living in another household type,0,7,5,6,8,12,52
E02000029,all student household,0,0,3,0,4,2,14
E02000029,communal establishment: Other,0,0,0,0,0,0,0
E02000029,communal establishment: University,0,0,0,0,0,0,0
E02000029,parents,0,1477,230,162,60,12,3
E02000030,Does not apply,436,1,6,53,307,430,6329
E02000030,Living alone,0,0,0,1,2,0,3
E02000030,Living in another household type,0,18,4,7,11,14,23
E02000030,all student household,0,2,0,1,1,3,4
E02000030,communal establishment: Other,0,0,0,0,0,0,0
E02000030,communal establishment: University,0,0,0,0,0,0,0
E02000030,parents,0,1290,264,173,67,9,4
E02000031,Does not apply,493,2,2,52,210,548,5573
E02000031,Living alone,0,1,0,1,1,2,6
E02000031,Living in another household type,0,10,0,7,10,10,27
E02000031,all student household,0,0,0,0,3,1,1
E02000031,communal establishment: Other,0,0,0,0,0,0,0
E02000031,communal establishment: University,0,0,0,0,0,0,0
E02000031,parents,0,1011,173,121,50,10,7
E02000032,Does not apply,305,0,4,52,257,393,5206
E02000032,Living alone,0,0,0,0,0,0,0
E02000032,Living in another household type,0,12,3,4,9,6,23
E02000032,all student household,0,0,0,2,1,2,0
E02000032,communal establishment: Other,0,0,0,0,0,0,0
E02000032,communal establishment: University,0,0,0,0,0,0,0
E02000032,parents,0,1195,234,146,72,10,3
E02000033,Does not apply,457,0,5,99,324,485,5715
E02000033,Living alone,0,0,0,2,1,1,4
E02000033,Living in another household type,0,12,6,11,17,12,43
E02000033,all student household,0,1,1,0,6,0,8
E02000033,communal establishment: Other,0,0,0,0,0,0,0
E02000033,communal establishment: University,0,0,0,0,0,0,0
E02000033,parents,0,1267,188,116,83,13,6
E02000034,Does not apply,521,7,7,66,297,558,5786
E02000034,Living alone,0,1,0,2,4,5,8
E02000034,Living in another household type,0,9,8,12,21,15,51
E02000034,all student household,0,0,0,9,4,0,15
E02000034,communal establishment: Other,0,0,0,0,0,0,0
E02000034,communal establishment: University,0,0,0,0,0,0,0
E02000034,parents,0,1264,185,141,58,18,4
E02000035,Does not apply,456,2,2,56,293,621,5643
E02000035,Living alone,0,1,0,3,4,2,7
E02000035,Living in another household type,0,13,3,10,8,16,38
E02000035,all student household,0,0,1,15,14,1,6
E02000035,communal establishment: Other,0,0,0,1,0,0,1
E02000035,communal establishment: University,0,5,0,0,2,14,41
E02000035,parents,0,975,114,102,47,13,1
E02000036,Does not apply,713,2,7,101,419,669,6750
E02000036,Living alone,0,0,0,1,3,2,7
E02000036,Living in another household type,0,34,11,9,16,16,65
E02000036,all student household,0,0,0,0,8,5,8
E02000036,communal establishment: Other,0,0,0,0,0,0,0
E02000036,communal establishment: University,0,0,0,0,0,0,0
E02000036,parents,0,1853,256,188,93,10,6
E02000037,Does not apply,703,6,11,109,400,578,6428
E02000037,Living alone,0,0,0,0,1,1,2
E02000037,Living in another household type,0,16,7,13,16,21,50
E02000037,all student household,0,0,0,0,0,6,15
E02000037,communal establishment: Other,0,0,0,0,0,0,0
E02000037,communal establishment: University,0,0,0,0,0,0,0
E02000037,parents,0,1890,285,183,80,10,7
E02000038,Does not apply,536,3,4,89,307,599,6927
E02000038,Living alone,0,1,1,2,2,6,4
E02000038,Living in another household type,0,20,3,6,24,19,46
E02000038,all student household,0,0,0,5,3,9,5
E02000038,communal establishment: Other,0,0,0,0,0,0,2
E02000038,communal establishment: University,0,0,0,0,0,0,0
E02000038,parents,0,1517,316,159,79,9,4
E02000039,Does not apply,482,0,7,46,265,390,4517
E02000039,Living alone,0,0,0,1,5,4,3
E02000039,Living in another household type,0,13,6,6,12,6,24
E02000039,all student household,0,2,0,4,5,3,2
E02000039,communal establishment: Other,0,1,1,0,0,0,0
E02000039,communal establishment: University,0,0,0,0,0,0,0
E02000039,parents,0,1009,164,122,55,12,3
E02000040,Does not apply,587,1,9,56,269,593,5601
E02000040,Living alone,0,0,0,0,2,2,3
E02000040,Living in another household type,0,33,12,6,5,16,37
E02000040,all student household,0,0,2,1,4,2,6
E02000040,communal establishment: Other,0,28,88,44,0,0,0
E02000040,communal establishment: University,0,0,0,0,0,0,0
E02000040,parents,0,1239,213,169,96,11,3
E02000041,Does not apply,558,2,6,85,343,599,5750
E02000041,Living alone,0,0,0,1,5,1,7
E02000041,Living in another household type,0,37,7,16,30,22,61
E02000041,all student household,0,0,0,0,6,3,16
E02000041,communal establishment: Other,0,0,0,0,0,0,0
E02000041,communal establishment: University,0,0,0,0,0,0,0
E02000041,parents,0,1415,217,179,97,10,3
E02000042,Does not apply,669,3,1,61,369,745,7490
E02000042,Living alone,0,1,0,3,9,4,11
E02000042,Living in another household type,0,22,6,7,27,82,55
E02000042,all student household,0,0,0,43,30,5,15
E02000042,communal establishment: Other,0,0,0,0,1,0,0
E02000042,communal establishment: University,0,0,0,0,0,0,0
E02000042,parents,0,1464,211,140,77,15,5
E02000043,Does not apply,448,0,1,39,202,387,4854
E02000043,Living alone,0,0,0,0,3,2,5
E02000043,Living in another household type,0,4,0,11,12,13,31
E02000043,all student household,0,0,0,1,7,0,6
E02000043,communal establishment: Other,0,0,0,0,0,0,0
E02000043,communal establishment: University,0,0,0,0,0,0,0
E02000043,parents,0,1226,170,80,46,9,3
E02000044,Does not apply,560,0,10,103,352,627,5142
E02000044,Living alone,0,0,0,0,1,0,1
E02000044,Living in another household type,0,22,15,12,30,20,59
E02000044,all student household,0,1,0,5,0,4,14
E02000044,communal establishment: Other,0,0,0,0,0,0,0
E02000044,communal establishment: University,0,0,0,0,0,0,0
E02000044,parents,0,1381,206,155,108,13,2
E02000045,Does not apply,624,1,8,103,316,644,6485
E02000045,Living alone,0,0,0,1,5,2,16
E02000045,Living in another household type,0,15,13,3,10,17,59
E02000045,all student household,0,1,0,7,10,2,16
E02000045,communal establishment: Other,0,0,0,0,0,0,0
E02000045,communal establishment: University,0,0,0,0,0,0,0
E02000045,parents,0,1598,254,204,95,18,7
E02000046,Does not apply,457,4,0,30,250,578,4480
