Name,Remand,Sentenced,Non-criminal,area,msoa
Altcourse,456,661,13,E00176728,E02001351
Ashfield,*,399,*,E00189531,E02003108
Askham Grange,*,83,*,E00067761,E02002782
Aylesbury,*,253,*,E00178390,E02003665
Bedford,213,144,10,E00183502,E02003625
Belmarsh,393,269,14,E00176530,E02000314
Berwyn,142,1662,*,W00010468,W02000425
Birmingham,628,322,19,E00175650,E02001879
Brinsford,130,294,11,E00171615,E02006179
Bristol,237,243,5,E00073274,E02003027
Brixton,*,657,7,E00177601,E02000638
Bronzefield,195,287,6,E00156619,E02006405
Buckley Hall,*,443,*,E00172363,E02001136
Bullingdon,416,642,11,E00169031,E02005936
Bure,*,612,3,E00169872,E02005581
Cardiff,315,322,9,W00009982,W02000402
Channings Wood,*,680,2,E00165900,E02004213
Chelmsford,409,260,10,E00109852,E02006978
Coldingley,*,443,*,E00167820,E02006421
Cookham Wood,45,41,*,E00167420,E02003337
Dartmoor,*,615,3,E00180228,E02004231
Deerbolt,*,271,*,E00183312,E02007022
Doncaster,364,745,25,E00038161,E02001560
Dovegate,176,978,4,E00168365,E02006136
Downview,*,215,*,E00170403,E02006376
Drake Hall,*,267,2,E00151321,E02006192
Durham,621,294,26,E00171869,E02004314
East Sutton Park,*,76,*,E00123682,E02005084
Eastwood Park,65,304,2,E00075710,E02003090
Elmley (Sheppey cluster),445,635,23,E00189650,E02005120
Erlestoke,*,431,*,E00184186,E02006639
Exeter,153,251,6,E00180166,E02004152
Featherstone,1,659,*,E00171615,E02006179
Feltham,32,184,2,E00179152,E02000552
Ford,*,384,*,E00184735,E02006547
Forest Bank,561,674,20,E00172963,E02001164
Foston Hall,57,197,1,E00100526,E02004118
Frankland,1,818,*,E00183299,E02004308
Full Sutton,1,566,*,E00175339,E02002692
Garth,*,792,*,E00170510,E02005195
Gartree,1,591,*,E00187479,E02005373
Grendon/Spring Hill,*,403,*,E00169125,E02003661
Guys Marsh,*,454,5,E00183057,E02004259
Hatfield,*,281,*,E00038290,E02001546
Haverigg,*,303,*,E00097466,E02004007
Hewell,344,528,16,E00181370,E02006709
High Down,127,1033,5,E00170403,E02006376
Highpoint (North and South),*,1244,9,E00169948,E02006283
Hindley,*,549,2,E00181441,E02001312
Hollesley Bay,*,392,*,E00173886,E02006293
Holme House,1,1150,*,E00174165,E02002544
Hull,351,641,23,E00170747,E02002671
Humber,*,944,1,E00185508,E02002709
Huntercombe,*,409,19,E00186049,E02005968
Isis,*,586,13,E00176530,E02000314
Isle of Wight,16,630,*,E00172713,E02003588
Kirkham,*,491,*,E00174064,E02005205
Kirklevington Grange,*,177,*,E00174174,E02002558
Lancaster Farms,*,524,*,E00185618,E02005233
Leeds,517,546,42,E00170041,E02002400
Leicester,183,86,8,E00068911,E02006850
Lewes,208,318,10,E00106857,E02004383
Leyhill,*,459,*,E00173069,E02003092
Lincoln,185,458,19,E00173653,E02005444
Lindholme,*,913,*,E00172382,E02001546
Littlehey,*,1166,6,E00173794,E02003769
Liverpool,184,611,9,E00182973,E02001349
Long Lartin,5,487,*,E00171600,E02006758
Low Newton,44,205,*,E00183266,E02004308
Lowdham Grange,*,887,*,E00173435,E02005905
Maidstone,*,521,40,E00186663,E02005071
Manchester,22,608,1,E00175942,E02006915
Moorland,*,913,15,E00172382,E02001546
Mount,*,1020,8,E00189378,E02004876
New Hall,80,253,2,E00168748,E02002472
North Sea Camp,*,311,*,E00185354,E02005417
Northumberland,1,1319,*,E00190044,E02005720
Norwich,232,470,9,E00187940,E02005587
Nottingham,472,352,25,E00173486,E02002874
Oakwood,*,2053,5,E00171615,E02006179
Onley,*,720,1,E00169204,E02005621
Parc,57,1562,6,W00010385,W02000228
Pentonville,696,322,33,E00013494,E02000568
Peterborough (Female),88,226,3,E00187639,E02003246
Peterborough (Male),345,476,12,E00187639,E02003246
Portland,*,497,8,E00171471,E02004288
Prescoed,*,235,*,W00008311,W02000341
Preston,306,359,14,E00181968,E02005266
Ranby,*,972,*,E00142851,E02005837
Risley,1,907,28,E00188925,E02002590
Rochester,1,679,*,E00167420,E02003337
Rye Hill,*,618,1,E00169203,E02005621
Send,*,172,*,E00155365,E02006344
Stafford,*,708,2,E00179354,E02006196
Standford Hill (Sheppey cluster),*,458,*,E00124937,E02005120
Stocken,2,1014,2,E00172628,E02002863
Stoke Heath,1,701,5,E00187256,E02006020
Styal,91,277,1,E00174371,E02003859
Sudbury,*,554,1,E00174335,E02004077
Swaleside (Sheppey cluster),1,970,*,E00124937,E02005120
Swansea,89,253,5,W00003997,W02000192
Swinfen Hall,*,551,*,E00180753,E02006157
Thameside,674,492,43,E00008406,E02000314
Thorn Cross,*,328,*,E00062779,E02002613
Usk,*,227,*,W00008311,W02000341
Wakefield,3,707,*,E00179981,E02002456
Wandsworth,678,409,273,E00183128,E02000946
Warren Hill,*,257,*,E00173886,E02006293
Wayland,*,889,*,E00169902,E02005512
Wealstun,*,797,*,E00170593,E02002331
Werrington,34,48,*,E00151745,E02006212
Wetherby,44,103,*,E00059025,E02002331
Whatton,*,801,1,E00144559,E02005906
Whitemoor,*,306,1,E00187623,E02003746
Winchester,214,255,6,E00184857,E02004833
Woodhill,5,502,*,E00183648,E02007016
Wormwood Scrubs,630,461,47,E00183098,E02000372
Wymott,*,1010,1,E00170510,E02005195
zzz The Verne IRC/HMP (Aug 18-),1,564,*,E00171474,E02004288
