Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Altcourse,36,25,33,*,1016,14,*,E00176728,E02001351
Ashfield,25,33,9,4,322,2,4,E00189531,E02003108
Askham Grange,*,*,4,*,74,*,*,E00067761,E02002782
Aylesbury,21,93,33,*,96,*,*,E00178390,E02003665
Bedford,53,61,21,*,210,16,*,E00183502,E02003625
Belmarsh,78,220,68,18,288,*,*,E00176530,E02000314
Berwyn,70,82,43,6,1584,3,16,W00010468,W02000425
Birmingham,168,166,61,19,546,2,7,E00175650,E02001879
Brinsford,67,83,42,8,230,*,*,E00171615,E02006179
Bristol,28,60,28,*,364,*,*,E00073274,E02003027
Brixton,68,184,52,15,340,2,3,E00177601,E02000638
Bronzefield,20,77,41,8,341,1,*,E00156619,E02006405
Buckley Hall,39,37,*,*,353,*,*,E00172363,E02001136
Bullingdon,123,120,78,13,730,*,5,E00169031,E02005936
Bure,28,45,20,11,504,*,*,E00169872,E02005581
Cardiff,21,32,30,7,546,7,3,W00009982,W02000402
Channings Wood,15,37,14,*,608,*,*,E00165900,E02004213
Chelmsford,26,97,36,*,510,1,*,E00109852,E02006978
Coldingley,30,124,32,*,251,*,*,E00167820,E02006421
Cookham Wood,*,44,8,*,21,1,7,E00167420,E02003337
Dartmoor,10,29,12,*,557,*,4,E00180228,E02004231
Deerbolt,24,42,*,*,190,*,*,E00183312,E02007022
Doncaster,105,62,40,21,904,2,*,E00038161,E02001560
Dovegate,121,134,79,24,798,2,*,E00168365,E02006136
Downview,13,30,17,*,155,*,*,E00170403,E02006376
Drake Hall,14,15,13,*,222,*,*,E00151321,E02006192
Durham,47,25,22,15,832,*,*,E00171869,E02004314
East Sutton Park,*,8,*,*,61,*,*,E00123682,E02005084
Eastwood Park,5,18,11,3,326,8,*,E00075710,E02003090
Elmley (Sheppey cluster),30,134,42,19,869,*,*,E00189650,E02005120
Erlestoke,33,71,21,*,301,1,*,E00184186,E02006639
Exeter,9,35,9,3,344,6,4,E00180166,E02004152
Featherstone,101,97,51,5,400,1,5,E00171615,E02006179
Feltham,18,86,37,*,73,*,*,E00179152,E02000552
Ford,39,77,18,*,239,1,*,E00184735,E02006547
Forest Bank,146,101,64,19,918,*,*,E00172963,E02001164
Foston Hall,10,13,10,*,220,2,*,E00100526,E02004118
Frankland,53,81,21,3,657,1,3,E00183299,E02004308
Full Sutton,74,57,22,12,402,*,*,E00175339,E02002692
Garth,42,94,43,*,602,*,*,E00170510,E02005195
Gartree,67,126,28,9,362,*,*,E00187479,E02005373
Grendon/Spring Hill,43,71,18,*,262,1,*,E00169125,E02003661
Guys Marsh,21,69,32,4,326,3,4,E00183057,E02004259
Hatfield,68,18,14,3,177,1,*,E00038290,E02001546
Haverigg,16,*,15,*,264,*,*,E00097466,E02004007
Hewell,65,78,41,10,687,4,3,E00181370,E02006709
High Down,96,273,79,19,685,10,3,E00170403,E02006376
Highpoint (North and South),117,317,82,29,695,2,11,E00169948,E02006283
Hindley,31,25,28,4,462,1,*,E00181441,E02001312
Hollesley Bay,32,92,30,6,229,*,3,E00173886,E02006293
Holme House,26,16,18,3,1088,*,*,E00174165,E02002544
Hull,45,33,30,9,858,37,3,E00170747,E02002671
Humber,40,29,23,*,848,*,*,E00185508,E02002709
Huntercombe,66,116,20,23,203,*,*,E00186049,E02005968
Isis,69,260,79,29,154,*,*,E00176530,E02000314
Isle of Wight,50,74,17,6,494,2,3,E00172713,E02003588
Kirkham,64,34,16,*,374,*,*,E00174064,E02005205
Kirklevington Grange,8,*,*,*,165,*,*,E00174174,E02002558
Lancaster Farms,36,10,13,*,462,*,3,E00185618,E02005233
Leeds,170,50,34,28,819,*,*,E00170041,E02002400
Leicester,39,31,18,*,180,*,*,E00068911,E02006850
Lewes,21,63,26,11,412,*,3,E00106857,E02004383
Leyhill,12,38,20,*,380,1,*,E00173069,E02003092
Lincoln,41,48,20,6,547,*,*,E00173653,E02005444
Lindholme,144,100,56,3,608,2,*,E00172382,E02001546
Littlehey,97,122,27,*,910,*,*,E00173794,E02003769
Liverpool,42,21,10,10,718,*,3,E00182973,E02001349
Long Lartin,46,99,31,5,307,*,*,E00171600,E02006758
Low Newton,3,3,12,*,231,*,*,E00183266,E02004308
Lowdham Grange,95,166,63,13,547,*,*,E00173435,E02005905
