msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02002796,0,0,0,0,0,0,0,0
E02002797,0,18,8,0,1,0,0,0
E02002798,0,0,0,0,0,0,1,16
E02002799,0,0,0,0,0,0,0,0
E02002800,0,0,1,0,2,10,25,58
E02002801,0,0,0,0,2,0,0,0
E02002802,0,5,2,4,11,5,10,13
E02002803,6,656,31,0,3,0,0,0
E02002804,0,0,0,0,0,0,0,0
E02002805,0,0,0,0,0,0,0,0
E02002806,0,137,6,3,3,3,3,1
E02002807,0,0,0,4,2,2,4,8
E02002808,0,368,25,10,8,3,11,8
E02002809,0,0,0,1,3,6,19,59
E02002810,0,0,0,0,3,4,1,2
E02002811,0,0,2,8,9,3,1,0
E02002812,3,7,7,1,6,10,40,77
E02002813,0,1,0,0,0,2,19,41
E02002814,0,0,0,0,1,0,10,24
E02002815,0,0,0,1,6,6,0,0
E02002816,0,0,0,0,2,6,12,34
E02002817,0,0,0,0,0,3,6,10
E02002818,0,0,0,3,2,5,27,35
E02002819,0,16,10,4,1,0,15,13
E02002820,0,1,3,1,0,0,0,0
E02002821,0,0,1,0,3,6,24,34
E02002822,0,0,0,0,1,0,3,5
E02002823,0,1,0,3,5,5,5,9
E02002824,0,0,0,0,0,2,5,15
E02002825,1,2,3,2,3,8,18,57
E02002826,0,0,0,0,0,0,0,0
E02002827,0,0,0,0,0,0,14,13
E02002828,0,1,0,3,4,2,0,0
E02002829,0,1,2,4,3,9,19,39
E02002830,0,6,1,1,4,5,7,7
E02002831,0,2,0,2,1,5,21,21
E02002832,0,0,2,1,7,6,14,32
E02002833,0,0,0,0,0,0,0,0
E02002834,0,141,1,0,0,0,0,0
E02002836,0,0,0,0,0,0,0,0
E02002837,0,1,0,0,6,0,0,0
E02002838,0,0,0,0,3,4,6,17
E02002839,0,0,0,0,3,4,8,16
E02002842,0,183,2,2,0,0,0,0
E02002843,0,0,0,0,1,2,1,1
E02002844,0,0,4,5,1,0,1,0
E02002845,1,3,1,0,10,12,18,24
E02002846,0,0,0,0,3,10,17,38
E02002847,0,0,5,1,4,2,0,0
E02002848,0,1,2,3,3,0,0,0
E02002849,2,797,25,11,9,8,20,38
E02002851,0,0,0,0,2,2,18,28
E02002852,0,0,0,2,0,0,0,0
E02002853,0,40,10,2,10,5,3,1
E02002854,0,0,2,5,5,9,15,34
E02002855,2,207,16,1,2,2,0,0
E02002856,0,0,2,6,27,11,27,47
E02002857,0,3,3,2,13,9,5,2
E02002858,0,0,3,0,5,6,17,39
E02002860,0,18,3,1,1,11,18,46
E02002861,0,0,0,2,10,4,2,1
E02002862,0,0,2,0,5,4,11,12
E02002863,0,59,34,13,1,1,4,3
E02002864,0,0,0,1,0,4,12,27
E02002865,76,85,5,10,7,2,3,9
E02002866,0,0,0,0,1,2,12,30
E02002867,130,163,13,11,6,4,19,36
E02002868,0,0,0,0,0,0,0,0
E02002869,0,0,0,0,0,1,7,25
E02002871,0,1,3,4,4,11,14,28
E02002872,0,0,0,0,0,3,5,15
E02002873,0,0,6,6,7,2,9,4
E02002874,0,4,1,4,2,2,6,18
E02002875,0,0,5,5,1,2,2,8
E02002876,0,103,0,2,0,0,0,0
E02002877,0,0,1,1,5,6,8,27
E02002878,0,0,0,2,2,0,0,0
E02002879,0,88,0,2,4,4,1,0
E02002880,0,0,0,0,0,0,0,0
E02002881,0,0,0,0,2,6,16,29
E02002882,74,154,7,9,10,9,23,48
E02002883,0,0,3,3,10,1,9,2
E02002884,0,0,3,1,20,12,18,13
E02002885,0,3,0,0,4,1,0,0
E02002886,0,0,0,0,0,0,0,0
E02002887,0,0,0,0,1,9,23,46
E02002888,0,0,0,0,0,0,0,0
E02002889,1,2196,56,5,14,10,4,2
E02002890,0,1620,32,4,4,2,9,13
E02002891,0,0,0,1,0,1,3,11
E02002892,0,0,0,2,2,0,1,0
E02002893,0,1478,55,8,0,0,0,0
E02002895,0,347,38,3,0,0,0,0
E02002896,0,1,2,3,0,4,0,0
E02002897,0,0,0,0,0,0,0,0
E02002898,3,196,14,3,2,2,0,0
E02002901,0,0,0,0,0,5,10,39
E02002902,0,580,5,0,0,2,1,15
E02002903,0,0,0,0,0,0,0,0
E02002904,0,0,0,0,0,2,4,21
E02004029,0,6,2,9,11,6,2,0
E02004030,1,2,0,0,1,2,8,16
E02004031,0,0,3,3,9,6,12,27
E02004032,0,0,0,0,0,1,3,12
E02004033,0,0,0,0,13,9,32,57
E02004034,0,0,0,0,4,8,8,13
E02004035,2,7,0,0,0,3,5,11
E02004036,0,0,0,0,1,3,2,0
E02004037,0,0,0,0,0,0,0,0
E02004038,0,0,0,0,0,6,28,66
E02004039,1,0,0,2,0,0,8,31
E02004040,0,0,0,2,3,5,10,21
E02004041,1,1,0,0,3,4,19,27
E02004043,0,0,0,0,0,8,4,10
E02004044,0,1,6,0,0,1,8,36
E02004045,0,0,0,0,3,9,11,19
E02004046,0,0,3,2,5,0,4,5
E02004047,0,0,3,7,13,11,19,17
E02004048,0,0,0,0,1,2,4,8
E02004049,0,0,1,3,7,10,13,17
E02004050,0,0,0,0,0,3,10,22
E02004051,0,1,1,2,0,3,20,12
E02004052,0,0,0,0,0,2,8,26
E02004053,0,0,0,1,11,5,2,0
E02004054,0,0,0,0,0,6,8,23
E02004055,0,0,0,0,7,18,15,12
E02004056,0,10,8,4,5,8,13,16
E02004057,0,0,1,4,17,3,0,0
E02004058,0,0,0,0,1,0,5,14
E02004059,0,0,0,5,4,4,18,38
E02004060,0,2,0,5,11,1,4,11
E02004061,1,1,0,0,0,4,10,27
E02004062,0,0,0,0,0,0,5,4
E02004063,0,4,1,1,3,5,10,32
E02004064,0,0,1,3,2,5,20,28
E02004065,0,2,1,3,4,0,7,23
E02004066,0,4,9,4,1,7,21,64
E02004067,0,0,0,0,0,0,0,0
E02004068,0,0,0,0,0,0,4,20
E02004069,6,10,0,0,2,0,3,10
E02004072,0,2,4,4,2,7,17,54
E02004073,2,0,0,1,3,3,18,32
E02004074,0,0,1,0,0,0,0,0
E02004075,0,0,1,0,3,0,1,13
E02004076,0,0,0,0,0,0,12,43
E02004077,17,19,5,5,3,0,0,0
E02004078,0,0,0,0,0,0,0,5
E02004080,0,2,6,4,5,7,14,31
E02004081,0,0,0,0,8,5,3,1
E02004082,0,0,3,2,1,8,31,50
E02004083,0,0,0,0,4,3,0,0
E02004084,0,0,0,0,0,1,6,13
E02004085,0,2,0,2,2,6,18,56
E02004086,2,4,2,1,4,0,0,14
E02004087,0,0,1,0,4,1,4,9
E02004088,5,30,4,3,0,7,7,16
E02004089,0,8,5,3,2,0,0,1
E02004090,0,0,0,0,0,1,6,10
E02004091,0,0,0,0,0,1,4,8
E02004092,0,0,0,0,0,0,0,0
E02004093,10,5,0,0,0,2,6,8
E02004094,0,0,0,0,1,2,10,29
E02004095,0,0,1,0,3,1,9,10
E02004096,0,0,0,0,0,3,10,20
E02004097,0,0,0,0,0,0,8,12
E02004098,0,1,3,7,1,0,4,5
E02004100,0,0,1,3,0,1,8,21
E02004102,0,26,1,3,3,4,31,69
E02004103,0,0,0,0,2,0,9,19
E02004104,7,2,1,0,0,0,0,0
E02004105,0,0,0,0,2,1,14,22
E02004106,0,0,0,0,0,0,0,0
E02004108,0,0,2,0,1,1,18,52
E02004109,0,0,0,0,0,0,6,23
E02004110,0,0,0,0,0,0,0,0
E02004111,0,0,0,1,5,2,3,1
