Name,Violence against the person,Sexual offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Summary offences,Offence not recorded,area,msoa
Foston Hall,107,11,14,13,9,5,7,16,6,E00100526,E02004118
Gartree,557,*,6,*,*,*,*,3,*,E00187479,E02005373
Leicester,70,14,13,78,9,*,21,20,7,E00068911,E02006850
Lincoln,144,75,15,147,38,23,45,50,*,E00173653,E02005444
Lowdham Grange,567,*,14,74,29,6,*,8,*,E00173435,E02005905
North Sea Camp,76,177,4,16,*,*,8,*,*,E00185354,E02005417
Nottingham,209,85,39,184,59,21,45,58,*,E00173486,E02002874
Onley,211,3,9,232,47,4,17,5,*,E00169204,E02005621
Ranby,312,*,16,207,48,18,26,45,*,E00142851,E02005837
Rye Hill,27,579,*,*,*,*,*,3,*,E00169203,E02005621
Stocken,362,*,22,226,52,*,26,*,*,E00172628,E02002863
Sudbury,179,*,14,203,25,*,10,*,*,E00174335,E02004077
Whatton,56,686,5,*,*,*,31,13,1,E00144559,E02005906
