Prison,Predominant Function,Designation,Postcode,area,msoa,total communal residents,other_prison_service
Five Wells,Cat C,Dual Designated Prison,NN82NH,E00139142,E02005697,0,0.0
Fosse Way,Cat C,Dual Designated Prison,LE184TN,E00170633,E02005340,0,0.0
Foston Hall,Female,Dual Designated Prison,DE655DN,E00100526,E02004118,172,172.0
Gartree,Cat B,Prison,LE167RP,E00187479,E02005373,621,621.0
Leicester,Reception,Prison,LE27AJ,E00068911,E02006850,147,147.0
Lincoln,Reception,Dual Designated Prison,LN24BD,E00173653,E02005444,365,364.0
Lowdham Grange,Cat B,Prison,NG147DA,E00173435,E02005905,872,872.0
Morton Hall,Cat C,Prison,LN69PT,E00132997,E02005455,69,69.0
North Sea Camp,Open,Prison,PE220QX,E00185354,E02005417,332,332.0
Nottingham,Reception,Dual Designated Prison,NG53AG,E00173486,E02002874,520,519.0
Onley,Cat C,Prison,CV238AP,E00169204,E02005621,654,1297.0
Ranby,Cat C,Prison,DN228EU0,E00142851,E02005837,919,897.0
Rye Hill,Cat B,Prison,CV238SZ,E00169203,E02005621,650,1297.0
Stocken,Cat C,Prison,LE157RD,E00172628,E02002863,1008,1008.0
Sudbury,Open,Dual Designated Prison,DE65HW,E00174335,E02004077,455,455.0
Whatton,Cat C,Prison,NG139FQ,E00144559,E02005906,818,788.0
