area,household residents,communal residents,msoa
E00078837,333,0,E02003240
E00078838,368,0,E02003240
E00078839,378,0,E02003240
E00078840,190,0,E02003240
E00078841,261,0,E02003240
E00078842,448,0,E02003240
E00078843,442,0,E02003240
E00078844,359,0,E02003240
E00078845,140,5,E02003240
E00078846,272,0,E02003240
E00078847,314,0,E02003240
E00078848,399,0,E02003245
E00078849,163,0,E02003247
E00078850,398,0,E02003247
E00078851,343,0,E02003247
E00078852,315,0,E02003245
E00078853,339,0,E02003245
E00078854,288,0,E02003245
E00078855,220,0,E02003245
E00078856,408,0,E02003245
E00078857,237,0,E02003247
E00078858,444,0,E02003245
E00078859,243,0,E02003247
E00078860,242,0,E02003247
E00078861,294,0,E02003247
E00078862,333,0,E02003245
E00078863,274,0,E02003245
E00078864,253,0,E02003247
E00078865,344,0,E02003247
E00078866,276,0,E02003247
E00078867,388,0,E02003247
E00078868,377,0,E02003247
E00078869,424,0,E02003247
E00078870,373,0,E02003245
E00078871,298,6,E02003247
E00078872,312,96,E02003247
E00078873,500,0,E02003247
E00078874,271,66,E02003247
E00078875,501,0,E02003247
E00078876,335,0,E02003247
E00078877,392,0,E02003247
E00078878,326,0,E02003247
E00078879,304,0,E02003247
E00078880,337,0,E02003251
E00078881,220,5,E02003251
E00078882,307,0,E02003247
E00078883,376,0,E02003247
E00078884,358,0,E02003251
E00078885,286,0,E02003251
E00078886,385,0,E02003247
E00078887,391,0,E02003247
E00078888,289,0,E02003251
E00078889,544,0,E02003250
E00078892,472,5,E02003250
E00078893,508,0,E02003250
E00078894,310,0,E02003250
E00078896,624,0,E02003250
E00078898,315,0,E02003246
E00078899,548,0,E02003246
E00078900,442,0,E02003246
E00078901,608,0,E02003246
E00078902,618,0,E02003246
E00078903,520,0,E02003246
E00078904,556,0,E02003246
E00078905,506,0,E02003246
E00078906,401,0,E02003246
E00078907,531,0,E02003248
E00078909,519,0,E02003250
E00078910,476,0,E02003248
E00078911,620,0,E02003248
E00078912,416,2,E02003250
E00078913,363,11,E02003250
E00078914,365,0,E02003250
E00078915,398,0,E02003244
E00078916,429,0,E02003244
E00078917,408,0,E02003244
E00078918,388,0,E02003243
E00078919,557,0,E02003243
E00078920,293,0,E02003243
E00078921,321,0,E02003243
E00078922,256,0,E02003243
E00078923,323,0,E02003243
E00078924,357,0,E02003243
E00078925,304,0,E02003244
E00078926,272,0,E02003244
E00078927,361,0,E02003244
E00078928,346,0,E02003243
E00078929,502,0,E02003244
E00078930,494,0,E02003243
E00078931,275,0,E02003249
E00078932,377,0,E02003249
E00078933,381,0,E02003243
E00078934,367,0,E02003244
E00078935,377,0,E02003244
E00078936,344,0,E02003244
E00078937,337,0,E02003244
E00078938,446,0,E02003249
E00078939,409,0,E02003244
E00078940,323,0,E02003249
E00078941,382,0,E02003244
E00078942,354,0,E02003244
E00078943,262,0,E02003244
E00078944,443,0,E02003249
E00078945,388,0,E02003249
E00078946,420,0,E02003249
E00078948,323,1,E02003249
E00078949,432,0,E02003249
E00078950,500,0,E02003249
E00078951,351,0,E02003249
E00078952,467,0,E02003249
E00078953,322,0,E02003249
E00078954,447,0,E02003249
E00078955,374,19,E02003250
E00078956,389,0,E02003249
E00078957,597,0,E02003249
E00078958,463,0,E02003250
E00078959,397,0,E02003250
E00078960,406,21,E02003250
E00078961,481,0,E02003250
E00078962,356,1,E02003250
E00078963,362,31,E02003249
E00078964,360,0,E02003249
E00078965,371,0,E02003249
E00078967,209,0,E02003249
E00078968,404,0,E02003249
E00078969,425,0,E02003249
E00078970,357,0,E02003249
E00078971,192,0,E02003249
E00078972,365,11,E02003249
E00078974,338,0,E02003249
E00078975,191,0,E02003249
E00078976,275,0,E02003241
E00078977,355,0,E02003241
E00078978,232,0,E02003241
E00078979,494,0,E02003241
E00078980,238,0,E02003241
E00078981,319,0,E02003241
E00078982,523,0,E02003241
E00078983,431,0,E02003241
E00078984,370,0,E02003241
E00078985,355,0,E02003241
E00078987,505,0,E02003241
E00078988,383,6,E02003241
E00078989,277,0,E02003241
E00078990,434,0,E02003241
E00078991,455,0,E02003241
E00078992,282,0,E02003241
E00078993,434,0,E02003241
E00078994,252,0,E02003253
E00078995,188,9,E02003253
E00078996,307,0,E02003253
E00078997,356,0,E02003253
E00078998,347,0,E02003253
E00078999,592,0,E02003252
E00079000,421,0,E02003252
E00079001,344,0,E02003253
E00079003,232,6,E02003253
E00079004,358,0,E02003252
E00079005,282,0,E02003252
E00079006,364,0,E02003253
E00079007,276,0,E02003253
E00079008,219,0,E02003253
E00079009,222,0,E02003253
E00079010,249,0,E02003252
E00079011,276,0,E02003252
E00079012,260,0,E02003253
E00079013,545,0,E02003253
E00079014,293,0,E02003253
E00079015,315,0,E02003252
E00079017,312,0,E02003252
E00079018,309,0,E02003253
E00079019,286,0,E02003252
E00079020,560,0,E02003252
E00079021,554,5,E02003252
E00079022,356,0,E02003253
E00079024,382,0,E02003254
E00079025,222,0,E02003254
E00079026,277,0,E02003254
E00079027,267,0,E02003254
E00079028,313,0,E02003254
E00079029,347,1,E02003237
E00079030,308,0,E02003237
E00079031,370,0,E02003237
E00079032,375,15,E02003237
E00079033,327,0,E02003237
E00079034,144,0,E02003254
E00079035,189,0,E02003254
E00079036,177,0,E02003240
E00079037,354,0,E02003240
E00079038,152,0,E02003240
E00079040,349,0,E02003240
E00079042,306,0,E02003240
E00079043,344,0,E02003240
E00079044,352,0,E02003240
E00079045,123,0,E02003239
E00079047,541,7,E02003239
E00079048,390,0,E02003239
E00079049,243,0,E02003239
E00079050,115,0,E02003239
E00079051,277,0,E02003239
E00079052,286,0,E02003239
E00079053,490,0,E02003239
E00079054,357,0,E02003246
E00079055,401,0,E02003246
E00079056,239,0,E02003244
E00079057,357,0,E02003244
E00079058,191,0,E02003244
E00079059,281,0,E02003244
E00079060,392,0,E02003244
E00079061,359,0,E02003244
E00079062,484,13,E02003244
E00079063,418,0,E02003244
E00079064,366,0,E02003244
E00079065,358,0,E02003244
E00079066,326,1,E02003246
E00079067,302,0,E02003246
E00079068,358,0,E02003246
E00079069,328,0,E02003244
E00079070,268,0,E02003246
E00079071,423,0,E02003244
E00079072,319,0,E02003244
E00079073,526,24,E02003237
E00079074,137,0,E02003237
E00079075,372,0,E02003237
E00079076,304,0,E02003237
E00079077,300,0,E02003237
E00079078,314,0,E02003237
E00079079,298,0,E02003237
E00079080,424,0,E02003237
E00079081,433,0,E02006877
E00079082,372,1,E02003257
E00079083,400,0,E02003257
E00079084,339,0,E02006877
E00079085,318,92,E02006877
E00079086,361,0,E02003257
E00079087,261,0,E02003257
E00079088,169,0,E02006877
E00079089,250,0,E02003257
E00079090,354,0,E02003257
E00079091,388,4,E02003257
E00079092,255,0,E02003257
E00079093,231,0,E02003257
E00079094,303,0,E02003257
E00079095,352,0,E02003257
E00079096,363,0,E02003257
E00079097,363,0,E02003257
E00079098,330,0,E02003257
E00079099,332,0,E02003257
E00079100,349,0,E02006878
E00079101,288,0,E02003257
E00079102,378,0,E02006878
E00079103,351,0,E02003257
E00079104,258,0,E02006878
E00079105,296,0,E02006878
E00079106,275,0,E02003257
E00079107,269,0,E02006877
E00079108,366,0,E02003257
E00079109,300,0,E02003257
E00079110,166,0,E02006878
E00079111,377,3,E02003257
E00079112,502,0,E02003257
E00079113,341,0,E02003257
E00079114,232,0,E02003257
E00079115,325,0,E02003254
E00079116,284,0,E02003254
E00079117,202,0,E02003254
E00079118,316,0,E02003254
E00079119,393,0,E02003254
E00079120,322,4,E02003254
E00079121,272,0,E02003254
E00079122,255,0,E02003254
E00079123,257,0,E02003254
E00079125,201,0,E02003254
E00079126,269,0,E02003254
E00079127,407,0,E02003254
E00079128,167,0,E02003257
E00079129,430,0,E02003257
E00079130,375,0,E02003257
E00079131,252,0,E02003257
E00079132,441,0,E02003257
E00079133,295,0,E02003254
E00079134,262,0,E02003254
E00079135,289,0,E02003254
E00079136,251,0,E02003254
E00079137,173,0,E02003254
E00079138,283,0,E02003254
E00079139,216,0,E02003254
E00079140,338,0,E02003254
E00079141,292,0,E02003254
E00079142,288,0,E02003254
E00079145,135,0,E02006877
E00079146,380,0,E02006877
E00079147,278,1,E02006877
E00079148,287,0,E02006877
E00079149,304,0,E02006877
E00079151,300,4,E02006877
E00079152,249,0,E02006877
E00079153,324,0,E02006877
E00079154,458,54,E02003250
E00079155,266,0,E02003250
E00079156,264,0,E02003248
E00079157,390,0,E02003250
E00079158,351,0,E02003250
E00079159,348,0,E02003250
E00079160,345,0,E02003250
E00079161,401,0,E02003248
E00079162,541,0,E02003248
E00079163,489,0,E02003248
E00079164,406,0,E02003248
E00079165,478,0,E02003248
E00079166,477,0,E02003248
E00079167,420,0,E02003248
E00079168,440,0,E02003248
E00079169,489,0,E02003248
E00079170,440,33,E02003248
E00079171,428,0,E02003248
E00079172,304,59,E02003248
E00079173,421,0,E02003248
E00079174,475,0,E02003248
E00079175,404,0,E02003248
E00079177,278,59,E02003248
E00079178,254,0,E02003248
E00079179,491,0,E02003248
E00079180,511,0,E02003248
E00079181,263,0,E02003243
E00079182,282,0,E02003239
E00079183,263,0,E02003243
E00079185,319,0,E02003243
E00079186,320,0,E02003243
E00079187,468,0,E02003243
E00079188,444,0,E02003243
E00079189,396,0,E02003243
E00079190,205,0,E02003239
E00079191,339,0,E02003239
E00079192,238,0,E02003239
E00079193,268,0,E02003239
E00079194,261,1,E02003243
E00079195,265,0,E02003239
E00079196,233,0,E02003243
E00079197,284,0,E02003243
E00079198,299,0,E02003243
E00079199,298,0,E02003243
E00079200,319,0,E02003239
E00079201,326,1,E02003243
E00079202,257,0,E02003243
E00079203,245,0,E02003243
E00079204,293,0,E02003243
E00079205,448,0,E02003243
E00079206,269,0,E02003243
E00079207,266,9,E02003243
E00079208,478,0,E02003243
E00079209,324,0,E02003246
E00079210,310,0,E02003245
E00079211,321,0,E02003245
E00079212,355,0,E02003245
E00079213,315,0,E02003245
E00079214,380,0,E02003245
E00079215,324,0,E02003245
E00079216,335,0,E02003245
E00079217,215,0,E02003245
E00079218,294,0,E02003245
E00079219,432,0,E02003245
E00079220,371,0,E02003252
E00079221,503,0,E02003252
E00079222,446,0,E02003252
E00079223,522,0,E02003252
E00079224,309,0,E02003246
E00079226,334,0,E02003246
E00079227,461,3,E02003245
E00079228,333,0,E02003245
E00079229,329,0,E02003246
E00079230,398,0,E02003245
E00079231,378,0,E02003245
E00079232,262,0,E02003255
E00079233,314,0,E02003255
E00079234,306,0,E02003255
E00079236,411,0,E02003255
E00079237,236,1,E02003255
E00079238,273,0,E02003253
E00079239,309,0,E02003255
E00079240,264,0,E02003255
E00079241,298,0,E02003255
E00079243,253,0,E02003255
E00079244,308,2,E02003253
E00079245,242,0,E02003255
E00079246,295,0,E02003255
E00079247,312,0,E02003255
E00079248,312,0,E02003255
E00079249,263,0,E02003255
E00079250,279,0,E02003255
E00079251,324,0,E02003255
E00079252,280,0,E02003255
E00079253,315,0,E02003255
E00079254,270,0,E02003253
E00079255,351,33,E02003253
E00079256,209,0,E02003253
E00079257,315,0,E02003255
E00079258,301,0,E02003253
E00079259,381,0,E02003253
E00079260,332,0,E02003253
E00079261,336,0,E02003253
E00079262,405,0,E02003255
E00079263,341,0,E02003255
E00079264,218,0,E02003255
E00079265,362,0,E02003255
E00079266,335,0,E02003255
E00079267,202,0,E02003255
E00079268,402,0,E02003255
E00079269,197,0,E02003255
E00079270,257,0,E02003255
E00079271,320,0,E02003255
E00079272,291,1,E02003242
E00079274,279,0,E02003242
E00079275,392,1,E02003246
E00079276,352,0,E02003242
E00079277,243,0,E02003246
E00079278,290,0,E02003246
E00079279,259,0,E02003246
E00079280,366,66,E02003242
E00079281,281,0,E02003242
E00079282,322,0,E02003242
E00079283,315,0,E02003242
E00079284,268,0,E02003242
E00079285,337,0,E02003242
E00079286,344,1,E02003242
E00079287,289,0,E02003242
E00079288,260,0,E02003242
E00079289,333,0,E02003242
E00079290,385,0,E02003242
E00079291,238,0,E02003238
E00079292,294,0,E02003238
E00079293,252,0,E02003238
E00079294,290,9,E02003237
E00079295,227,0,E02003238
E00079296,315,0,E02003238
E00079297,222,0,E02003237
E00079298,331,0,E02003237
E00079299,312,0,E02003238
E00079300,291,0,E02003237
E00079301,162,0,E02003238
E00079302,408,0,E02003238
E00079303,302,0,E02003238
E00079304,334,0,E02003237
E00079305,234,0,E02003237
E00079306,329,0,E02003238
E00079307,188,0,E02003238
E00079308,345,0,E02003238
E00079309,362,0,E02003238
E00079310,285,0,E02003238
E00079311,393,0,E02003238
E00079312,334,0,E02003238
E00079313,259,0,E02003238
E00079314,227,0,E02003238
E00079315,237,0,E02003238
E00079316,268,0,E02003238
E00079317,450,0,E02003239
E00079318,259,0,E02003242
E00079319,219,0,E02003242
E00079320,291,0,E02003242
E00079321,292,0,E02003242
E00079322,162,0,E02003242
E00079323,220,0,E02003239
E00079324,282,0,E02003239
E00079325,362,0,E02003239
E00079326,269,40,E02003239
E00079327,341,0,E02003239
E00079328,282,0,E02003242
E00079329,261,0,E02003239
E00079330,114,0,E02003242
E00079331,319,0,E02003242
E00079332,276,0,E02003242
E00079333,218,0,E02003239
E00079334,262,0,E02003242
E00079335,235,0,E02003242
E00079336,271,0,E02003242
E00079337,253,0,E02003239
E00079338,289,0,E02003242
E00079339,238,0,E02003239
E00079341,382,0,E02003251
E00079342,289,0,E02003251
E00079343,309,0,E02003251
E00079344,294,0,E02003252
E00079345,305,0,E02003251
E00079346,283,0,E02003251
E00079347,391,1,E02003252
E00079348,262,0,E02003251
E00079349,332,0,E02003251
E00079350,333,0,E02003251
E00079351,304,0,E02003251
E00079352,291,16,E02003252
E00079353,287,0,E02003251
E00079354,274,44,E02003251
E00079355,300,113,E02003251
E00079356,344,0,E02003251
E00079357,442,0,E02003251
E00079359,371,4,E02003252
E00079360,367,0,E02003251
E00079361,317,0,E02003251
E00079362,407,1,E02003252
E00079363,507,0,E02003252
E00079364,324,0,E02003251
E00079365,395,0,E02003252
E00079367,333,0,E02003264
E00079368,370,0,E02003264
E00079369,482,0,E02003264
E00079370,395,0,E02003264
E00079371,483,0,E02003264
E00079372,490,0,E02003264
E00079373,427,0,E02003264
E00079374,451,0,E02003264
E00079375,314,0,E02003264
E00079376,369,29,E02003264
E00079377,308,0,E02003264
E00079378,327,0,E02003264
E00079379,350,0,E02003264
E00079380,344,0,E02003264
E00079381,379,0,E02003264
E00079382,411,0,E02003264
E00079383,343,0,E02003264
E00079384,363,10,E02003264
E00079385,444,0,E02003264
E00079386,393,0,E02003264
E00079387,385,0,E02003264
E00079388,560,0,E02003267
E00079389,538,30,E02003272
E00079390,338,88,E02003274
E00079392,405,0,E02003274
E00079393,482,0,E02003274
E00079395,405,12,E02003267
E00079397,307,0,E02003267
E00079398,524,0,E02003267
E00079400,571,18,E02003274
E00079401,447,1,E02003272
E00079402,512,0,E02003272
E00079403,317,0,E02003267
E00079404,406,0,E02003267
E00079405,204,0,E02003274
E00079406,593,0,E02003272
E00079407,393,51,E02003274
E00079408,220,0,E02003274
E00079409,305,47,E02003274
E00079410,298,0,E02003274
E00079411,455,0,E02003274
E00079412,477,0,E02003274
E00079413,571,0,E02003274
E00079414,489,0,E02003274
E00079415,539,0,E02003274
E00079416,258,0,E02003267
E00079417,579,0,E02003267
E00079418,495,0,E02003267
E00079419,414,0,E02003267
