Name,Remand,Sentenced,Non-criminal,area,msoa
Bedford,213,144,10,E00183502,E02003625
Bure,*,612,3,E00169872,E02005581
Chelmsford,409,260,10,E00109852,E02006978
Highpoint (North and South),*,1244,9,E00169948,E02006283
Hollesley Bay,*,392,*,E00173886,E02006293
Littlehey,*,1166,6,E00173794,E02003769
Mount,*,1020,8,E00189378,E02004876
Norwich,232,470,9,E00187940,E02005587
Peterborough (Female),88,226,3,E00187639,E02003246
Peterborough (Male),345,476,12,E00187639,E02003246
Warren Hill,*,257,*,E00173886,E02006293
Wayland,*,889,*,E00169902,E02005512
Whitemoor,*,306,1,E00187623,E02003746
