Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Bedford,53,61,21,*,210,16,*,E00183502,E02003625
Bure,28,45,20,11,504,*,*,E00169872,E02005581
Chelmsford,26,97,36,*,510,1,*,E00109852,E02006978
Highpoint (North and South),117,317,82,29,695,2,11,E00169948,E02006283
Hollesley Bay,32,92,30,6,229,*,3,E00173886,E02006293
Littlehey,97,122,27,*,910,*,*,E00173794,E02003769
Mount,132,219,71,27,565,10,4,E00189378,E02004876
Norwich,14,49,28,*,614,2,*,E00187940,E02005587
Peterborough (Female),11,19,16,7,263,1,*,E00187639,E02003246
Peterborough (Male),35,97,53,8,635,2,3,E00187639,E02003246
Warren Hill,*,20,11,*,219,*,*,E00173886,E02006293
Wayland,82,162,54,9,574,5,3,E00169902,E02005512
Whitemoor,31,81,18,*,170,1,*,E00187623,E02003746
