msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02003237,0,0,0,0,0,3,4,1
E02003238,0,0,0,0,0,0,0,0
E02003239,0,0,0,1,6,2,5,0
E02003240,0,68,95,29,20,3,0,0
E02003241,0,6,0,0,0,0,0,0
E02003242,0,0,0,0,0,5,9,10
E02003243,0,0,0,1,4,0,1,0
E02003244,0,0,1,5,4,0,0,0
E02003245,0,0,0,0,0,0,0,0
E02003246,0,106,177,139,44,6,2,1
E02003247,0,8,15,34,30,13,9,4
E02003248,4,36,0,0,4,3,12,11
E02003249,0,0,0,5,7,5,2,3
E02003250,0,13,16,14,4,7,8,5
E02003251,0,1,3,3,2,5,16,19
E02003252,3,1,3,5,8,6,9,8
E02003253,0,0,2,3,6,3,5,4
E02003254,0,0,0,0,0,1,0,0
E02003255,0,0,0,0,0,0,0,0
E02003257,0,0,0,4,1,0,0,0
E02003258,0,0,0,0,0,0,3,2
E02003259,0,0,0,0,0,0,0,0
E02003260,0,0,1,2,2,0,0,0
E02003261,0,0,1,1,3,6,9,12
E02003262,0,0,0,0,2,8,9,6
E02003263,0,3,1,2,13,22,18,14
E02003264,0,0,0,1,3,1,3,2
E02003265,0,0,0,0,0,0,0,0
E02003266,0,0,5,8,2,0,0,1
E02003267,0,0,0,3,1,1,0,0
E02003268,0,1,0,1,11,11,10,5
E02003269,0,0,1,1,0,0,0,0
E02003270,0,12,7,4,4,0,0,0
E02003271,0,0,0,0,0,0,0,0
E02003272,0,3,3,12,3,0,0,0
E02003273,0,0,0,1,1,0,0,0
E02003274,0,10,16,28,19,22,5,8
E02003276,0,2,4,4,13,6,3,1
E02003277,0,1,1,3,2,0,0,0
E02003278,0,107,91,78,43,0,1,0
E02003279,0,0,0,0,1,4,6,12
E02003280,0,0,0,0,2,0,1,0
E02003281,0,0,0,0,1,1,0,5
E02003282,0,0,0,2,3,0,0,3
E02003283,0,0,0,0,1,6,8,5
E02003284,0,0,0,3,13,0,0,0
E02003285,0,3,3,3,10,12,4,2
E02003286,0,0,0,0,0,1,0,3
E02003287,0,0,1,1,4,10,9,4
E02003288,0,1,4,13,10,10,12,4
E02003289,0,0,0,0,0,0,0,7
E02003290,0,10,11,17,47,43,25,42
E02003291,0,0,0,0,2,0,0,0
E02003292,0,23,4,5,10,6,10,8
E02003293,0,88,25,14,21,13,14,18
E02003294,0,0,5,2,8,7,0,0
E02003295,0,0,0,3,9,10,11,11
E02003296,0,0,0,0,0,0,0,0
E02003297,0,0,0,0,1,2,3,1
E02003298,0,0,1,2,0,1,2,4
E02003299,0,0,0,0,0,4,1,3
E02003300,0,0,0,0,0,0,0,0
E02003301,1,1,4,3,1,0,0,1
E02003302,0,0,0,0,3,5,7,4
E02003303,0,1,1,0,0,0,0,0
E02003304,0,0,0,1,4,5,3,0
E02003305,0,0,0,2,1,0,0,0
E02003307,0,0,0,2,3,11,6,13
E02003308,0,0,0,0,1,4,1,1
E02003309,0,0,0,0,0,0,0,0
E02003311,0,2,5,5,8,10,22,16
E02003312,0,0,0,0,0,0,0,0
E02003313,0,0,0,0,3,4,5,4
E02003599,0,0,0,0,0,0,0,0
E02003600,0,3,1,5,2,4,3,8
E02003601,0,0,0,0,1,3,0,2
E02003602,0,20,2,0,1,0,0,0
E02003603,2,1,0,0,1,2,0,5
E02003604,0,0,0,0,4,9,12,5
E02003605,0,267,173,21,1,0,0,0
E02003606,0,0,0,0,0,0,0,0
E02003607,0,0,0,0,0,0,0,3
E02003608,0,0,0,2,7,2,6,6
E02003609,0,91,112,46,7,2,5,5
E02003610,0,0,0,0,0,0,0,0
E02003611,0,10,9,23,12,6,13,9
E02003612,0,0,0,0,0,0,0,0
E02003613,0,0,0,0,3,1,4,7
E02003614,0,0,0,3,0,2,0,0
E02003615,0,3,7,4,12,3,2,4
E02003616,2,1,0,4,0,5,8,8
E02003617,3,4,2,12,27,2,0,1
E02003618,0,0,7,12,6,4,4,2
E02003619,0,0,1,2,11,5,15,8
E02003620,0,2,0,2,6,5,0,4
E02003621,0,0,0,0,3,1,2,3
E02003622,0,0,0,0,0,0,0,0
E02003623,0,1,4,2,4,0,0,0
E02003624,62,218,22,28,31,32,16,12
E02003625,8,72,70,71,36,16,41,43
E02003626,0,0,0,2,0,4,0,0
E02003627,0,24,8,21,15,9,14,19
E02003628,0,3,2,6,12,1,0,0
E02003629,0,0,2,1,0,0,10,10
E02003630,0,0,0,1,5,0,0,0
E02003631,0,0,2,1,0,2,12,2
E02003632,0,1,2,3,4,2,0,0
E02003633,0,0,2,1,4,7,5,1
E02003635,0,0,0,1,0,0,1,0
E02003636,0,0,2,3,7,1,0,0
E02003637,0,0,0,0,4,1,1,0
E02003638,0,0,0,0,5,3,11,13
E02003639,0,0,0,0,0,9,8,8
E02003640,0,0,0,0,0,0,7,5
E02003641,0,0,0,0,0,0,0,0
E02003642,1,0,2,0,2,0,0,0
E02003643,0,0,0,0,0,0,0,0
E02003644,0,1,0,0,2,9,11,7
E02003645,0,1,1,1,11,5,2,10
E02003646,0,0,3,5,4,3,0,0
E02003647,0,1,5,1,0,7,16,9
E02003648,1,8,3,0,1,0,0,0
E02003649,0,0,4,0,0,1,0,0
E02003650,0,0,0,0,1,3,1,0
E02003651,0,0,0,0,2,7,2,6
E02003719,0,0,0,0,3,11,20,26
E02003720,0,20,40,7,6,2,2,2
E02003721,1,20,2,6,9,8,5,26
E02003722,0,47,21,8,1,7,2,12
E02003723,7,2874,546,43,14,6,5,0
E02003724,0,50,10,1,10,0,0,0
E02003725,68,3305,707,74,29,3,1,0
E02003726,0,284,98,16,2,0,0,0
E02003727,0,137,19,4,0,0,2,1
E02003728,0,148,6,2,2,0,1,3
E02003729,0,0,0,0,0,0,0,0
E02003731,7,288,33,0,0,0,1,0
E02003732,0,0,0,4,4,2,8,3
E02003733,0,0,0,0,0,0,4,0
E02003734,0,0,1,0,4,3,9,16
E02003735,37,37,14,21,5,0,0,0
E02003736,1,0,1,0,4,0,0,0
E02003737,1,0,0,2,6,4,2,8
E02003738,0,0,0,0,0,0,0,0
E02003739,0,0,0,7,1,0,0,0
E02003740,0,0,0,3,8,15,16,17
E02003742,4,2,1,6,2,1,1,1
E02003743,0,0,0,1,6,13,24,25
E02003744,1,13,11,18,27,7,14,6
E02003745,4,0,0,0,0,0,0,0
E02003746,0,47,152,157,75,13,2,3
E02003747,2,0,0,1,0,5,12,14
E02003748,0,0,2,4,0,0,0,0
E02003749,0,0,1,0,2,5,13,2
E02003750,0,0,1,2,7,8,14,13
E02003751,3,7,2,9,12,4,5,2
E02003752,0,0,0,2,1,4,7,10
E02003753,0,3,1,3,2,1,1,0
E02003754,0,0,0,0,0,0,0,0
E02003755,0,0,0,0,0,1,1,3
E02003756,2,5,4,1,1,0,1,1
E02003757,0,0,0,0,0,3,10,3
E02003758,0,78,92,34,5,0,3,5
E02003759,0,0,2,1,0,0,3,3
E02003760,0,0,0,0,0,0,0,0
E02003761,0,0,1,1,1,7,11,11
E02003762,0,44,5,5,6,0,0,3
E02003763,0,0,0,0,0,0,0,0
E02003764,0,3,1,7,6,6,6,13
E02003765,0,0,0,0,0,0,6,10
E02003766,0,0,0,0,0,0,3,0
E02003767,3,13,1,0,3,0,0,5
E02003768,0,0,0,2,0,2,7,5
E02003769,0,36,199,300,330,117,73,10
E02003770,0,1,11,3,11,8,2,2
E02003771,0,2,2,2,0,4,1,2
E02003772,0,0,1,0,0,2,4,3
E02003773,0,2,8,3,0,0,0,0
E02003774,0,0,3,1,3,2,18,15
E02003775,0,0,0,1,5,3,0,0
E02003776,2,1,0,0,5,5,7,9
E02003777,0,0,2,0,5,0,5,1
E02003778,0,0,11,18,28,14,1,11
E02003780,0,0,0,2,2,6,14,17
E02003781,0,1,0,0,1,3,0,0
E02003784,0,0,0,0,0,3,6,6
E02003785,0,3,1,7,3,3,3,4
E02003786,0,0,0,0,0,4,6,10
E02003787,0,0,0,0,0,2,1,4
E02003788,0,0,0,0,0,0,0,0
E02003789,0,0,2,0,1,1,5,6
E02003790,0,11,0,1,5,0,4,11
E02003791,0,0,0,0,0,0,0,0
E02003792,14,18,12,2,0,0,3,10
E02003793,0,2,22,43,13,5,1,0
E02004424,0,0,0,0,3,0,2,0
E02004425,0,0,0,0,0,0,0,0
E02004426,0,0,0,0,0,0,2,8
E02004427,0,0,0,0,0,1,0,0
E02004428,0,0,0,0,1,4,9,15
E02004429,2,0,0,0,0,0,0,0
