Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-112951275,2010-10-01,Y,The Abbeyfield East London Extra Care Society Limited,London,Barking and Dagenham,George Brooker House,Dagenham,RM9 6LH,51.537993,0.144212,Dagenham and Rainham,"Strong, Margaret",,,Y,,Y,,,Y,Y,,,3,3,E09000002,E02000014,E00000444,45,43.0,96.0,0.96775,1.0,2.2222,0.00213
1-117294310,2010-11-30,Y,Bennetts Castle Care Centre,London,Barking and Dagenham,244 Bennetts Castle Lane,Dagenham,RM8 3UU,51.552954,0.124619,Barking,"Hollington, Basil",Y,Y,,,Y,,,Y,,,Y,5,5,E09000002,E02006799,E00000123,64,61.0,96.0,0.87922,2.0,2.8384,0.06901
1-119099319,2010-11-16,Y,Hanbury Court Care Home,London,Barking and Dagenham,Dagmar Road,Dagenham,RM10 8XP,51.539276,0.168816,Dagenham and Rainham,"Zeta, Zeta",Y,Y,,,,,,Y,,,,4,4,E09000002,E02000011,E00000527,42,30.0,71.0,0.89668,4.0,9.5979,0.11709
1-119703070,2011-01-18,Y,Ridley Community Project,London,Barking and Dagenham,49 Ridley Close,Barking,IG11 9PJ,51.54003,0.099213,Barking,*,,,Y,,,,Y,,,,,3,3,E09000002,E02000012,E00185806,3,3.0,100.0,0.99897,0.0,0.0,0.00074
1-124583481,2011-03-03,Y,Outlook Care - Dagenham Road,London,Barking and Dagenham,357a - 359 Dagenham Road,Romford,RM7 0XX,51.557816,0.176306,Dagenham and Rainham,*,,,Y,,,,Y,Y,,,Y,3,3,E09000002,E02000004,E00000194,8,7.0,88.0,0.993,1.0,12.5,0.00428
1-125861732,2011-02-15,Y,Park View,London,Barking and Dagenham,1-2 Morland Road,Dagenham,RM10 9HW,51.535561,0.152273,Dagenham and Rainham,"O'Reilly, Michael",Y,Y,,,Y,,,Y,,,Y,3,3,E09000002,E02000021,E00000424,108,106.0,98.0,0.97974,2.0,1.8519,0.02006
1-142472420,2011-01-12,Y,Kallar Lodge Residential Care Home,London,Barking and Dagenham,75 Gregory Road,Romford,RM6 5RU,51.582503,0.128639,Dagenham and Rainham,"Liebrecht, Stephan",,,Y,,Y,,,Y,,,,3,3,E09000002,E02000002,E00000166,44,29.0,66.0,0.92652,4.0,9.0909,0.07082
1-142472435,2011-01-12,Y,Gascoigne Road Care Home,London,Barking and Dagenham,80 Gascoigne Road,Barking,IG11 7LQ,51.53216,0.079701,Barking,"Liebrecht, Stephan",,,Y,,,Y,,,Y,Y,Y,2,2,E09000002,E02000022,E00185671,12,11.0,92.0,0.76382,1.0,11.7851,0.04249
1-164893164,2011-01-25,Y,Sahara Parkside,London,Barking and Dagenham,101-113 Longbridge Road,Barking,IG11 8TA,51.542332,0.085113,Barking,"Bye, Sharon",,,Y,,,Y,Y,Y,Y,Y,Y,6,6,E09000002,E02000017,E00000041,30,12.0,42.0,0.98486,5.0,15.741,0.01742
1-1884064402,2015-03-31,Y,Faircross 102,London,Barking and Dagenham,102 Faircross Avenue,Barking,IG11 8QZ,51.54317,0.080436,Barking,*,,,Y,,,Y,,,,,,3,3,E09000002,E02000017,E00000066,3,3.0,100.0,0.98734,0.0,0.0,0.01408
1-2891456486,2016-11-23,Y,Chestnut Court Care Home,London,Barking and Dagenham,Frizlands Lane,Dagenham,RM10 7YD,51.551561,0.155134,Dagenham and Rainham,"Walsh, Paul",Y,Y,,,Y,,,Y,,,,2,2,E09000002,E02000007,E00000326,62,60.0,96.0,0.83801,1.0,1.1405,0.22545
1-3153731434,2017-01-31,Y,Chaseview Care Home,London,Barking and Dagenham,Off Dagenham Road,Romford,RM7 0XY,51.559051,0.17661,Dagenham and Rainham,"Hall, Antony",Y,Y,,,Y,,,Y,,,Y,6,6,E09000002,E02000004,E00000195,120,97.0,81.0,0.90275,9.0,7.7534,0.08498
1-320058309,2011-11-03,Y,Cloud House,London,Barking and Dagenham,50A Roycraft Avenue,Barking,IG11 0NU,51.528802,0.099518,Barking,"Singh, Jagjeet",,,Y,,,Y,Y,Y,,,Y,5,5,E09000002,E02000023,E00000465,10,7.0,66.0,0.97819,2.0,23.0217,0.04653
1-3224519865,2017-01-12,Y,Faircross Care Home London Limited,London,Barking and Dagenham,100 Faircross Avenue,Barking,IG11 8QZ,51.54317,0.080436,Barking,"Kaur, Davinder",,,Y,,,Y,,,,,,4,4,E09000002,E02000017,E00000066,5,4.0,85.0,0.99349,1.0,19.1485,0.00682
1-3977761030,2017-07-10,Y,Alexander Court Care Centre,London,Barking and Dagenham,320 Rainham Road South,Dagenham,RM10 7UU,51.550591,0.161911,Dagenham and Rainham,"Goldstein, Alan",Y,Y,,,Y,,,Y,,,,7,7,E09000002,E02000011,E00000173,82,74.0,91.0,0.95785,4.0,4.2745,0.03033
1-4544366730,2017-11-24,Y,Valentines Way,London,Barking and Dagenham,50 Valentines Way,Romford,RM7 0YH,51.557825,0.179711,Dagenham and Rainham,*,,,Y,,,Y,,,,,Y,2,2,E09000002,E02000004,E00000194,4,4.0,88.0,0.844,1.0,17.6777,0.21795
