area,household residents,communal residents,msoa
E00000001,176,0,E02000001
E00000003,256,0,E02000001
E00000005,112,0,E02000001
E00000007,144,0,E02000001
E00000010,178,0,E02000001
E00000013,249,0,E02000001
E00000018,248,0,E02000001
E00000019,371,0,E02000001
E00000020,200,0,E02000001
E00000021,350,0,E02000001
E00000022,220,0,E02000001
E00000023,210,0,E02000001
E00000024,260,108,E02000001
E00000025,333,0,E02000001
E00000028,221,0,E02000001
E00000029,234,52,E02000001
E00000030,307,2,E02000001
E00000031,149,0,E02000001
E00000032,356,0,E02000001
E00000037,309,2,E02000017
E00000038,414,0,E02000017
E00000039,374,0,E02000016
E00000040,373,0,E02000016
E00000041,296,18,E02000017
E00000042,214,0,E02000017
E00000043,332,0,E02000016
E00000045,316,0,E02000016
E00000046,351,0,E02000016
E00000048,497,0,E02000016
E00000049,399,0,E02000017
E00000050,509,0,E02000016
E00000051,539,0,E02000017
E00000052,439,0,E02000016
E00000053,458,0,E02000017
E00000054,426,0,E02000017
E00000055,466,0,E02000017
E00000056,456,0,E02000016
E00000057,403,0,E02000016
E00000059,252,0,E02000017
E00000060,268,0,E02000017
E00000061,278,0,E02000016
E00000063,303,0,E02000016
E00000064,338,0,E02000017
E00000066,576,10,E02000017
E00000067,349,2,E02000016
E00000068,362,1,E02000017
E00000069,480,0,E02000016
E00000070,392,0,E02000010
E00000071,319,0,E02000010
E00000072,347,0,E02000010
E00000073,328,0,E02000010
E00000074,312,0,E02000010
E00000075,344,0,E02000010
E00000076,364,0,E02000010
E00000077,371,0,E02000010
E00000078,334,0,E02000010
E00000079,381,0,E02000010
E00000080,584,0,E02000010
E00000081,354,1,E02000010
E00000082,361,0,E02000010
E00000083,338,0,E02000010
E00000084,356,0,E02000010
E00000085,310,0,E02000014
E00000086,356,0,E02000014
E00000087,268,3,E02000014
E00000088,361,0,E02000010
E00000089,335,0,E02000010
E00000090,372,0,E02000014
E00000091,617,0,E02000010
E00000092,385,0,E02000014
E00000093,364,0,E02000014
E00000094,429,0,E02000014
E00000095,542,0,E02000010
E00000096,342,0,E02000014
E00000097,365,0,E02000014
E00000098,315,0,E02000014
E00000099,114,0,E02000014
E00000100,428,0,E02000010
E00000101,382,0,E02000009
E00000102,398,0,E02000009
E00000103,477,0,E02006799
E00000104,469,0,E02006799
E00000106,387,0,E02006799
E00000107,397,0,E02006799
E00000108,352,0,E02006799
E00000109,474,0,E02006799
E00000110,341,0,E02006799
E00000111,431,2,E02006799
E00000112,356,0,E02000009
E00000113,548,0,E02006799
E00000114,409,0,E02006799
E00000115,362,0,E02006799
E00000116,377,0,E02000009
E00000117,239,0,E02000009
E00000118,371,0,E02000009
E00000119,356,0,E02000009
E00000120,395,0,E02000009
E00000121,371,0,E02000009
E00000122,348,0,E02000009
E00000123,401,61,E02006799
E00000124,357,0,E02000009
E00000125,457,0,E02000009
E00000128,305,0,E02000009
E00000129,395,0,E02000009
E00000130,402,0,E02000009
E00000131,343,0,E02000009
E00000132,393,0,E02000009
E00000133,340,1,E02000009
E00000134,449,0,E02000009
E00000135,357,0,E02000003
E00000136,369,0,E02000003
E00000137,428,0,E02000002
E00000138,423,0,E02000002
E00000139,433,0,E02000002
E00000140,406,0,E02000002
E00000141,373,0,E02000002
E00000142,371,0,E02000002
E00000143,354,0,E02000002
E00000144,313,0,E02000002
E00000145,229,0,E02000002
E00000146,293,0,E02000003
E00000147,353,0,E02000002
E00000148,166,0,E02000002
E00000149,335,0,E02000003
E00000150,427,0,E02000003
E00000151,465,0,E02000003
E00000152,308,0,E02000003
E00000153,348,0,E02000003
E00000154,359,0,E02000003
E00000155,587,0,E02000003
E00000156,386,18,E02000002
E00000157,369,0,E02000002
E00000158,463,2,E02000002
E00000159,495,2,E02000002
E00000160,422,0,E02000002
E00000161,404,0,E02000002
E00000162,307,24,E02000002
E00000163,553,0,E02000002
E00000164,469,0,E02000002
E00000165,336,0,E02000002
E00000166,185,0,E02000002
E00000167,352,0,E02000011
E00000168,513,0,E02000007
E00000169,354,0,E02000007
E00000170,396,0,E02000004
E00000171,388,0,E02000004
E00000172,434,0,E02000007
E00000173,466,0,E02000011
E00000174,362,0,E02000011
E00000175,368,69,E02000011
E00000176,368,0,E02000011
E00000177,233,0,E02000011
E00000178,407,0,E02000011
E00000179,378,0,E02000011
E00000180,325,0,E02000011
E00000181,352,77,E02000004
E00000472,352,0,E02000023
E00000475,359,0,E02000023
E00000476,367,0,E02000023
E00000477,489,0,E02000023
E00000478,408,0,E02000020
E00000479,425,0,E02000023
E00000480,357,0,E02000023
E00000481,367,0,E02006799
E00000482,397,0,E02006799
E00000483,406,0,E02006799
E00000484,427,0,E02006799
E00000485,441,0,E02006799
E00000487,290,0,E02006799
E00000488,408,0,E02006799
E00000489,498,0,E02006799
E00000490,419,0,E02006799
E00000491,375,0,E02006799
E00000492,364,0,E02006799
E00000493,390,0,E02000005
E00000494,455,0,E02000005
E00000495,366,0,E02000005
E00000496,340,0,E02000005
E00000497,359,0,E02000005
E00000498,318,0,E02000005
E00000499,376,0,E02006799
E00000500,355,0,E02000005
E00000501,256,0,E02000005
E00000502,345,0,E02000008
E00000503,330,0,E02000005
E00000504,291,0,E02006799
E00000505,400,0,E02000008
E00000506,470,0,E02000005
E00000507,400,0,E02000008
E00000508,334,0,E02000008
E00000509,308,0,E02000008
E00000510,378,0,E02006799
E00000511,476,0,E02000015
E00000512,328,0,E02000015
E00000513,381,0,E02000011
E00000514,327,3,E02000011
E00000515,272,0,E02000015
E00000516,296,0,E02000015
E00000517,337,0,E02000015
E00000518,292,0,E02000015
E00000519,337,0,E02000011
E00000520,498,1,E02000015
E00000521,388,0,E02000015
E00000522,251,0,E02000015
E00000523,398,0,E02000015
E00000524,364,0,E02000015
E00000525,483,0,E02000015
E00000526,424,0,E02000015
E00000527,382,32,E02000011
E00000528,316,0,E02000015
E00000529,206,0,E02000015
E00000530,299,0,E02000015
E00000531,311,0,E02000015
E00000532,405,0,E02000015
E00000533,317,0,E02000015
E00000534,365,0,E02000015
E00000535,343,0,E02000015
E00000536,250,0,E02000015
E00000537,412,0,E02000015
E00000538,323,0,E02000011
E00000539,343,0,E02000011
E00000540,314,0,E02000011
E00000541,355,0,E02000011
E00000542,198,0,E02000015
E00000543,416,0,E02000011
E00000544,488,0,E02000011
