msoa,staff/owner,staff/owner's relative,temporary/visiting
E02000001,4,4,19
E02000002,0,0,2
E02000003,0,0,0
E02000004,0,0,10
E02000005,0,0,0
E02000007,0,2,31
E02000008,0,0,0
E02000009,0,0,0
E02000010,0,0,0
E02000011,0,0,0
E02000012,0,0,0
E02000013,0,0,0
E02000014,0,0,0
E02000015,0,0,0
E02000016,0,0,4
E02000017,0,0,0
E02000018,0,0,0
E02000019,0,0,0
E02000020,0,0,6
E02000021,3,0,0
E02000022,0,0,6
E02000023,0,0,46
E02000024,0,2,0
E02000025,0,0,0
E02000026,0,0,0
E02000027,0,1,4
E02000028,0,0,0
E02000029,0,0,0
E02000030,0,3,0
E02000031,0,0,0
E02000032,0,0,0
E02000033,0,0,0
E02000034,0,0,0
E02000035,6,3,7
E02000036,0,0,5
E02000037,0,0,1
E02000038,6,0,0
E02000039,0,0,1
E02000040,1,0,11
E02000041,0,0,0
E02000042,0,2,0
E02000043,0,0,0
E02000044,0,0,0
E02000045,0,0,0
E02000046,0,0,0
E02000047,1,0,0
E02000048,0,0,0
E02000049,0,0,0
E02000050,0,0,15
E02000051,0,0,10
E02000052,0,0,0
E02000054,0,0,0
E02000055,3,0,21
E02000056,0,1,0
E02000057,0,0,1
E02000058,0,0,0
E02000059,1,0,0
E02000060,0,1,1
E02000061,2,0,0
E02000062,0,0,3
E02000063,0,0,1
E02000064,0,0,0
E02000065,0,0,0
E02000066,0,0,0
E02000067,0,0,4
E02000068,0,0,0
E02000069,0,0,0
E02000070,0,0,0
E02000071,0,0,0
E02000072,0,0,2
E02000073,0,0,0
E02000074,0,0,1
E02000075,0,0,0
E02000077,0,0,0
E02000078,0,0,0
E02000079,0,6,4
E02000080,0,0,0
E02000081,0,1,0
E02000082,0,0,0
E02000083,2,0,0
E02000084,0,0,0
E02000085,0,0,0
E02000086,0,0,0
E02000087,0,0,1
E02000088,0,0,0
E02000089,0,0,0
E02000090,1,2,2
E02000091,0,0,0
E02000092,0,0,0
E02000093,0,0,0
E02000094,0,0,0
E02000095,0,0,0
E02000096,0,0,0
E02000097,0,0,0
E02000098,0,0,0
E02000099,0,0,0
E02000100,1,0,4
E02000101,0,0,0
E02000102,0,0,0
E02000103,1,0,38
E02000104,1,4,0
E02000105,0,0,0
E02000106,0,0,0
E02000107,1,0,0
E02000108,0,0,7
