msoa,staff/owner,staff/owner's relative,temporary/visiting
E02001682,0,0,0
E02001683,0,0,0
E02001684,0,0,0
E02001685,0,0,0
E02001686,0,0,1
E02001688,0,0,0
E02001689,0,0,0
E02001690,0,0,0
E02001691,0,0,2
E02001692,0,0,0
E02001693,0,0,0
E02001694,0,0,0
E02001695,0,0,0
E02001696,0,0,2
E02001697,0,0,0
E02001698,0,0,0
E02001699,0,0,0
E02001700,0,0,0
E02001701,0,0,0
E02001702,0,0,0
E02001703,0,0,0
E02001704,0,0,5
E02001706,0,0,0
E02001707,0,0,1
E02001709,0,0,3
E02001710,0,0,0
E02001711,0,0,17
E02001712,6,0,0
E02001713,0,0,3
E02001714,0,0,0
E02001715,0,1,0
E02001718,0,0,0
E02001719,0,0,0
E02001720,0,0,0
E02001721,0,0,0
E02001722,0,0,0
E02001723,0,0,0
E02001724,5,2,18
E02001725,0,2,2
E02001726,0,0,0
E02001727,0,0,1
E02001728,0,0,0
E02001729,0,0,10
E02001732,0,0,0
E02001734,0,0,0
E02001735,0,0,0
E02001737,0,0,0
E02001738,0,0,0
E02001739,0,0,0
E02001740,0,0,0
E02001741,0,0,0
E02001742,0,0,0
E02001743,0,1,0
E02001744,0,0,0
E02001745,0,0,0
E02001746,0,0,0
E02001747,0,0,0
E02001748,0,0,0
E02001749,0,0,0
E02001750,0,0,1
E02001751,0,0,0
E02001752,0,0,0
E02001753,0,0,1
E02001754,1,0,0
E02001755,0,0,0
E02001756,0,0,0
E02001757,0,0,0
E02001758,0,0,0
E02001759,0,0,0
E02001760,0,0,0
E02001761,0,0,0
E02001762,0,0,0
E02001763,0,0,0
E02001764,8,0,0
E02001765,0,0,0
E02001766,0,0,0
E02001767,0,0,0
E02001768,18,0,0
E02001769,5,0,0
E02001770,0,0,10
E02001771,0,0,0
E02001772,0,0,0
E02001773,0,0,0
E02001774,0,2,0
E02001775,0,0,0
E02001776,1,0,0
E02001777,0,2,0
E02001778,0,0,0
E02001779,0,0,0
E02001780,0,0,0
E02001781,0,0,0
E02001782,0,1,0
E02001783,0,0,0
E02001784,0,0,0
E02001785,0,0,0
E02001786,0,0,0
E02001787,0,0,0
E02001788,0,2,0
E02001789,0,0,0
E02001790,0,0,0
E02001791,0,0,0
E02001792,2,0,2
E02001793,0,0,0
E02001794,0,1,0
E02001795,0,0,0
E02001796,1,0,7
E02001797,0,0,0
E02001798,3,0,0
E02001799,0,0,0
E02001800,0,0,0
E02001801,0,1,13
E02001802,0,0,2
E02001803,2,2,28
E02001804,0,3,0
E02001805,0,0,0
E02001806,0,0,2
E02001807,0,0,0
E02001808,0,0,0
E02001809,0,0,0
E02001810,2,0,0
E02001811,0,0,0
E02001812,0,0,0
E02001813,0,0,0
E02001814,0,0,0
E02001815,0,1,0
E02001816,0,0,1
E02001817,0,0,0
E02001818,0,0,5
E02001819,0,0,0
E02001820,0,0,0
E02001821,0,0,0
E02001822,0,0,0
E02001823,0,0,0
E02001824,0,0,1
E02001825,0,0,0
E02001826,0,0,0
E02002483,0,0,0
E02002484,0,0,3
E02002485,0,0,0
E02002489,0,0,2
E02002490,0,0,0
E02002491,0,0,0
E02002492,0,0,0
E02002493,3,0,10
E02002494,0,0,0
E02002496,0,0,86
E02002497,0,0,0
E02002498,0,0,0
E02002499,0,2,0
E02002500,0,0,0
E02002501,0,0,0
E02002502,0,0,0
E02002503,0,0,0
E02002504,0,0,1
E02002505,0,0,0
E02002506,2,0,1
E02002507,0,0,0
E02002508,0,0,0
E02002509,0,0,0
E02002510,0,0,0
E02002512,0,0,0
E02002513,0,0,1
E02002514,0,0,0
E02002515,1,8,0
E02002516,0,0,0
E02002517,0,0,0
E02002518,0,0,0
E02002519,0,0,0
E02002520,0,0,0
E02002521,3,1,0
E02002523,0,0,0
E02002524,0,0,0
E02002525,0,0,0
E02002526,0,0,0
E02002527,0,0,0
E02002529,0,0,0
E02002530,0,0,0
E02002532,1,0,0
E02002533,0,0,0
E02002534,2,4,0
E02002535,0,0,0
E02002536,0,0,0
E02002537,0,0,0
E02002538,0,0,0
E02002539,0,0,0
E02002540,0,0,0
E02002541,0,0,0
E02002542,0,0,0
E02002543,0,0,0
E02002544,4,1,82
E02002545,0,0,0
E02002546,0,0,3
E02002547,0,0,0
E02002549,0,0,0
E02002550,0,0,0
E02002551,0,1,0
E02002552,0,0,0
E02002553,0,0,0
E02002554,0,0,0
E02002555,0,0,0
E02002556,0,0,0
E02002558,0,1,4
E02002559,1,0,0
E02002560,0,0,0
E02002561,0,0,0
E02002562,0,0,0
E02002563,0,0,0
E02002564,0,0,0
E02002567,0,0,0
E02002568,0,0,1
E02002569,0,0,0
E02002570,2,0,0
E02002571,0,0,0
E02002572,0,0,0
E02002573,0,0,1
E02004290,0,0,0
