Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Altcourse,*,75,98,186,420,220,90,25,16,E00176728,E02001351
Buckley Hall,*,*,*,61,179,94,58,30,*,E00172363,E02001136
Forest Bank,*,111,147,222,472,189,83,17,14,E00172963,E02001164
Garth,*,*,80,133,285,146,99,37,12,E00170510,E02005195
Haverigg,*,*,3,15,69,56,88,46,26,E00097466,E02004007
Hindley,*,119,91,87,166,59,26,3,*,E00181441,E02001312
Kirkham,*,*,29,91,174,115,66,*,*,E00174064,E02005205
Lancaster Farms,*,*,70,117,193,108,29,*,*,E00185618,E02005233
Liverpool,*,*,87,150,286,160,91,15,15,E00182973,E02001349
Manchester,*,10,66,128,221,116,70,14,6,E00175942,E02006915
Preston,*,43,80,122,242,118,45,19,10,E00181968,E02005266
Risley,*,*,113,164,302,174,106,52,25,E00188925,E02002590
Styal,*,*,27,54,138,92,40,9,*,E00174371,E02003859
Thorn Cross,*,*,28,42,135,78,34,*,*,E00062779,E02002613
Wymott,*,5,45,116,332,193,160,94,66,E00170510,E02005195
