Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-118028538,2011-01-06,Y,Trewan House,North West,Halton,335 Ditchfield Road,Widnes,WA8 8XR,53.370906,-2.775099,Halton,*,,,Y,,Y,,,Y,,,,3,3,E06000006,E02002577,E00062498,44,35.0,80.0,0.96496,7.0,15.7459,0.02971
1-126035735,2010-12-31,Y,Smithy Forge,North West,Halton,3a Norton Village,Runcorn,WA7 6PZ,53.331963,-2.668724,Weaver Vale,*,,,Y,,,Y,,,,,,0,0,E06000006,E02002582,E00062707,6,5.0,85.8641828162418,,,,
1-126035751,2010-12-31,Y,Wide Cove,North West,Halton,20 Brook Street,Runcorn,WA7 1JJ,53.341669,-2.736284,Halton,*,,,Y,,,Y,,,,,,2,2,E06000006,E02002585,E00062687,8,8.0,94.0,0.85841,1.0,8.8388,0.18367
1-129266355,2010-12-20,Y,Bankfield Road,North West,Halton,2a Bankfield Road,Widnes,WA8 7UN,53.371405,-2.764707,Halton,"Sheridan, Karen",,,Y,,,Y,,,,,,2,2,E06000006,E02002577,E00062443,6,6.0,100.0,0.89754,0.0,0.0,0.1436
1-129266369,2010-12-20,Y,Holmdale,North West,Halton,2a Company's Close,Runcorn,WA7 4NA,53.320082,-2.73989,Halton,"Sheridan, Karen",,,Y,,,Y,,,,,,3,3,E06000006,E02002585,E00062637,6,5.0,78.0,0.99849,1.0,9.6225,0.00066
1-129266471,2010-12-20,Y,Glenwood Care Home,North West,Halton,Liverpool Road,Widnes,WA8 7HX,53.370992,-2.757501,Halton,"Sheridan, Karen",Y,Y,,,,Y,,,,,,1,1,E06000006,E02002579,E00062445,12,9.0,75.0,0.89798,,,
1-135650812,2012-05-02,Y,Halton View Care Home,North West,Halton,1 Sadler Street,Widnes,WA8 6LN,53.371117,-2.719913,Halton,"Vernon, Mandy",,Y,Y,,Y,,,Y,,,,7,7,E06000006,E02002580,E00062396,64,54.0,84.0,0.89772,8.0,12.2368,0.10651
1-135650841,2011-01-27,Y,Simonsfield Care Home,North West,Halton,53 Boston Avenue,Runcorn,WA7 5XE,53.333706,-2.715393,Halton,"Vernon, Mandy",,,Y,,Y,,,Y,,,,2,2,E06000006,E02002584,E00062565,63,62.0,99.0,0.89881,1.0,1.1224,0.00067
1-136699319,2010-12-30,Y,Woodcrofts Residential Home,North West,Halton,164 Warrington Road,Widnes,WA8 0AT,53.372251,-2.712146,Halton,"Lyons, Andrew",,,Y,,,,Y,,,,,3,3,E06000006,E02002576,E00062614,20,15.0,77.0,0.943,1.0,2.8868,0.06073
1-145392033,2011-01-07,Y,Oakmeadow Community Support Centre,North West,Halton,Peelhouse Lane,Widnes,WA8 6TJ,53.372594,-2.722238,Halton,"Wallace-Bonner, Susan",,,Y,,Y,Y,Y,Y,Y,Y,Y,1,1,E06000006,E02002580,E00062392,29,3.0,10.0,0.51211,,,
