area,household residents,communal residents,msoa
E00024141,366,0,E02000986
E00024142,270,0,E02000986
E00024143,347,0,E02000988
E00024144,264,0,E02000986
E00024145,369,0,E02000986
E00024146,301,0,E02000986
E00024147,308,0,E02000986
E00024148,356,0,E02000988
E00024150,235,0,E02000988
E00024151,301,0,E02000988
E00024152,335,0,E02000988
E00024153,315,0,E02000986
E00024154,315,37,E02000986
E00024155,299,0,E02000988
E00024156,375,0,E02000988
E00024157,396,0,E02000986
E00024158,342,0,E02000988
E00024159,252,0,E02000986
E00024160,322,0,E02000986
E00024161,343,0,E02000988
E00024162,312,0,E02000986
E00024163,278,0,E02000988
E00024164,394,0,E02000988
E00024165,182,0,E02000988
E00024166,327,27,E02000988
E00024167,323,0,E02000988
E00024168,279,0,E02000988
E00024169,225,0,E02000988
E00024170,281,0,E02000988
E00024171,410,0,E02000988
E00024172,297,0,E02000988
E00024173,233,0,E02000988
E00024175,329,0,E02000988
E00024176,314,0,E02000986
E00024177,386,0,E02000984
E00024178,350,0,E02000984
E00024179,338,0,E02000984
E00024180,291,0,E02000986
E00024181,268,0,E02000984
E00024182,253,0,E02000984
E00024183,428,0,E02000986
E00024184,311,0,E02000986
E00024185,212,0,E02000986
E00024186,305,0,E02000986
E00024187,324,0,E02000986
E00024188,290,52,E02000997
E00024190,248,0,E02000992
E00024191,293,0,E02000992
E00024192,492,0,E02000992
E00024193,357,0,E02000992
E00024194,288,0,E02000992
E00024195,258,18,E02000992
E00024196,251,0,E02000992
E00024197,287,0,E02000992
E00024198,295,0,E02000992
E00024200,284,21,E02000992
E00024201,310,0,E02000992
E00024202,329,0,E02000992
E00024203,312,0,E02000992
E00024204,257,0,E02000992
E00024205,280,0,E02000992
E00024206,251,0,E02000992
E00024207,332,6,E02000990
E00024208,554,0,E02000987
E00024210,301,0,E02000990
E00024211,311,0,E02000997
E00024212,265,0,E02000987
E00024213,249,0,E02000987
E00024215,328,48,E02000987
E00024216,428,0,E02000990
E00024217,317,0,E02000990
E00024218,279,0,E02000987
E00024219,549,0,E02000990
E00024220,168,0,E02000990
E00024221,219,1,E02000990
E00024222,404,0,E02000990
E00024223,441,0,E02001014
E00024224,326,0,E02001014
E00024225,494,0,E02001014
E00024226,209,0,E02000997
E00024227,250,0,E02001014
E00024228,335,28,E02000997
E00024229,312,0,E02001014
E00024230,261,0,E02000989
E00024231,249,0,E02000996
E00024232,218,0,E02000985
E00024233,312,0,E02000989
E00024234,323,0,E02000989
E00024235,402,0,E02000989
E00024236,333,0,E02000989
E00024237,280,0,E02000989
E00024238,356,0,E02000989
E00024239,334,0,E02000989
E00024240,251,0,E02000989
E00024241,267,0,E02000985
E00024242,264,0,E02000989
E00024243,284,0,E02000989
E00024244,269,0,E02000989
E00024245,217,0,E02000989
E00024246,285,0,E02000989
E00024247,265,0,E02000989
E00024248,280,0,E02000989
E00024249,314,0,E02000989
E00024250,306,0,E02000989
E00024251,315,0,E02000989
E00024252,346,0,E02000989
E00024253,245,0,E02000989
E00024254,215,0,E02000996
E00024255,281,0,E02000996
E00024256,379,0,E02000996
E00024257,305,0,E02000996
E00024258,281,0,E02000996
E00024259,314,0,E02000989
E00024260,227,0,E02000985
E00024261,323,0,E02000985
E00024262,286,0,E02000989
E00024263,358,0,E02000985
E00024264,285,0,E02000989
E00024265,270,0,E02000985
E00024266,279,0,E02000985
E00024267,281,0,E02000989
E00024268,267,0,E02000985
E00024269,285,0,E02000989
E00024270,273,0,E02000985
E00024271,223,0,E02000989
E00024272,214,0,E02000989
E00024273,219,0,E02000989
E00024274,296,0,E02000985
E00024275,242,0,E02001002
E00024276,395,0,E02001002
E00024277,303,0,E02000996
E00024278,339,0,E02001002
E00024279,236,0,E02000996
E00024280,418,0,E02000996
E00024281,426,0,E02000996
E00024282,384,0,E02000996
E00024283,264,0,E02000996
E00024284,367,0,E02000996
E00024285,255,74,E02000996
E00024286,314,0,E02000996
E00024287,335,0,E02000996
E00024288,384,0,E02000996
E00024289,323,0,E02000996
E00024290,180,60,E02000996
E00024291,290,0,E02001002
E00024292,276,0,E02001002
E00024293,310,0,E02001002
E00024294,314,0,E02001002
E00024295,337,0,E02001002
E00024296,255,0,E02001002
E00024297,276,0,E02001002
E00024298,311,0,E02001002
E00024299,263,0,E02001002
E00024300,412,0,E02001002
E00024301,230,0,E02001002
E00024302,236,0,E02001002
E00024303,206,0,E02001002
E00024304,308,0,E02001002
E00024305,301,0,E02001002
E00024306,260,0,E02001002
E00024307,326,0,E02001002
E00024308,317,0,E02001002
E00024309,249,0,E02001002
E00024310,290,0,E02001002
E00024311,401,0,E02001002
E00024312,285,0,E02001002
E00024314,346,0,E02000996
E00024315,267,6,E02000996
E00024316,425,0,E02000996
E00024317,445,6,E02000996
E00024318,420,0,E02000996
E00024319,405,0,E02000986
E00024320,291,0,E02000985
E00024321,274,0,E02000984
E00024322,439,0,E02000984
E00024323,284,0,E02000984
E00024324,314,0,E02000984
E00024325,280,0,E02000984
E00024326,295,0,E02000985
E00024327,280,0,E02000985
E00024328,258,0,E02000986
E00024329,473,0,E02000984
E00024330,226,0,E02000986
E00024331,306,0,E02000986
E00024332,403,0,E02000985
E00024333,287,2,E02000986
E00024334,286,0,E02000985
E00024335,256,0,E02000985
E00024336,318,0,E02000985
E00024337,292,0,E02000985
E00024338,295,0,E02000985
E00024339,257,0,E02000985
E00024340,392,0,E02000985
E00024341,377,0,E02000993
E00024342,385,0,E02000993
E00024343,306,0,E02000993
E00024344,375,0,E02000993
E00024345,301,0,E02000993
E00024346,229,0,E02000993
E00024347,329,0,E02000984
E00024348,277,0,E02000984
E00024349,300,0,E02000984
E00024350,245,1,E02000984
E00024351,379,0,E02000984
E00024352,275,0,E02000984
E00024353,239,0,E02000984
E00024354,331,0,E02000984
E00024355,314,0,E02000984
E00024356,410,0,E02000984
E00024357,265,0,E02000984
E00024358,264,0,E02000985
E00024359,414,0,E02000984
E00024360,239,0,E02000984
E00024361,328,0,E02000985
E00024362,343,0,E02000985
E00024363,336,0,E02000985
E00024364,239,0,E02000986
E00024365,311,0,E02001005
E00024366,355,0,E02001005
E00024367,515,0,E02001012
E00024369,421,0,E02001005
E00024370,541,0,E02001005
E00024371,343,2,E02001005
E00024372,497,0,E02001005
E00024373,319,0,E02001005
E00024374,307,0,E02001005
E00024375,428,0,E02001005
E00024376,449,0,E02001005
E00024377,329,0,E02001005
E00024378,565,0,E02001005
E00024379,408,0,E02001005
E00024380,359,0,E02001005
E00024381,375,0,E02001005
E00024383,526,0,E02001012
E00024384,334,0,E02001005
E00024385,378,0,E02001005
E00024386,469,0,E02001010
E00024387,525,70,E02001005
E00024388,349,0,E02001005
E00024389,368,0,E02001010
E00024391,240,0,E02001010
E00024392,528,0,E02001010
E00024394,278,0,E02001000
E00024395,310,0,E02001000
E00024396,311,0,E02001000
E00024397,262,68,E02001000
E00024398,434,58,E02001000
E00024399,338,0,E02001000
E00024400,305,0,E02001005
E00024401,541,0,E02001000
E00024402,314,60,E02001000
E00024403,206,0,E02001005
E00024404,265,0,E02001000
E00024405,493,0,E02000994
E00024406,469,0,E02000994
E00024407,528,0,E02000999
E00024408,490,23,E02000999
E00024409,490,29,E02000988
E00024410,528,0,E02000994
E00024411,466,19,E02000988
E00024412,330,0,E02000994
E00024413,518,0,E02000994
E00024416,200,0,E02000999
E00024417,410,0,E02000994
E00024418,331,0,E02000994
E00024419,389,0,E02000988
E00024420,293,0,E02000994
E00024421,301,0,E02000994
E00024422,490,0,E02000988
E00024423,423,0,E02000999
E00024424,287,0,E02000994
E00024425,299,0,E02000999
E00024426,290,0,E02000994
E00024427,276,0,E02000994
E00024428,363,0,E02000994
E00024429,439,2,E02000999
E00024430,249,0,E02000994
E00024431,289,0,E02000994
E00024432,145,0,E02000999
E00024433,255,22,E02000999
E00024434,411,0,E02000999
E00024435,286,0,E02000999
E00024436,374,2,E02000999
E00024437,328,0,E02000999
E00024438,300,0,E02000999
E00024439,182,0,E02000999
