msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02000984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02000986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000987,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000988,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02000989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
E02000991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
E02000993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02000994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02000995,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02000996,1,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,8
E02000997,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
E02000998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
E02000999,1,0,0,0,0,0,1,1,0,0,0,2,0,0,1,3,9
E02001000,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7
E02001001,1,4,0,0,0,1,0,0,0,0,0,1,0,0,2,0,9
E02001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001005,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
E02001006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001007,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
E02001008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001012,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001013,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
E02001014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
E02001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
E02001021,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
E02001022,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
E02001023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001024,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001025,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10
E02001026,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5
E02001027,2,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,9
E02001028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001029,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8
E02001030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02001032,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02001033,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
E02001034,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02001035,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02001037,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
E02001038,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001042,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001043,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
E02001044,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
E02001045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001046,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001047,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001048,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
E02001049,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001050,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,8
E02001051,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
E02001052,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
E02001053,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5
E02001055,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,9
E02001056,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001059,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
E02001061,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,7
E02001062,0,0,0,1,0,1,1,2,0,0,0,8,0,0,0,0,13
E02001063,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,2,12
E02001064,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02001065,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02001066,3,0,0,0,0,1,1,0,0,0,0,8,0,1,4,2,20
E02001067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001069,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,8
E02001070,1,2,0,0,0,0,0,0,0,0,0,18,0,0,1,2,24
E02001072,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,7
E02001073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
