Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Altcourse,36,25,33,*,1016,14,*,E00176728,E02001351
Buckley Hall,39,37,*,*,353,*,*,E00172363,E02001136
Forest Bank,146,101,64,19,918,*,*,E00172963,E02001164
Garth,42,94,43,*,602,*,*,E00170510,E02005195
Haverigg,16,*,15,*,264,*,*,E00097466,E02004007
Hindley,31,25,28,4,462,1,*,E00181441,E02001312
Kirkham,64,34,16,*,374,*,*,E00174064,E02005205
Lancaster Farms,36,10,13,*,462,*,3,E00185618,E02005233
Liverpool,42,21,10,10,718,*,3,E00182973,E02001349
Manchester,63,73,35,*,451,*,*,E00175942,E02006915
Preston,70,14,12,10,569,4,*,E00181968,E02005266
Risley,77,58,32,19,747,3,*,E00188925,E02002590
Styal,6,*,18,*,340,*,*,E00174371,E02003859
Thorn Cross,27,19,*,*,270,1,*,E00062779,E02002613
Wymott,52,41,24,4,887,*,3,E00170510,E02005195
