msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02000984,0,0,0,0,0,0,0,0
E02000985,0,0,0,0,0,0,0,0
E02000986,0,0,0,0,0,1,6,22
E02000987,0,0,0,1,5,7,26,37
E02000988,1,2,4,0,1,6,16,33
E02000989,0,0,0,0,0,0,0,0
E02000990,0,0,0,1,0,0,0,0
E02000991,0,0,0,0,0,2,1,13
E02000992,0,0,0,0,0,0,5,25
E02000993,0,0,0,0,0,0,0,0
E02000994,0,0,0,0,0,0,0,0
E02000995,0,0,0,0,0,2,6,41
E02000996,0,0,0,0,3,8,25,60
E02000997,1,0,2,1,6,5,20,38
E02000998,0,0,1,0,7,5,2,7
E02000999,0,126,11,14,6,16,40,40
E02001000,0,6,3,7,7,10,17,31
E02001001,2,0,5,1,3,7,14,29
E02001002,0,0,0,0,0,0,0,0
E02001003,0,0,0,3,2,1,5,22
E02001004,0,0,0,0,0,0,0,0
E02001005,0,46,9,4,10,6,11,29
E02001006,0,0,3,5,4,3,1,3
E02001007,0,0,2,1,2,0,0,0
E02001008,0,0,3,0,0,6,21,22
E02001009,0,0,0,0,0,0,0,0
E02001010,1,10,14,8,6,0,1,3
E02001011,0,0,0,0,0,0,0,0
E02001012,1,3,0,0,0,0,0,0
E02001013,0,4,0,0,0,4,8,6
E02001014,0,0,0,0,1,4,6,20
E02001015,0,0,0,0,14,20,20,48
E02001016,0,0,0,0,0,0,0,0
E02001017,0,0,0,1,0,2,0,0
E02001018,0,0,0,0,0,0,0,0
E02001019,3,0,0,0,0,0,0,0
E02001020,0,0,0,0,0,0,1,18
E02001021,0,0,1,4,9,11,24,45
E02001022,0,1,3,2,9,9,25,39
E02001023,0,0,0,0,1,1,0,0
E02001024,0,0,1,3,0,3,2,10
E02001025,0,2,0,0,6,5,17,26
E02001026,0,0,0,1,9,2,9,9
E02001027,2,4,0,1,1,7,20,48
E02001028,0,0,0,0,0,0,4,26
E02001029,0,9,0,1,7,2,6,6
E02001030,0,0,0,0,0,2,3,15
E02001031,0,0,0,0,1,0,0,0
E02001032,0,2,0,0,2,10,17,26
E02001033,0,2,0,0,0,0,1,0
E02001034,0,0,0,0,1,6,15,39
E02001035,0,0,0,0,0,0,0,0
E02001036,0,0,0,0,0,0,0,0
E02001037,0,0,0,0,2,4,17,45
E02001038,0,0,0,0,0,1,6,2
E02001039,0,0,0,0,0,0,0,0
E02001040,1,5,17,14,15,5,8,17
E02001041,0,0,0,0,3,4,18,24
E02001042,0,0,0,0,2,0,0,0
E02001043,0,0,0,0,1,5,31,63
E02001044,0,0,0,2,1,5,0,0
E02001045,0,0,0,0,0,0,4,8
E02001046,0,0,0,2,7,0,10,12
E02001047,0,4,3,7,3,4,20,11
E02001048,0,3,3,2,10,5,0,0
E02001049,0,0,0,0,0,1,23,53
E02001050,0,1,3,9,6,9,15,18
E02001051,0,0,0,0,2,4,6,11
E02001052,0,0,0,2,7,6,15,39
E02001053,0,2,0,1,2,4,10,9
E02001055,0,1,0,9,16,25,26,32
E02001056,0,0,0,0,5,5,7,5
E02001059,0,0,0,9,10,0,6,8
E02001061,0,0,0,3,2,1,0,0
E02001062,0,390,57,5,0,1,1,0
E02001063,0,1817,99,8,0,0,0,0
E02001064,0,2,0,2,6,11,20,28
E02001065,0,2,1,1,1,0,0,0
E02001066,0,735,62,14,12,9,8,14
E02001067,0,0,0,0,0,0,0,0
E02001068,0,0,0,0,2,2,0,0
E02001069,0,280,11,0,0,1,2,0
E02001070,0,1435,44,14,5,3,2,0
E02001072,0,0,2,0,11,1,8,12
E02001073,0,0,0,1,10,3,3,10
E02001074,0,22,29,2,12,11,24,42
E02001075,0,0,2,0,0,1,0,0
E02001076,0,1207,22,4,0,0,0,0
E02001077,0,0,0,0,0,0,0,0
E02001078,0,8,0,0,0,0,0,0
E02001079,0,0,0,0,3,2,3,0
E02001080,0,9,0,0,0,0,0,0
E02001081,0,0,0,0,0,0,0,0
E02001082,0,6,0,0,0,6,7,30
E02001083,0,0,0,0,9,10,12,15
E02001084,0,0,0,1,1,1,2,18
E02001085,0,0,0,0,0,0,0,0
E02001086,0,0,0,0,6,6,26,39
E02001087,0,5,6,6,0,0,0,0
E02001088,0,0,0,1,0,4,14,24
E02001089,0,2,2,0,0,0,0,0
E02001090,0,0,0,1,4,2,0,0
E02001091,0,0,0,0,0,0,0,1
E02001092,0,1,0,0,0,0,0,0
E02001093,0,0,0,0,4,12,38,71
E02001094,0,0,0,1,1,0,0,0
E02001095,0,0,8,7,5,1,0,0
E02001096,0,0,0,0,0,0,0,1
E02001097,0,0,0,0,1,3,19,23
E02001098,0,0,0,0,0,0,0,0
E02001099,0,0,0,0,1,0,0,0
E02001100,0,0,0,0,1,9,36,56
E02001101,0,0,0,0,0,0,0,0
E02001102,0,0,0,0,0,0,0,0
E02001103,0,0,0,0,0,0,0,0
E02001104,0,0,1,0,6,7,5,9
E02001105,0,0,0,0,0,1,0,14
E02001106,0,0,0,1,1,9,11,26
E02001107,0,2,0,0,0,0,0,0
E02001108,0,0,0,0,1,4,20,25
E02001109,6,4,3,0,6,5,10,12
E02001110,0,0,0,0,0,0,8,26
E02001111,0,2,0,0,1,3,10,12
E02001112,0,0,2,0,0,0,0,0
E02001113,0,0,1,0,2,2,8,7
E02001114,0,0,0,0,5,5,17,20
E02001115,0,3,1,4,2,9,11,18
E02001116,0,0,0,0,1,0,9,15
E02001117,0,0,0,0,1,0,0,0
E02001118,0,0,0,0,0,1,3,4
E02001119,0,0,2,2,16,25,47,48
E02001121,0,0,3,2,6,1,6,0
E02001123,0,0,0,6,0,0,0,0
E02001124,0,0,0,0,0,0,0,0
E02001125,0,0,0,0,0,0,7,20
E02001126,0,3,0,0,6,3,1,9
E02001127,0,0,0,0,0,0,0,0
E02001128,0,1,5,0,4,0,0,0
E02001129,0,0,0,0,6,6,19,29
E02001130,0,0,0,0,0,2,6,3
E02001131,0,0,0,0,0,0,0,0
E02001132,0,0,0,0,0,5,6,19
E02001133,0,0,0,0,0,0,0,0
E02001134,0,0,1,0,7,6,15,56
E02001135,0,0,0,0,7,6,11,10
E02001136,0,0,0,1,0,0,8,15
E02001137,0,0,0,1,0,0,0,0
E02001138,0,0,0,0,2,6,16,40
E02001139,0,0,0,0,0,0,0,0
E02001140,0,6,0,0,6,3,8,19
E02001141,0,0,0,0,0,1,0,0
E02001142,0,0,0,2,4,0,7,17
E02001143,0,0,0,3,6,3,2,8
E02001144,0,0,0,3,1,2,3,9
E02001145,0,1,0,0,0,0,2,5
E02001146,0,0,2,3,19,12,16,17
E02001147,0,0,0,2,8,2,5,6
E02001148,0,0,0,0,2,9,31,52
E02001149,0,0,0,0,0,0,0,0
E02001150,0,0,0,2,9,6,18,16
E02001151,0,2,3,4,2,4,18,39
E02001152,0,0,3,0,5,5,6,3
E02001153,0,0,0,0,0,2,3,4
E02001154,0,0,2,0,0,1,9,22
E02001155,0,0,0,2,0,3,13,34
E02001156,0,0,0,0,0,0,0,0
E02001157,0,1,0,1,1,2,11,9
E02001158,0,0,0,0,0,3,7,12
E02001159,0,0,0,0,0,0,0,0
E02001160,0,0,0,0,0,0,2,0
E02001161,0,0,0,0,0,0,0,0
E02001162,0,0,0,0,0,1,3,4
E02001163,0,0,0,0,6,2,10,10
E02001164,0,1,0,1,0,0,0,0
E02001165,0,0,0,0,1,0,0,0
E02001166,5,13,1,4,2,1,0,1
E02001167,0,48,0,0,0,0,7,10
E02001168,0,0,4,1,2,7,22,19
E02001169,0,0,0,4,7,0,1,16
E02001170,0,0,0,0,0,3,9,22
E02001171,0,0,0,0,0,2,2,10
E02001173,0,353,5,0,0,0,0,0
E02001174,0,3,5,14,9,5,13,20
E02001175,0,0,0,0,0,1,0,0
E02001176,4,1,7,5,5,5,25,35
E02001177,0,0,0,10,5,1,13,32
E02001179,0,10,1,0,0,0,0,0
E02001180,0,168,8,3,0,0,0,0
E02001181,0,0,0,0,0,0,0,0
E02001182,0,0,0,0,3,6,30,38
E02001183,0,6,2,5,10,5,0,0
E02001185,0,0,0,0,0,2,9,30
E02001186,0,0,0,0,0,0,0,0
E02001187,0,0,0,0,0,0,0,1
E02001188,0,0,0,0,0,0,1,0
E02001189,0,0,0,0,0,3,2,13
E02001190,1,0,3,4,0,1,33,62
E02001191,0,0,0,0,0,0,3,18
E02001192,0,2,3,1,5,2,12,40
E02001193,0,1,1,2,0,0,0,0
E02001194,0,2,0,0,0,1,11,18
E02001195,0,0,0,0,3,2,13,42
E02001196,0,1,1,4,4,4,24,18
E02001197,0,0,0,0,0,0,0,0
E02001198,0,0,0,1,2,4,24,63
E02001199,0,0,0,0,0,0,0,0
E02001200,0,2,2,1,10,5,13,22
E02001201,0,6,5,2,1,0,0,0
E02001202,0,0,0,2,1,0,4,12
E02001203,0,0,0,0,0,0,2,7
E02001204,0,0,1,0,0,2,17,19
E02001205,0,3,4,0,0,0,0,0
E02001206,0,0,0,3,11,8,14,43
E02001207,3,0,2,1,5,0,0,0
E02001208,0,0,0,0,0,3,16,33
E02001209,0,0,0,0,0,2,11,29
E02001210,3,6,0,0,0,2,14,17
E02001211,0,0,0,0,0,8,11,31
E02001212,1,1,0,0,4,7,12,15
E02001213,6,1,6,1,1,3,12,41
E02001214,4,0,2,1,4,1,0,0
E02001215,0,0,0,0,0,4,18,13
E02001216,0,0,0,0,0,0,0,0
E02001217,3,3,0,0,0,4,7,17
E02001218,0,0,0,0,4,3,24,25
E02001219,0,1,1,2,0,0,0,0
E02001220,0,0,0,0,0,0,0,0
E02001221,0,0,0,0,3,3,7,16
E02001222,3,19,8,6,3,0,0,0
E02001223,0,0,0,0,0,0,12,38
E02001224,0,0,0,1,2,6,16,20
E02001225,2,0,0,0,0,0,0,0
E02001226,0,14,0,2,0,0,0,0
E02001227,0,0,0,0,0,0,1,13
E02001228,0,0,0,0,0,2,17,50
E02001229,0,1,0,0,0,1,10,15
E02001230,0,0,0,0,0,0,0,0
E02001231,0,0,0,0,0,0,0,0
E02001232,5,2,5,10,2,1,6,17
E02001233,0,0,0,0,2,0,10,17
E02001234,0,0,0,1,1,4,22,25
E02001235,0,0,0,0,0,1,3,4
E02001236,0,0,0,0,0,3,23,31
E02001237,2,0,0,0,0,2,8,32
E02001238,0,1,0,0,0,1,0,0
E02001239,0,0,0,0,2,4,8,7
E02001240,0,0,0,0,0,0,0,0
E02001241,0,0,1,0,5,1,5,5
E02001242,0,0,0,0,0,6,7,34
E02001243,4,1,0,3,0,0,0,0
E02001244,0,0,0,0,0,0,0,0
E02001245,0,0,15,2,2,3,17,19
E02001246,1,2,0,0,0,11,31,53
E02001247,3,0,0,0,0,4,13,20
E02001248,0,0,0,0,0,0,0,0
E02001249,0,0,0,0,0,0,0,0
E02001250,0,0,0,0,1,0,13,19
E02001251,2,0,0,0,0,5,3,13
E02001252,0,0,0,0,0,0,0,0
E02001253,0,0,0,0,0,2,17,5
E02001254,0,0,0,0,0,0,2,6
E02001255,0,0,0,0,0,0,0,0
E02001256,0,0,0,0,8,9,31,65
E02001257,3,0,0,0,0,3,7,25
E02001258,0,0,0,0,0,4,19,16
E02001259,0,4,4,0,4,0,0,0
E02001260,0,3,0,0,0,0,0,0
E02001261,0,0,0,1,0,0,0,0
E02001262,0,0,0,3,5,4,1,0
E02001263,0,2,1,1,6,7,21,27
E02001264,0,0,0,0,0,0,0,0
E02001265,0,0,0,0,0,5,9,18
E02001266,0,0,0,0,0,1,5,7
E02001267,0,0,0,3,9,12,24,52
E02001268,0,0,0,2,9,0,6,13
E02001269,0,0,0,0,0,0,1,0
E02001270,0,0,4,3,0,3,16,41
