Name,Violence against the person,Sexual offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Summary offences,Offence not recorded,area,msoa
Altcourse,180,65,35,309,48,45,44,243,8,E00176728,E02001351
Buckley Hall,211,*,8,95,14,*,5,14,*,E00172363,E02001136
Forest Bank,242,74,31,252,68,36,78,276,8,E00172963,E02001164
Garth,424,160,14,31,14,5,5,9,*,E00170510,E02005195
Haverigg,35,250,*,*,*,*,8,*,*,E00097466,E02004007
Hindley,117,*,18,127,36,*,24,82,*,E00181441,E02001312
Kirkham,128,*,*,229,18,*,10,*,*,E00174064,E02005205
Lancaster Farms,141,*,16,132,22,*,9,32,*,E00185618,E02005233
Liverpool,167,65,10,266,40,25,57,44,6,E00182973,E02001349
Manchester,335,28,*,68,11,10,10,31,*,E00175942,E02006915
Preston,138,82,27,181,27,14,32,38,2,E00181968,E02005266
Risley,143,236,13,143,20,21,95,132,*,E00188925,E02002590
Styal,129,5,18,74,8,10,19,18,5,E00174371,E02003859
Thorn Cross,72,*,9,159,6,*,8,3,2,E00062779,E02002613
Wymott,239,464,13,82,14,*,28,31,*,E00170510,E02005195
