msoa,staff/owner,staff/owner's relative,temporary/visiting
E02000984,0,1,0
E02000985,0,0,0
E02000986,0,0,0
E02000987,0,0,0
E02000988,0,0,0
E02000989,0,0,0
E02000990,0,0,0
E02000991,0,0,0
E02000992,0,0,0
E02000993,0,0,0
E02000994,0,0,0
E02000995,0,0,0
E02000996,0,0,0
E02000997,2,1,0
E02000998,0,0,0
E02000999,0,2,4
E02001000,0,0,8
E02001001,3,0,0
E02001002,0,0,0
E02001003,0,0,0
E02001004,0,0,0
E02001005,0,0,3
E02001006,0,0,0
E02001007,0,0,1
E02001008,0,0,0
E02001009,0,0,2
E02001010,0,0,0
E02001011,0,0,0
E02001012,0,0,0
E02001013,0,0,0
E02001014,0,0,0
E02001015,0,0,0
E02001016,0,0,0
E02001017,0,0,0
E02001018,0,0,0
E02001019,0,0,1
E02001020,0,0,0
E02001021,0,0,4
E02001022,0,0,0
E02001023,0,0,0
E02001024,0,0,0
E02001025,0,0,0
E02001026,0,0,3
E02001027,0,0,0
E02001028,0,0,0
E02001029,0,0,4
E02001030,0,0,0
E02001031,0,0,0
E02001032,0,0,0
E02001033,0,0,1
E02001034,0,0,0
E02001035,0,0,0
E02001036,0,0,2
E02001037,0,0,0
E02001038,0,0,1
E02001039,0,0,0
E02001040,0,0,1
E02001041,4,0,0
E02001042,0,0,0
E02001043,0,0,0
E02001044,0,0,0
E02001045,0,0,0
E02001046,0,0,0
E02001047,0,0,0
E02001048,0,0,0
E02001049,0,0,0
E02001050,0,0,9
E02001051,15,0,0
E02001052,0,0,5
E02001053,0,1,1
E02001055,0,0,0
E02001056,0,0,1
E02001059,0,0,0
E02001061,0,0,8
E02001062,1,0,31
E02001063,13,1,63
E02001064,0,0,6
E02001065,1,0,32
E02001066,11,3,34
E02001067,0,0,0
E02001068,2,0,0
E02001069,0,0,4
E02001070,8,9,35
E02001072,0,2,33
E02001073,0,2,37
E02001074,4,0,9
E02001075,0,0,1
E02001076,5,1,20
E02001077,0,0,0
E02001078,0,0,3
E02001079,0,0,0
E02001080,0,0,0
E02001081,0,0,0
E02001082,0,0,0
E02001083,0,0,6
E02001084,0,0,0
E02001085,0,0,0
E02001086,0,6,55
E02001087,0,0,1
E02001088,0,0,0
E02001089,0,0,0
E02001090,0,0,0
E02001091,0,1,0
E02001092,0,0,2
E02001093,0,0,0
E02001094,0,0,0
E02001095,0,0,1
E02001096,0,0,0
E02001097,0,0,0
E02001098,0,0,0
E02001099,0,0,0
E02001100,0,0,0
E02001101,0,0,0
E02001102,0,0,0
E02001103,0,0,0
E02001104,0,1,0
E02001105,0,0,0
E02001106,0,0,0
E02001107,0,0,0
E02001108,0,0,0
E02001109,0,0,1
E02001110,0,1,0
E02001111,0,0,14
E02001112,0,0,0
E02001113,0,0,0
E02001114,0,0,0
E02001115,0,0,0
E02001116,0,0,0
E02001117,0,0,0
E02001118,0,0,0
E02001119,0,1,0
E02001121,0,0,0
E02001123,0,0,0
E02001124,0,0,0
E02001125,0,0,2
E02001126,0,0,2
E02001127,0,0,2
E02001128,0,0,0
E02001129,0,1,0
E02001130,0,0,0
E02001131,0,0,0
E02001132,0,0,0
E02001133,0,0,0
E02001134,0,0,0
E02001135,0,0,0
E02001136,0,0,11
E02001137,0,0,4
E02001138,0,0,0
E02001139,0,0,0
E02001140,0,0,20
E02001141,1,0,17
E02001142,0,0,0
E02001143,0,0,0
E02001144,0,0,0
E02001145,0,0,0
E02001146,0,0,0
E02001147,0,0,0
E02001148,8,0,0
E02001149,0,0,0
E02001150,0,0,0
E02001151,0,0,0
E02001152,0,0,0
E02001153,28,0,0
E02001154,0,0,0
E02001155,0,0,0
E02001156,0,0,0
E02001157,0,0,0
E02001158,0,0,0
E02001159,0,0,0
E02001160,0,0,0
E02001161,0,0,0
E02001162,0,0,0
E02001163,2,0,0
E02001164,5,10,39
E02001165,0,0,0
E02001166,0,0,0
E02001167,0,0,0
E02001168,0,0,0
E02001169,0,0,1
E02001170,0,0,0
E02001171,0,0,0
E02001173,0,0,7
E02001174,0,0,0
E02001175,0,0,0
E02001176,0,0,2
E02001177,0,0,24
E02001179,0,0,7
E02001180,0,0,7
E02001181,2,0,4
E02001182,0,0,0
E02001183,0,0,0
E02001185,0,0,0
E02001186,0,0,0
E02001187,0,0,0
E02001188,0,0,0
E02001189,0,0,0
E02001190,0,0,7
E02001191,0,0,0
E02001192,0,0,0
E02001193,0,0,4
E02001194,0,0,0
E02001195,0,0,0
E02001196,0,0,0
E02001197,0,0,0
E02001198,0,0,1
E02001199,0,0,0
E02001200,0,0,3
E02001201,0,0,0
E02001202,0,0,2
E02001203,0,0,0
E02001204,0,0,2
E02001205,0,0,0
E02001206,1,1,0
E02001207,0,0,0
E02001208,0,0,0
E02001209,0,0,2
E02001210,0,0,0
E02001211,0,0,0
E02001212,0,0,0
E02001213,16,0,0
E02001214,0,0,1
E02001215,0,0,0
E02001216,0,0,0
E02001217,0,0,0
E02001218,0,0,0
E02001219,0,0,0
E02001220,0,0,0
E02001221,0,0,0
E02001222,1,1,7
E02001223,0,0,0
E02001224,0,0,0
E02001225,0,0,0
E02001226,0,0,0
E02001227,1,0,0
E02001228,0,0,1
E02001229,0,0,2
E02001230,0,0,0
E02001231,0,0,0
E02001232,1,0,6
E02001233,0,14,0
E02001234,0,0,0
E02001235,1,0,38
E02001236,0,0,6
E02001237,0,2,0
E02001238,0,0,1
E02001239,0,0,0
E02001240,0,0,0
E02001241,0,0,0
E02001242,0,0,2
E02001243,0,0,0
E02001244,0,0,0
E02001245,4,1,7
E02001246,0,0,0
E02001247,0,0,0
E02001248,0,0,0
E02001249,0,0,0
E02001250,0,0,0
E02001251,0,1,0
E02001252,0,0,0
E02001253,0,0,0
E02001254,0,0,0
E02001255,0,0,0
E02001256,0,1,0
E02001257,0,0,0
E02001258,0,0,0
E02001259,0,0,0
E02001260,0,1,0
E02001261,0,0,0
E02001262,0,0,0
E02001263,0,0,2
E02001264,0,0,0
E02001265,5,0,1
E02001266,0,0,0
E02001267,0,4,0
E02001268,2,0,0
E02001269,0,0,0
E02001270,3,0,1
E02001271,0,0,0
