Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-111443631,2011-01-20,Y,St Leonards Place,South East,Medway,96 Maidstone Road,Chatham,ME4 6DG,51.377218,0.522515,Chatham and Aylesford,"Martin, Russell",,Y,,,,Y,,,,,,3,3,E06000035,E02003328,E00081016,3,3.0,111.0,0.77542,1.0,19.245,0.29437
1-112512069,2011-01-21,Y,Frindsbury House,South East,Medway,42 Hollywood Lane,Rochester,ME3 8AL,51.411437,0.506666,Rochester and Strood,"Studd, Paul",,,Y,,,Y,,,Y,,,2,2,E06000035,E02003317,E00081623,23,22.0,93.0,0.98085,1.0,3.0744,0.01482
1-112601005,2011-01-05,Y,PILS Care,South East,Medway,Phoenix Road,Chatham,ME5 8RU,51.335568,0.540414,Chatham and Aylesford,*,,,Y,,Y,Y,,Y,,,Y,2,2,E06000035,E02003351,E00081186,3,2.0,83.0,0.93225,1.0,23.5702,0.09451
1-114358668,2011-03-01,Y,Apna Ghar Residential Home,South East,Medway,1 Kingswood Road,Gillingham,ME7 1EA,51.387599,0.552294,Gillingham and Rainham,*,,,Y,,,,Y,Y,,,Y,1,1,E06000035,E02003322,E00081059,3,2.0,67.0,0.99811,,,
1-118106417,2011-01-19,Y,The White House,South East,Medway,95-97 Maidstone Road,Chatham,ME4 6HY,51.367133,0.519748,Chatham and Aylesford,*,,,Y,,Y,,,Y,,,,5,5,E06000035,E02003340,E00080974,38,21.0,56.0,0.85216,4.0,9.7759,0.12643
1-118821736,2011-01-19,Y,Holly Lodge Residential Home,South East,Medway,208 Maidstone Road,Chatham,ME4 6HS,51.366129,0.51873,Rochester and Strood,"Garcha, Dabinder",,,Y,,Y,,,,,,,2,2,E06000035,E02003334,E00081512,22,12.0,57.0,0.75973,9.0,41.7836,0.31568
1-118851545,2011-01-20,Y,Steven Lodge,South East,Medway,22 Steven Close,Chatham,ME4 5NG,51.374848,0.533564,Chatham and Aylesford,"Agbetorwoka, Daniel",,,Y,,Y,Y,,,,,Y,2,2,E06000035,E02003335,E00080989,3,2.0,67.0,0.60307,0.0,0.0,0.25157
1-118853872,2010-12-14,Y,Berengrove Park Nursing Home,South East,Medway,45 Park Avenue,Gillingham,ME7 4AQ,51.375561,0.555791,Gillingham and Rainham,"Benaragama, Lalitha",Y,Y,,,Y,,,Y,,,,6,6,E06000035,E02003332,E00081761,39,32.0,81.0,0.88686,2.0,5.9951,0.10223
1-120785190,2011-01-21,Y,The Kent Autistic Trust - 11a Curlew Crescent,South East,Medway,11a Curlew Crescent,Strood,ME2 2RF,51.39223,0.46157,Rochester and Strood,"Hagan, Joan",,,Y,,,Y,,,,,,3,3,E06000035,E02003321,E00081640,6,6.0,100.0,0.95786,0.0,0.0,0.05854
1-120785236,2011-01-21,Y,The Kent Autistic Trust - 52a River Drive,South East,Medway,52a River Drive,Rochester,ME2 3JR,51.39522,0.477113,Rochester and Strood,"Hagan, Joan",,,Y,,,Y,,,,,,3,3,E06000035,E02003321,E00081671,6,3.0,56.0,0.96301,2.0,25.4588,0.06248
