area,household residents,communal residents,msoa
E00080972,305,32,E02003334
E00080973,374,0,E02003334
E00080974,342,20,E02003340
E00080975,371,0,E02003334
E00080976,333,0,E02003328
E00080977,336,0,E02003328
E00080978,304,0,E02003335
E00080979,384,0,E02003334
E00080981,392,0,E02003328
E00080982,319,0,E02003328
E00080983,516,2,E02003328
E00080984,298,0,E02003334
E00080985,306,0,E02003334
E00080986,339,0,E02003334
E00080987,266,0,E02003328
E00080988,300,0,E02003334
E00080989,458,3,E02003335
E00080990,300,0,E02003335
E00080991,297,0,E02003335
E00080992,424,1,E02003334
E00080993,330,0,E02003334
E00080994,369,0,E02003335
E00080995,338,0,E02003334
E00080996,391,0,E02003335
E00080997,294,0,E02003335
E00080998,358,1,E02003335
E00080999,288,0,E02003334
E00081000,334,0,E02003335
E00081001,342,0,E02003335
E00081002,333,0,E02003334
E00081003,507,1,E02003335
E00081004,454,0,E02003335
E00081005,434,0,E02003335
E00081006,275,0,E02003335
E00081007,337,0,E02003340
E00081008,323,2,E02003340
E00081009,331,0,E02003340
E00081010,227,42,E02003340
E00081011,348,1,E02003328
E00081012,286,1,E02003328
E00081013,255,0,E02003328
E00081014,327,0,E02003328
E00081015,327,0,E02003328
E00081016,337,4,E02003328
E00081017,329,0,E02003328
E00081018,158,0,E02003328
E00081019,296,0,E02003328
E00081020,237,1,E02003328
E00081021,499,0,E02003341
E00081022,309,0,E02003341
E00081023,373,0,E02003341
E00081024,275,0,E02003341
E00081025,284,0,E02003341
E00081026,267,0,E02003341
E00081027,262,0,E02003341
E00081028,359,0,E02003341
E00081029,315,0,E02003341
E00081030,346,0,E02003341
E00081032,356,0,E02003341
E00081033,355,0,E02003341
E00081034,282,0,E02003341
E00081035,354,0,E02003341
E00081036,294,0,E02003341
E00081037,411,0,E02003341
E00081038,576,0,E02003323
E00081039,351,0,E02003322
E00081040,315,0,E02003322
E00081041,200,0,E02003325
E00081042,360,0,E02003322
E00081043,374,0,E02003325
E00081044,459,0,E02003323
E00081046,350,1,E02003322
E00081047,333,0,E02003323
E00081048,367,0,E02003323
E00081049,582,9,E02003320
E00081050,223,0,E02003323
E00081051,418,0,E02003323
E00081052,399,0,E02003323
E00081053,217,0,E02003325
E00081054,283,0,E02003325
E00081055,308,0,E02003323
E00081056,333,0,E02003323
E00081057,294,0,E02003325
E00081058,381,0,E02003323
E00081059,317,0,E02003322
E00081060,327,0,E02003323
E00081061,336,0,E02003323
E00081062,268,0,E02003323
E00081063,362,67,E02003325
E00081065,318,0,E02003323
E00081066,314,0,E02003320
E00081067,301,0,E02003322
E00081068,295,32,E02003322
E00081069,371,0,E02003322
E00081071,318,0,E02003322
E00081072,288,0,E02003322
E00081073,402,0,E02003322
E00081074,352,0,E02003320
E00081075,331,0,E02003322
E00081076,233,25,E02003322
E00081077,331,0,E02003322
E00081078,333,0,E02003322
E00081079,321,0,E02003320
E00081080,329,0,E02003322
E00081081,382,0,E02003320
E00081082,387,0,E02003322
E00081083,475,0,E02003323
E00081084,325,0,E02003322
E00081085,335,0,E02003323
E00081086,321,6,E02003325
E00081087,291,0,E02003329
E00081088,353,0,E02003325
E00081089,505,0,E02003326
E00081090,403,2,E02003325
E00081091,347,0,E02003326
E00081092,362,0,E02003326
E00081093,313,0,E02003326
E00081094,342,0,E02003326
E00081095,385,0,E02003325
E00081096,402,0,E02003326
E00081097,291,0,E02003325
E00081098,336,0,E02003325
E00081099,368,0,E02003325
E00081100,408,0,E02003325
E00081101,316,0,E02003325
E00081102,294,0,E02003326
E00081103,373,0,E02003325
E00081104,382,0,E02003326
E00081105,352,0,E02003325
E00081106,344,5,E02003325
E00081107,336,0,E02003325
E00081108,345,0,E02003326
E00081109,354,1,E02003326
E00081110,333,0,E02003329
E00081111,350,0,E02003329
E00081112,352,0,E02003325
E00081113,340,0,E02003326
E00081114,335,0,E02003326
E00081115,341,0,E02003329
E00081116,305,0,E02003325
E00081117,319,0,E02003329
E00081118,414,11,E02003326
E00081119,305,0,E02003325
E00081120,397,1,E02003329
E00081121,353,0,E02003329
E00081122,340,0,E02003329
E00081123,346,21,E02003329
E00081124,417,0,E02003329
E00081125,295,0,E02003329
E00081126,334,0,E02003329
E00081127,365,2,E02003329
E00081128,324,0,E02003329
E00081129,364,16,E02003329
E00081130,347,0,E02003329
E00081131,311,0,E02003329
E00081132,262,0,E02003329
E00081133,354,0,E02003329
E00081134,397,0,E02003329
E00081135,547,0,E02003348
E00081136,272,0,E02003348
E00081137,369,40,E02003348
E00081138,282,0,E02003348
E00081139,247,0,E02003348
E00081140,346,42,E02003348
E00081141,305,0,E02003348
E00081142,306,0,E02003348
E00081143,355,0,E02003348
E00081144,325,0,E02003348
E00081145,308,0,E02003348
E00081146,318,0,E02003348
E00081147,216,0,E02003348
E00081148,326,0,E02003348
E00081149,302,0,E02003348
E00081150,300,0,E02003348
E00081151,313,0,E02003348
E00081152,392,0,E02003348
E00081153,298,0,E02003348
E00081154,299,0,E02003348
E00081155,473,0,E02003348
E00081156,339,0,E02003348
E00081157,263,0,E02003348
E00081158,272,0,E02003348
E00081159,239,0,E02003348
E00081160,320,0,E02003351
E00081161,287,0,E02003351
E00081162,299,0,E02003351
E00081163,302,0,E02003351
E00081164,383,0,E02003351
E00081165,341,0,E02003351
E00081166,346,0,E02003351
E00081167,296,0,E02003351
E00081168,359,1,E02003344
E00081169,273,0,E02003344
E00081170,275,0,E02003344
E00081171,312,0,E02003344
E00081172,385,0,E02003344
E00081173,257,0,E02003344
E00081174,320,0,E02003344
E00081175,276,0,E02003344
E00081176,270,0,E02003344
E00081177,305,0,E02003351
E00081178,323,0,E02003351
E00081179,345,0,E02003351
E00081180,260,0,E02003351
E00081181,332,0,E02003351
E00081182,311,0,E02003351
E00081183,318,0,E02003351
E00081184,298,0,E02003351
E00081185,325,0,E02003351
E00081186,329,2,E02003351
E00081187,352,0,E02003351
E00081188,242,0,E02003351
E00081189,359,0,E02003333
E00081190,286,0,E02003333
E00081191,352,0,E02003340
E00081192,428,0,E02003340
E00081193,268,0,E02003333
E00081194,153,0,E02003333
E00081195,311,0,E02003333
E00081196,362,0,E02003333
E00081197,301,0,E02003333
E00081198,344,0,E02003335
E00081199,351,0,E02003333
E00081200,333,0,E02003335
E00081201,343,0,E02003333
E00081202,481,0,E02003333
E00081203,199,3,E02003335
E00081204,423,0,E02003335
E00081205,275,0,E02003333
E00081206,315,0,E02003335
E00081207,475,0,E02003340
E00081208,270,46,E02003333
E00081209,174,0,E02003340
E00081210,297,0,E02003340
E00081211,333,0,E02003340
E00081212,219,0,E02003340
E00081213,296,0,E02003340
E00081214,255,0,E02003340
E00081215,298,0,E02003340
E00081216,374,0,E02003340
E00081217,352,0,E02003340
E00081218,363,0,E02003340
E00081219,371,0,E02003340
E00081220,302,0,E02003340
E00081221,284,1,E02003340
E00081222,364,0,E02003340
E00081223,340,0,E02003340
E00081224,333,0,E02003340
E00081225,258,0,E02003340
E00081226,370,0,E02003333
E00081227,384,0,E02003333
E00081228,315,0,E02003333
E00081229,426,0,E02003333
E00081230,319,0,E02003333
E00081231,226,0,E02003333
E00081232,265,0,E02003333
E00081233,361,0,E02003333
E00081234,330,0,E02003333
E00081235,224,0,E02003314
E00081236,378,22,E02003314
E00081237,444,0,E02003314
E00081238,274,0,E02003314
E00081239,342,0,E02003314
E00081240,218,0,E02003316
E00081241,197,0,E02003316
E00081242,446,0,E02003316
E00081243,287,0,E02003316
E00081244,330,0,E02003316
E00081245,386,0,E02003316
E00081246,374,0,E02003316
E00081247,345,0,E02003314
E00081250,263,0,E02003316
E00081252,335,0,E02003316
E00081253,442,0,E02003314
E00081254,514,0,E02003316
E00081256,261,0,E02003316
E00081257,337,0,E02003316
E00081258,354,0,E02003316
E00081259,236,0,E02003316
E00081260,265,0,E02003316
E00081261,287,0,E02003316
E00081262,281,0,E02003316
E00081263,264,0,E02003316
E00081264,256,0,E02003316
E00081265,240,0,E02003316
E00081266,321,0,E02003314
E00081267,292,0,E02003316
E00081268,161,25,E02003314
E00081269,309,0,E02003314
E00081270,347,0,E02003314
E00081271,341,0,E02003314
E00081272,360,0,E02003314
E00081273,371,0,E02003314
E00081274,243,0,E02003314
E00081275,390,0,E02003314
E00081276,279,0,E02003314
E00081277,412,0,E02003314
E00081278,289,0,E02003347
E00081279,435,0,E02003347
E00081280,328,0,E02003347
E00081281,310,0,E02003347
E00081282,331,0,E02003347
E00081283,282,0,E02003347
E00081284,276,0,E02003347
E00081285,254,0,E02003344
E00081286,352,0,E02003344
E00081287,258,0,E02003344
E00081288,436,0,E02003344
E00081289,363,0,E02003344
E00081290,366,0,E02003344
E00081291,355,0,E02003344
E00081292,393,0,E02003344
E00081293,284,0,E02003347
E00081294,248,0,E02003344
E00081295,273,0,E02003347
E00081296,182,0,E02003347
E00081297,300,0,E02003347
E00081298,303,0,E02003347
E00081299,333,0,E02003344
E00081300,381,0,E02003344
E00081301,342,0,E02003347
E00081302,332,0,E02003347
E00081303,336,0,E02003344
E00081304,270,0,E02003347
E00081305,362,0,E02003347
E00081306,412,0,E02003347
E00081307,324,0,E02003347
E00081308,460,0,E02003347
E00081309,343,0,E02003343
E00081310,357,0,E02003342
E00081311,282,0,E02003342
E00081312,302,8,E02003342
E00081313,339,0,E02003342
E00081314,314,0,E02003342
