Name,Remand,Sentenced,Non-criminal,area,msoa
Aylesbury,*,253,*,E00178390,E02003665
Bronzefield,195,287,6,E00156619,E02006405
Bullingdon,416,642,11,E00169031,E02005936
Coldingley,*,443,*,E00167820,E02006421
Cookham Wood,45,41,*,E00167420,E02003337
Downview,*,215,*,E00170403,E02006376
East Sutton Park,*,76,*,E00123682,E02005084
Elmley (Sheppey cluster),445,635,23,E00189650,E02005120
Ford,*,384,*,E00184735,E02006547
Grendon/Spring Hill,*,403,*,E00169125,E02003661
High Down,127,1033,5,E00170403,E02006376
Huntercombe,*,409,19,E00186049,E02005968
Isle of Wight,16,630,*,E00172713,E02003588
Lewes,208,318,10,E00106857,E02004383
Maidstone,*,521,40,E00186663,E02005071
Rochester,1,679,*,E00167420,E02003337
Send,*,172,*,E00155365,E02006344
Standford Hill (Sheppey cluster),*,458,*,E00124937,E02005120
Swaleside (Sheppey cluster),1,970,*,E00124937,E02005120
Winchester,214,255,6,E00184857,E02004833
Woodhill,5,502,*,E00183648,E02007016
