msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02003314,0,0,0,0,0,4,5,6
E02003315,0,0,0,0,0,0,0,0
E02003316,0,0,0,0,0,0,0,0
E02003317,0,0,0,0,16,5,4,3
E02003318,2,3,0,0,0,1,0,0
E02003319,0,2,7,10,14,13,15,9
E02003320,0,347,96,6,3,0,0,0
E02003321,0,0,1,1,0,0,0,0
E02003322,0,326,22,8,2,0,0,0
E02003323,0,0,0,0,0,2,6,5
E02003324,0,0,1,7,0,0,0,0
E02003325,0,17,4,2,0,0,0,0
E02003326,0,0,3,4,8,4,3,7
E02003327,9,15,5,3,12,0,2,0
E02003328,2,78,7,13,7,1,1,0
E02003329,0,0,2,5,1,1,1,2
E02003330,0,0,1,1,0,4,0,1
E02003331,0,0,0,0,0,0,0,0
E02003332,0,4,1,2,7,12,20,15
E02003333,0,0,0,0,0,0,9,4
E02003334,0,1,0,1,0,3,6,4
E02003335,0,3,3,1,1,1,0,0
E02003336,0,0,0,0,0,0,0,0
E02003337,0,197,216,187,45,5,4,5
E02003338,0,1,0,0,2,0,0,0
E02003339,0,0,0,0,2,5,10,14
E02003340,0,0,0,0,0,2,3,11
E02003341,0,0,0,0,0,0,0,0
E02003342,0,0,1,2,7,4,7,3
E02003343,0,3,1,4,0,0,0,0
E02003344,0,0,0,1,0,0,0,0
E02003345,0,0,0,0,0,0,0,0
E02003346,0,0,0,0,0,4,6,3
E02003347,0,0,0,0,0,0,0,0
E02003348,0,0,2,0,2,3,4,4
E02003349,0,0,0,0,0,0,4,6
E02003350,4,0,0,1,2,0,0,1
E02003351,0,0,0,0,1,0,0,0
E02003352,3,1,1,0,2,0,0,0
E02003353,12,7,14,14,3,1,8,6
E02003354,0,0,0,0,0,2,7,2
E02003355,0,0,0,0,0,0,0,0
E02003356,6,17,3,0,0,1,1,2
E02003357,0,0,0,0,2,0,0,0
E02003358,0,3,0,0,1,5,5,7
E02003359,0,0,0,0,0,0,0,0
E02003360,0,0,0,0,0,0,0,0
E02003361,0,1,0,0,0,0,0,0
E02003362,2,4,6,4,5,0,0,0
E02003363,200,248,17,25,12,2,5,7
E02003364,0,12,42,75,32,1,0,1
E02003365,8,0,2,0,0,0,4,5
E02003366,0,332,205,20,3,0,0,0
E02003367,66,94,1,0,0,0,0,0
E02003368,0,0,0,0,1,0,0,0
E02003369,53,52,5,4,1,0,0,4
E02003370,0,3,3,5,4,5,7,0
E02003371,0,1,5,2,4,4,0,0
E02003372,1,0,0,0,0,0,0,0
E02003373,8,35,49,21,5,0,1,2
E02003374,0,0,0,2,2,0,0,0
E02003375,0,0,1,0,5,3,0,0
E02003376,0,0,1,2,5,1,7,7
E02003377,191,211,26,31,30,15,13,2
E02003378,0,0,1,2,2,1,7,12
E02003379,0,1,2,1,0,5,9,16
E02003380,0,0,0,2,0,0,0,0
