Name,Violence against the person,Sexual offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Summary offences,Offence not recorded,area,msoa
Aylesbury,165,21,*,26,10,*,*,*,*,E00178390,E02003665
Bronzefield,105,11,15,76,10,13,49,93,7,E00156619,E02006405
Bullingdon,246,118,21,202,57,25,74,74,21,E00169031,E02005936
Coldingley,208,*,4,109,11,*,5,*,*,E00167820,E02006421
Cookham Wood,45,*,*,8,7,*,*,*,1,E00167420,E02003337
Downview,63,21,5,42,8,3,4,15,*,E00170403,E02006376
East Sutton Park,29,5,*,15,*,*,4,*,*,E00123682,E02005084
Elmley (Sheppey cluster),230,92,58,234,34,38,115,67,7,E00189650,E02005120
Ford,90,*,7,162,17,*,18,*,*,E00184735,E02006547
Grendon/Spring Hill,174,40,*,89,10,*,10,*,*,E00169125,E02003661
High Down,263,110,16,310,60,24,39,48,5,E00170403,E02006376
Huntercombe,87,49,*,139,15,*,54,*,*,E00186049,E02005968
Isle of Wight,46,574,*,3,*,*,4,7,1,E00172713,E02003588
Lewes,145,57,20,87,29,20,43,35,*,E00106857,E02004383
Maidstone,82,38,3,240,14,3,96,*,*,E00186663,E02005071
Rochester,216,*,18,182,31,3,26,14,*,E00167420,E02003337
Send,98,13,3,19,4,*,3,11,*,E00155365,E02006344
Standford Hill (Sheppey cluster),189,*,*,134,22,*,22,*,*,E00124937,E02005120
Swaleside (Sheppey cluster),587,136,12,48,22,6,7,5,*,E00124937,E02005120
Winchester,117,38,27,81,17,21,28,39,9,E00184857,E02004833
Woodhill,338,*,6,26,14,7,*,*,*,E00183648,E02007016
