Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Ashfield,*,*,5,30,111,72,79,54,48,E00189531,E02003108
Bristol,*,30,49,74,168,101,43,17,3,E00073274,E02003027
Channings Wood,*,*,78,124,209,116,90,44,21,E00165900,E02004213
Dartmoor,*,*,40,76,182,111,93,51,65,E00180228,E02004231
Eastwood Park,*,*,26,54,157,79,31,13,*,E00075710,E02003090
Erlestoke,*,22,39,62,154,81,53,17,3,E00184186,E02006639
Exeter,*,23,46,66,145,85,31,10,4,E00180166,E02004152
Guys Marsh,*,*,50,99,170,85,40,12,3,E00183057,E02004259
Leyhill,*,*,*,*,91,97,118,79,46,E00173069,E02003092
Portland,*,56,96,90,143,93,21,6,*,E00171471,E02004288
zzz The Verne IRC/HMP (Aug 18-),*,*,9,24,94,110,145,105,78,E00171474,E02004288
