msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02002985,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
E02002986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002987,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02002988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
E02002989,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02002990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02002991,1,0,0,0,0,0,0,0,0,0,0,6,0,0,6,31,44
E02002992,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,2,7
E02002993,0,1,0,0,0,0,0,0,0,0,0,6,0,0,2,16,25
E02002994,2,2,0,0,0,0,0,0,0,0,0,2,0,0,1,2,9
E02002995,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8
E02002996,1,1,0,0,0,0,0,0,0,0,0,27,0,0,3,11,43
E02002997,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4
E02002998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
E02003001,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,5,11
E02003002,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
E02003003,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E02003004,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7
E02003005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
E02003006,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,16
E02003007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
E02003008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
E02003009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003010,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
E02003011,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003012,1,6,0,0,0,1,2,1,0,0,0,0,0,0,0,1,12
E02003013,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003015,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3
E02003016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003017,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02003018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003019,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
E02003020,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
E02003021,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003023,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,7
E02003024,1,7,0,0,0,4,0,0,0,0,0,0,0,0,1,0,13
E02003025,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
E02003026,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10
E02003027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
E02003028,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11
E02003029,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
E02003030,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
E02003031,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
E02003032,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02003033,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3
E02003036,0,1,0,0,0,0,1,0,1,0,0,7,0,0,2,2,14
E02003037,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,5,12
E02003038,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003039,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5
E02003040,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003041,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,5
E02003044,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003045,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,8
E02003046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5
E02003048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003049,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3
E02003050,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02003051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003053,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02003054,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,8
E02003055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003056,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E02003057,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003058,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003060,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003061,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003062,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
E02003063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003064,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003065,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
E02003066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003067,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003068,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
E02003069,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
E02003070,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5
E02003071,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8
E02003072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
E02003073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02003075,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02003076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
E02003078,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,9
E02003079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003080,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02003082,7,13,0,0,0,0,1,0,0,0,0,1,0,0,8,22,52
E02003084,5,16,0,0,0,0,0,0,0,0,0,0,0,0,11,17,49
E02003085,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
E02003086,7,12,0,0,0,0,0,1,0,0,0,0,0,0,0,7,27
E02003087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
E02003088,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,14
E02003089,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,5
E02003090,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8
E02003091,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003092,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
E02003093,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6
E02003094,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8
E02003095,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02003098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02003099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02003102,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003105,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02003107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
E02003108,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
E02003109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003110,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
E02003111,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
E02003112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7
E02003114,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003115,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003116,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003117,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
E02003118,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003119,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02003120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02003121,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02003122,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
E02003123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003126,0,1,0,1,0,2,0,3,0,0,0,8,0,0,1,1,17
E02003127,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
E02003128,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
E02003129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
