msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02002985,0,0,0,0,7,6,10,62
E02002986,0,0,0,0,2,0,2,13
E02002987,0,0,0,1,1,3,3,8
E02002988,0,0,0,0,0,1,15,21
E02002989,0,0,0,0,0,0,1,14
E02002990,0,2,4,0,0,0,0,1
E02002991,81,133,20,12,8,3,6,23
E02002992,0,7,10,0,2,3,1,2
E02002993,0,361,24,6,1,3,3,20
E02002994,42,52,1,4,0,0,2,30
E02002995,0,57,15,8,12,4,17,7
E02002996,20,1369,41,10,9,3,8,20
E02002997,0,414,4,1,5,2,10,13
E02002998,0,0,1,0,3,6,12,31
E02002999,0,0,0,0,0,0,0,0
E02003000,0,1,0,2,15,9,4,19
E02003001,0,4,0,0,0,5,10,40
E02003002,17,0,0,0,2,0,0,0
E02003003,0,6,1,0,2,1,6,32
E02003004,0,0,2,0,2,4,14,36
E02003005,0,0,0,0,0,0,0,0
E02003006,0,737,0,1,0,0,0,0
E02003007,0,0,0,1,2,5,15,29
E02003008,0,0,0,0,0,3,5,9
E02003009,0,0,0,0,0,0,0,13
E02003010,0,4,0,0,0,1,3,14
E02003011,0,0,1,5,1,5,5,10
E02003012,0,0,2,5,9,3,5,0
E02003013,0,1,0,1,8,4,8,17
E02003014,0,0,0,0,1,2,0,0
E02003015,0,0,0,0,0,0,0,1
E02003016,0,0,0,0,2,4,6,13
E02003017,0,0,2,1,1,7,20,71
E02003018,0,0,0,0,0,0,0,0
E02003019,0,3,3,2,2,5,22,34
E02003020,60,45,0,1,1,8,26,101
E02003021,0,0,0,1,1,6,20,37
E02003022,0,0,0,0,7,3,1,0
E02003023,0,260,14,3,0,4,18,35
E02003024,0,2,5,8,12,11,16,30
E02003025,0,6,0,0,11,4,14,17
E02003026,0,1196,3,2,4,5,30,54
E02003027,0,1,0,0,2,0,0,0
E02003028,0,0,3,0,2,4,20,40
E02003029,0,0,0,5,7,1,0,1
E02003030,1,0,1,0,5,1,0,0
E02003031,0,70,2,0,0,0,0,0
E02003032,0,0,0,3,2,7,1,0
E02003033,0,2,0,1,1,1,5,17
E02003036,0,407,43,2,0,0,4,18
E02003037,0,87,11,2,0,0,0,0
E02003038,0,0,0,1,1,2,3,1
E02003039,0,0,0,0,13,2,4,17
E02003040,0,0,1,2,2,3,29,50
E02003041,59,59,7,5,1,0,0,0
E02003044,0,0,0,0,3,0,2,0
E02003045,0,476,41,3,1,0,0,0
E02003046,0,0,0,0,3,3,1,0
E02003047,0,7,0,0,2,4,12,29
E02003048,0,0,0,0,0,0,0,0
E02003049,0,0,0,4,1,0,0,0
E02003050,0,2,4,2,5,7,7,17
E02003051,0,0,0,0,0,0,0,0
E02003052,0,0,0,0,0,0,0,0
E02003053,0,0,6,7,4,0,0,0
E02003054,0,6,4,7,11,7,12,17
E02003055,0,0,0,0,0,0,0,0
E02003056,0,0,0,0,0,1,0,0
E02003057,0,0,0,0,8,4,5,7
E02003058,0,2,1,0,0,0,13,41
E02003059,0,0,0,0,0,0,0,0
E02003060,0,0,0,0,0,8,18,40
E02003061,0,0,0,4,3,1,0,0
E02003062,0,0,0,0,4,0,6,19
E02003063,0,0,0,0,0,0,0,0
E02003064,0,1,0,1,1,0,1,0
E02003065,3,2,0,0,0,0,2,13
E02003066,0,0,0,0,1,2,6,14
E02003067,0,0,0,0,1,2,7,17
E02003068,0,6,0,0,0,0,1,2
E02003069,0,0,0,1,5,12,37,94
E02003070,0,0,1,1,2,6,14,37
E02003071,0,0,0,0,0,4,19,68
E02003072,0,0,0,0,0,0,10,32
E02003073,0,0,0,0,0,0,1,8
E02003074,0,0,0,1,2,5,0,0
E02003075,0,0,1,0,1,0,0,0
E02003076,0,0,0,0,0,2,4,20
E02003077,0,0,0,0,0,0,0,0
E02003078,0,0,0,3,6,3,5,7
E02003079,0,0,0,0,0,0,0,0
E02003080,0,0,0,0,2,2,0,0
E02003081,0,0,0,0,0,0,0,0
E02003082,0,26,7,18,16,14,73,151
E02003084,0,8,0,16,30,31,43,73
E02003085,0,3,0,4,0,0,0,0
E02003086,0,0,6,7,16,17,47,123
E02003087,0,0,0,0,1,0,0,0
E02003088,10,15,0,4,5,8,19,40
E02003089,0,1,0,2,4,1,5,5
E02003090,3,26,102,117,30,6,15,36
E02003091,0,0,0,0,0,0,6,19
E02003092,0,3,0,2,3,1,0,0
E02003093,0,0,3,2,0,1,7,31
E02003094,0,0,0,2,3,1,8,30
E02003095,0,0,0,0,8,3,15,39
E02003096,0,0,0,0,3,2,7,24
E02003097,0,1,0,0,0,0,5,16
E02003098,0,0,0,0,0,0,0,0
E02003099,0,0,0,0,0,1,7,17
E02003101,0,1,2,1,1,1,0,0
E02003102,0,0,0,0,2,0,1,12
E02003103,0,0,0,0,0,0,0,0
E02003104,0,0,0,0,0,0,0,0
E02003105,0,2,2,4,6,3,15,26
E02003107,0,0,0,0,5,4,4,1
E02003108,0,0,0,0,2,4,9,16
E02003109,0,0,0,0,0,0,0,0
E02003110,1,1,0,0,0,4,5,27
E02003111,0,0,0,6,8,6,12,39
E02003112,0,1,0,0,0,0,1,0
E02003113,1,0,0,1,1,2,6,11
E02003114,0,0,1,0,3,0,4,8
E02003115,0,0,0,3,3,7,22,47
E02003116,0,2,6,2,7,2,27,36
E02003117,0,0,1,1,13,1,16,29
E02003118,0,0,0,1,2,0,6,16
E02003119,0,0,0,3,3,1,4,20
E02003120,0,1,1,1,0,0,0,0
E02003121,0,0,0,0,1,0,0,0
E02003122,0,0,0,1,2,4,11,41
E02003123,0,0,0,0,0,0,0,0
E02003124,0,0,1,2,0,3,10,19
E02003125,0,0,0,0,2,3,4,9
E02003126,0,288,6,2,5,0,1,18
E02003127,0,0,1,7,1,5,9,10
E02003128,0,2,1,6,4,4,5,12
E02003129,0,0,0,0,0,0,0,0
E02003130,0,0,0,0,0,0,0,0
E02003131,0,0,0,0,0,0,0,0
E02003132,0,0,0,0,0,3,7,12
E02003133,0,0,0,1,0,0,3,8
E02003134,0,0,0,0,0,0,0,0
E02003135,0,9,10,4,0,0,0,0
E02003136,0,0,1,4,5,17,22,67
E02003137,0,0,0,0,7,10,48,111
E02003138,0,0,0,0,0,0,4,12
E02003139,0,0,0,0,0,0,0,0
E02003140,0,0,0,1,2,6,13,33
E02003141,0,1,1,7,18,13,25,30
E02003142,0,1,0,1,0,0,0,0
E02003143,0,0,0,0,0,0,0,0
E02003144,26,408,10,8,6,16,39,80
E02003145,0,62,28,4,9,11,17,49
E02003146,0,140,31,4,8,5,3,2
E02003147,0,1,0,0,0,2,1,7
E02003148,0,1464,56,5,3,0,0,0
E02003149,0,2,0,0,2,1,6,12
E02003151,0,0,0,0,0,3,33,66
E02003152,0,0,3,4,0,0,10,26
E02003153,0,0,0,3,0,1,3,28
E02003154,0,0,0,1,4,4,4,0
E02003155,0,0,1,1,4,14,35,51
E02003156,0,0,0,0,1,0,0,0
E02003157,0,0,0,4,6,0,3,16
E02003158,0,1,0,0,3,6,26,52
E02003159,0,0,0,1,12,9,2,8
E02003161,1,6,8,4,7,4,6,15
E02003163,1,1,2,7,32,25,47,111
E02003164,0,2,4,3,7,21,17,42
E02003165,0,0,0,0,0,7,9,38
E02003166,0,0,0,0,0,0,0,0
E02003167,1,5,3,2,6,17,53,117
E02003168,0,0,0,0,1,1,11,20
E02003169,0,0,0,0,0,2,10,30
E02003170,0,0,1,6,6,5,8,22
E02003171,0,0,0,0,0,4,12,38
E02003172,0,0,0,0,0,0,0,0
E02003173,0,0,0,0,2,2,16,31
E02003174,0,0,0,0,2,0,0,0
E02003175,0,0,3,5,12,4,7,10
E02003176,0,0,0,1,4,1,0,0
E02003177,2,0,0,0,1,2,1,0
E02003178,0,0,0,0,0,2,12,13
E02003179,0,0,0,0,0,0,2,16
E02003180,0,43,7,0,0,0,0,0
E02003181,0,0,0,0,4,7,11,24
E02003182,0,1,3,0,0,0,11,22
E02003183,14,18,6,11,8,7,10,48
E02003184,3,9,2,5,7,3,15,47
E02003185,0,0,1,0,9,2,0,4
E02003186,0,16,0,2,0,0,0,0
E02003187,4,10,1,3,0,1,2,0
E02003188,0,1345,60,20,8,3,13,35
E02003189,2,6,6,6,4,12,38,83
E02003190,0,14,9,12,21,22,26,45
E02003191,0,0,6,4,4,6,15,33
E02003192,0,1417,62,9,10,0,12,44
E02003194,75,106,7,18,6,0,8,16
E02003195,0,0,0,2,3,8,6,16
E02003196,0,0,1,0,5,7,25,65
E02003197,0,0,0,0,0,0,1,0
E02003198,0,0,0,0,0,5,13,20
E02003199,0,0,0,0,0,1,9,36
E02003200,0,2,2,6,10,0,3,17
E02003201,0,2,0,0,3,0,0,0
E02003202,1,62,8,2,0,1,1,6
E02003203,0,0,0,0,0,0,0,0
E02003204,0,0,0,3,10,7,16,42
E02003205,0,0,0,0,1,0,0,0
E02003206,0,0,7,1,3,2,8,17
E02003207,0,2,6,1,0,0,1,0
E02003208,10,81,8,4,1,6,8,24
E02003209,0,0,1,0,0,4,6,24
E02003210,0,0,0,0,0,2,11,43
E02003211,0,4,4,5,12,14,32,103
E02003212,0,0,1,1,0,0,10,9
E02003214,0,0,0,0,0,0,0,0
E02003215,0,0,0,0,0,5,7,24
E02003216,0,0,1,0,1,1,0,0
E02003217,0,0,1,0,1,4,2,4
E02003218,0,2,4,1,9,5,0,0
E02003219,0,4,3,0,4,5,13,28
E02003220,0,0,1,1,6,1,27,44
E02003221,0,0,0,0,0,0,0,0
E02003222,0,0,0,0,0,0,0,0
E02003223,0,0,0,0,0,0,0,0
E02003224,0,0,0,0,0,0,0,0
E02003225,0,0,0,0,0,0,0,0
